A
1000 Generated by WorldEditor

1    526 1 0 KSDM BROWN FLD MUNI
112  32.57100809 -116.98476437  32.57108827 -116.98513464 51 102
111  32.57114678 -116.98543549 51 102
111  32.57118795 -116.98571320 51 102
111  32.57125296 -116.98651032 51 102
111  32.57151733 -116.98967309 51 102
112  32.57159534 -116.99004851  32.57164951 -116.99017708 51 102
111  32.57174703 -116.99045736 51 102
112  32.57182937 -116.99082763  32.57184671 -116.99105906 51 102
111  32.57200142 -116.99290130 51 102
112  32.57238930 -116.99313015  32.57254533 -116.99313015 51 102
111  32.57310440 -116.99307616
116  32.57348887 -116.99269200  32.57347454 -116.99239660
120 Linear Feature 76
111  32.57108096 -116.98426084 51
116  32.57086567 -116.98467755  32.57093699 -116.98503679
120 Linear Feature 75
111  32.57343775 -116.99327117 1
112  32.57369897 -116.99286153  32.57366863 -116.99251181 1
115  32.57362962 -116.99204639
120 Linear Feature 73
111  32.57076208 -116.98422193 51
111  32.57104270 -116.98549150 51
112  32.57107954 -116.98578721  32.57108387 -116.98585920 51
111  32.57132007 -116.98861839 51
111  32.57140081 -116.98966686 51
112  32.57153674 -116.99022087  32.57161357 -116.99039385 51
111  32.57167111 -116.99054959 51
112  32.57172430 -116.99086750  32.57173415 -116.99102179 51
111  32.57183310 -116.99217162 51
111  32.57189656 -116.99292608 51
112  32.57238779 -116.99339771  32.57278870 -116.99334979 51
111  32.57343765 -116.99327108
116  32.57353195 -116.99317871  32.57354591 -116.99310003
120 Linear Feature 72
111  32.57086190 -116.98419591 51
116  32.57108246 -116.98425936  32.57116183 -116.98424350
120 Linear Feature 71
111  32.57180955 -116.98324494 4
115  32.57186350 -116.98329480
120 Linear Feature 69
111  32.57221475 -116.98270325 4
115  32.57215814 -116.98264918
120 Linear Feature 68
111  32.57237835 -116.98240407 1
115  32.57236522 -116.98230995
120 Linear Feature 67
111  32.57240973 -116.98235037 1
115  32.57233333 -116.98236436
120 Linear Feature 66
111  32.57171151 -116.98354300 1
115  32.57169839 -116.98344796
120 Linear Feature 65
111  32.57174327 -116.98348729 1
115  32.57166041 -116.98350450
120 Linear Feature 64
111  32.57235284 -116.98411271 1
112  32.57302635 -116.98477099  32.57307402 -116.98537347 1
115  32.57309786 -116.98567895
120 Linear Feature 63
111  32.57166035 -116.98419168 1
111  32.57234885 -116.98411202 1
112  32.57290976 -116.98335098  32.57286208 -116.98278244 1
115  32.57284301 -116.98255333
120 Linear Feature 62
111  32.57123692 -116.98435922 4
115  32.57121809 -116.98412236
120 Linear Feature 61
111  32.57187750 -116.98390501 4
115  32.57192376 -116.98448264
120 Linear Feature 59
111  32.57237177 -116.98423437 4
115  32.57235175 -116.98399421
120 Linear Feature 58
111  32.57224506 -116.98400397 8
115  32.57187103 -116.98404432
120 Linear Feature 57
111  32.57230928 -116.98424317 8
115  32.57179704 -116.98430143
120 Linear Feature 56
111  32.57282075 -116.98461121 1 102
112  32.57262260 -116.98430639  32.57248682 -116.98423382 1 102
111  32.57247459 -116.98423527 1 102
111  32.57233025 -116.98423527 1 102
112  32.57228076 -116.98430788  32.57227975 -116.98437266 1 102
111  32.57228480 -116.98444583 1 102
111  32.57190573 -116.98448468 1 102
111  32.57189738 -116.98441132 1 102
112  32.57179963 -116.98430128  32.57172778 -116.98430524 1 102
115  32.57166846 -116.98430921
120 Linear Feature 55
111  32.57165515 -116.98407002 1 102
111  32.57186865 -116.98404758 1 102
111  32.57186087 -116.98390639 1 102
111  32.57222783 -116.98386285 1 102
111  32.57224562 -116.98400668 1 102
111  32.57235460 -116.98399084 1 102
112  32.57257755 -116.98385813  32.57265732 -116.98374028 1 102
111  32.57270617 -116.98363402 1 102
115  32.57273384 -116.98350652
120 Linear Feature 54
111  32.57145496 -116.98422235 1
115  32.57108189 -116.98425863
120 Linear Feature 53
111  32.57146516 -116.98433507 1 102
115  32.57109012 -116.98437586
120 Linear Feature 52
111  32.57107126 -116.98413892 1 102
115  32.57144311 -116.98409538
120 Linear Feature 51
111  32.57098915 -116.98153870 4
115  32.57086049 -116.98140883
120 Linear Feature 50
111  32.57073130 -116.98175224 1
111  32.57052544 -116.98205879 1
116  32.57048338 -116.98222152  32.57048894 -116.98230993
120 Linear Feature 49
111  32.57043021 -116.98161533 1
112  32.57057553 -116.98180533  32.57066837 -116.98181491 1
111  32.57073026 -116.98175264 1
111  32.57089711 -116.98151794 1
111  32.57116171 -116.98108245 1
112  32.57123383 -116.98046995  32.57120127 -116.98010114 1
115  32.57117019 -116.97974462
120 Linear Feature 48
111  32.56998118 -116.97849584 1
116  32.57018279 -116.97868756  32.57019729 -116.97884322
120 Linear Feature 47
111  32.56938534 -116.97886690 20
111  32.56930057 -116.97916546 20
111  32.56911489 -116.97920378 20
111  32.56899648 -116.97903455 20
115  32.56909471 -116.97872162
120 Linear Feature 46
111  32.56922648 -116.97867536 1
116  32.56918828 -116.97869606  32.56916989 -116.97868711
120 Linear Feature 45
111  32.56922610 -116.97867561 1
116  32.56924493 -116.97872098  32.56926890 -116.97873452
120 Linear Feature 44
111  32.56966733 -116.97889981 1
115  32.56868901 -116.97848534
120 Linear Feature 43
111  32.57014292 -116.97824173 1
112  32.56998057 -116.97849507  32.56981711 -116.97851486 1
111  32.56928335 -116.97857688 1
116  32.56922664 -116.97867452  32.56920773 -116.97875501
120 Linear Feature 42
111  32.57106109 -116.97405169 54
111  32.57106392 -116.97407463 4
115  32.57108137 -116.97430015
120 Linear Feature 40
111  32.57148965 -116.97426141 4
115  32.57147678 -116.97402259
120 Linear Feature 39
111  32.57111329 -116.97406966 8
115  32.57146731 -116.97402455
120 Linear Feature 38
111  32.57183449 -116.97410510 1
112  32.57217304 -116.97446849  32.57220527 -116.97481064 1
115  32.57223393 -116.97518678
120 Linear Feature 37
111  32.57081996 -116.97421735 1
111  32.57183399 -116.97410414 1
112  32.57210998 -116.97368044  32.57208634 -116.97339292 1
115  32.57204891 -116.97295578
120 Linear Feature 35
111  32.57040181 -116.97450191 4
111  32.57026837 -116.97433037 54
115  32.57024310 -116.97429439
120 Linear Feature 34
111  32.57041815 -116.97433857 1
116  32.57074336 -116.97464004  32.57078614 -116.97516049
120 Linear Feature 33
111  32.57018684 -116.97465965 1
111  32.56994914 -116.97516967 1
116  32.56990681 -116.97537831  32.56991658 -116.97547877
120 Linear Feature 32
111  32.57003495 -116.97480091 1
112  32.57018635 -116.97465790  32.57024825 -116.97453017 1
111  32.57026439 -116.97450463 1
112  32.57041778 -116.97433858  32.57050793 -116.97428110 1
116  32.57082024 -116.97421733  32.57101556 -116.97419475
120 Linear Feature 31
111  32.56984697 -116.97464565 1
116  32.57003456 -116.97480093  32.57019064 -116.97477698
120 Linear Feature 30
111  32.57065974 -116.98425119 1 102
111  32.57051810 -116.98371606 1 102
115  32.57049211 -116.98352781
120 Linear Feature 28
111  32.57070371 -116.98401664 1
116  32.57086248 -116.98419546  32.57093514 -116.98421462
120 Linear Feature 27
111  32.57032861 -116.96836577 1
111  32.56969107 -116.96844489 1
112  32.56938179 -116.96894513  32.56940740 -116.96931914 1
111  32.56956893 -116.97127099 1
111  32.56984685 -116.97464463 1
111  32.57010862 -116.97782901 1
111  32.57042274 -116.98155485 1
111  32.57060794 -116.98362081 1
112  32.57064931 -116.98382184  32.57066901 -116.98389664 1
115  32.57076160 -116.98422157
120 Linear Feature 26
111  32.57103850 -116.96875826 54
115  32.57096978 -116.96783009
120 Linear Feature 25
111  32.57032897 -116.96836575 51
111  32.57146961 -116.96823748 51
112  32.57170594 -116.96877050  32.57175353 -116.96933897 51
115  32.57175353 -116.96933897
120 Linear Feature 24
111  32.57033399 -116.96825312 51 102
112  32.57066554 -116.96792022  32.57079556 -116.96785711 51 102
112  32.57114818 -116.96780334  32.57126718 -116.96779215 51 102
115  32.57143186 -116.96777997
120 Linear Feature 23
111  32.57154218 -116.96913685 51 102
112  32.57126567 -116.96880874  32.57111379 -116.96875285 51 102
112  32.57078656 -116.96881723  32.57067453 -116.96891057 51 102
112  32.57045762 -116.96928393  32.57042424 -116.96945929 51 102
115  32.57042424 -116.96948475
120 Linear Feature 17
111  32.56995270 -116.98427362 20
115  32.56999827 -116.98419251
120 Linear Feature 16
111  32.57001138 -116.98425723 20
115  32.56994027 -116.98420972
120 Linear Feature 15
111  32.56992884 -116.98417364 1
115  32.56997203 -116.98408313
120 Linear Feature 14
111  32.56998674 -116.98415619 1
115  32.56991322 -116.98410276
120 Linear Feature 13
111  32.56968443 -116.97578634 1
115  32.56966438 -116.97569316
120 Linear Feature 12
111  32.56971367 -116.97572785 1
115  32.56963430 -116.97575561
120 Linear Feature 84
111  32.57311098 -116.99354944 54
115  32.57307330 -116.99308051
120 Linear Feature 83
111  32.57035050 -116.98434099 106
111  32.57012664 -116.98440768 106
111  32.56992649 -116.98446885 106
111  32.57024644 -116.98597019 106
111  32.56936316 -116.98626256 106
111  32.56989410 -116.98855184 106
111  32.57057862 -116.99180002 106
111  32.57052774 -116.99181804 106
111  32.57067082 -116.99249770 106
111  32.57089465 -116.99356120 106
111  32.57168701 -116.99346918 106
111  32.57187327 -116.99348546 106
115  32.57192887 -116.99346027
120 Linear Feature 82
111  32.57066138 -116.98425164 102
115  32.57035057 -116.98434105
20  32.56957980 -116.96889725 87.4000 0 3 {@L}A{@@}A
20  32.57152287 -116.98902879 275.0600 0 3 {@L}A{@@}A
20  32.57311206 -116.99356256 5.2500 0 3 {@L}A{@R}08L{@L}{@@}A
20  32.57104600 -116.96879423 6.2500 0 3 {@L}A{@R}26R
20  32.57054830 -116.98154649 277.3100 0 3 {@L}A{@Y}A1{^r}{@L}{@@}A
20  32.57084775 -116.98392517 282.3800 0 3 {@L}A{@Y}B{^r}{@L}{@@}A
20  32.56997216 -116.97461173 273.9500 0 3 {@L}A{@Y}C{^r}{@L}{@@}A
20  32.57099410 -116.98154301 50.8300 0 3 {@L}A1{@R}08R-26L
20  32.57237319 -116.98424557 4.3400 0 3 {@L}B{@R}08L-26R
20  32.57188694 -116.98401484 183.1800 0 3 {@L}B{@R}08R
20  32.57123852 -116.98437628 4.3600 0 3 {@L}B{@R}08R{@L}{@@}B{@Y,^l}A{^r}
20  32.57149175 -116.97427214 3.9300 0 3 {@L}C{@R}08L-26R
20  32.57106278 -116.97406240 188.2600 0 3 {@L}C{@R}26L
20  32.57041642 -116.97450996 59.2600 0 2 {@L}C{@R}26L{@L}{@@}C{@Y,^l}A{^r}
20  32.57235100 -116.98397971 6.2600 0 3 {@R}08L-26R{@L}B{@@}B
20  32.57147797 -116.97401892 4.7600 0 3 {@R}08L-26R{@L}C{@@}C
20  32.57307148 -116.99305744 3.4300 0 3 {@R}08L{@L}A{@@}A
20  32.57085344 -116.98140082 53.7000 0 3 {@R}08R-26L{@L}A1{@@}A1{@Y,^l}A{^r}
20  32.57121751 -116.98410923 3.9500 0 3 {@R}08R{@L}B
20  32.57190893 -116.98429445 183.8100 0 3 {@R}08R{@L}B{@@}B
20  32.57024357 -116.97429188 50.5300 0 3 {@R}26L{@L}A
20  32.57108114 -116.97431059 184.0900 0 3 {@R}26L{@L}C{@@}C
20  32.57097304 -116.96781661 2.6400 0 3 {@R}26R{@L}A{@@}A
20  32.57343584 -116.99241895 276.1700 0 3 {@Y,^l}A
20  32.57141633 -116.98087214 274.9300 0 3 {@Y,^l}A1{@@}A1{^r}
20  32.57324730 -116.98405308 275.7100 0 3 {@Y,^l}B{@@}B{^r}
20  32.57108788 -116.98463150 95.9100 0 3 {@Y,^l}B{@L}A{@@}A
20  32.57241694 -116.97406567 276.2000 0 3 {@Y,^l}C{@@}C{^r}
20  32.57085440 -116.97435730 95.8600 0 3 {@Y,^l}C{^r}
20  32.57060926 -116.98224263 93.8800 0 3 {@Y,^lu}A1{@L}A{@@}A
20  32.57004988 -116.97546346 94.5500 0 3 {@Y,^lu}C{@L}A{@@}A
20  32.57194222 -116.96827176 94.3400 0 3 {@Y}A{^r}
20  32.56866424 -116.97860256 154.0000 0 3 {@Y}NO-ENTRY
20  32.56867324 -116.97832011 160.3500 0 3 {@Y}NO-ENTRY
20  32.56992386 -116.98445908 106.7000 0 3 {@Y}NO-ENTRY
20  32.57013512 -116.98439159 104.7400 0 3 {@Y}NO-ENTRY
20  32.56983270 -116.97569959 203.7500 0 3 {@Y}NO-ENTRY
20  32.56978569 -116.97518066 183.5800 0 3 {@Y}NO-ENTRY
14  32.56917513 -116.97901962  76.00 0 TWR
1300  32.57024323 -116.98742872 -75.49 misc jets|turboprops GA Parking 6
1300  32.57045810 -116.98735790 -75.49 misc jets|turboprops GA Parking 5
1300  32.57063442 -116.98793069 -74.00 misc jets|turboprops GA Jet Parking 4
1300  32.57045171 -116.98795592 -74.00 misc jets|turboprops GA Jet Parking 3
1300  32.57047107 -116.98910215 -74.00 misc jets|turboprops GA Jet Parking 2
1300  32.57075349 -116.98901654 -74.00 misc jets|turboprops GA Jet Parking 1
1300  32.57092207 -116.99062619 187.83 misc jets|turboprops|props Hangars
1300  32.57102205 -116.99250972  94.76 misc turboprops|props GA Parking 4
1300  32.57035806 -116.98489855 103.43 misc turboprops|props GA Parking 11
1300  32.57044585 -116.98536729 103.43 misc turboprops|props GA Parking 9
1300  32.57124830 -116.99248453  94.76 misc turboprops|props GA Parking 3
1300  32.57044607 -116.98492313 283.43 misc turboprops|props GA Parking 10
1300  32.57053385 -116.98539187 283.43 misc turboprops|props GA Parking 8
1300  32.57133219 -116.99252456 274.76 misc turboprops|props GA Parking 2
1300  32.57007245 -116.98457406 283.43 misc turboprops|props Helipad
1300  32.57033381 -116.98495181 283.43 misc turboprops|props GA Parking 12
1300  32.57042159 -116.98542055 283.43 misc turboprops|props GA Parking 7
1300  32.57121756 -116.99253284 274.76 misc turboprops|props GA Parking 1
18  32.56954107 -116.97948469 1 APT BCN
19  32.57135376 -116.97510716 1 New Windsock 4
19  32.57098839 -116.96946587 1 New Windsock 5
19  32.57183605 -116.98375370 1 New Windsock 6
19  32.57302600 -116.99254819 1 New Windsock 7
53 12440 Ground
54 12650 Tower
55 12435 Approach
56 12515 Departure
99
