I
1050 Generated by WorldEditor 1.6.0r1

1   1652 1 0 CYXE Saskatoon J G Diefenbaker Intl
111  52.16450819 -106.69195672
111  52.16635083 -106.69299100
111  52.16638955 -106.69295522
111  52.16646744 -106.69259603
111  52.16643431 -106.69257358
111  52.16645711 -106.69245993
111  52.16656168 -106.69251675
111  52.16652811 -106.69265706
111  52.16648379 -106.69274125
111  52.16646351 -106.69280281
111  52.16642299 -106.69297820
113  52.16643447 -106.69303491
111  52.16618233 -106.69324772 102
111  52.16583880 -106.69335804 102
111  52.16416269 -106.69572244 102
111  52.16411991 -106.69592582 102
111  52.16402203 -106.69639118 102
111  52.16419182 -106.69695789
111  52.17306754 -106.70192658 102
111  52.17322976 -106.70170626 102
111  52.17315885 -106.70111699 102
111  52.17268502 -106.69718005 102
111  52.17244548 -106.69674379 102
113  52.17233561 -106.69668246 102
111  52.17623887 -106.70369344 102
111  52.17649577 -106.70335733
111  52.17593670 -106.69869843 102
111  52.17522390 -106.69829957 102
111  52.17305920 -106.69708830 102
111  52.17295214 -106.69702839
111  52.17286831 -106.69698148
111  52.17288514 -106.69712184 102
111  52.17335683 -106.70105680 102
113  52.17348936 -106.70216243
111  52.17585151 -106.69799929
111  52.17405498 -106.68299917 102
111  52.17372692 -106.68264835 102
111  52.17342570 -106.68241750 102
111  52.17329509 -106.68245953 102
111  52.17147511 -106.68302104 102
111  52.17125965 -106.68354223 102
111  52.17129107 -106.68380448 102
111  52.17270370 -106.69559689 102
111  52.17278601 -106.69628399 102
111  52.17301431 -106.69671328 102
111  52.17312683 -106.69677603 102
111  52.17529020 -106.69798248 102
113  52.17569874 -106.69821031 102
111  52.17260212 -106.69648141
111  52.17258367 -106.69632804 102
111  52.17250320 -106.69565904 102
111  52.17202203 -106.69165866 102
111  52.17187537 -106.69156205 102
111  52.17175113 -106.69148021 102
111  52.17133783 -106.69207031 102
112  52.17132130 -106.69223701  52.17131562 -106.69236499 102
111  52.17132492 -106.69245929 102
111  52.17153763 -106.69285785 102
111  52.17156865 -106.69280786 102
111  52.17198898 -106.69359345 102
111  52.17200395 -106.69372733 102
111  52.17100724 -106.69513201 102
111  52.17093140 -106.69510291 102
111  52.17051871 -106.69432334 102
111  52.17049956 -106.69431799 102
111  52.17021087 -106.69472342 102
111  52.17027853 -106.69518413 102
111  52.17240338 -106.69637046 102
113  52.17250512 -106.69642726
111  52.16853063 -106.69340900
111  52.16860740 -106.69330002
112  52.16852004 -106.69319211  52.16847437 -106.69315758
112  52.16746668 -106.69260826  52.16738064 -106.69255971
111  52.16735086 -106.69268943
112  52.16722114 -106.69329260  52.16719665 -106.69341776
111  52.16726879 -106.69350732 102
111  52.16863613 -106.69426805 102
111  52.16877379 -106.69407274 102
113  52.16878305 -106.69388391
111  52.16909620 -106.69215730
111  52.16930838 -106.69184748
111  52.16925802 -106.69175442
111  52.16926977 -106.69173252
111  52.16922042 -106.69163947
111  52.16913078 -106.69176537
111  52.16909989 -106.69171172
113  52.16896426 -106.69191261
111  52.16675754 -106.69145268
111  52.16579688 -106.69091795
111  52.16572552 -106.69125803
113  52.16668480 -106.69179276
111  52.16894109 -106.69187764
111  52.16891917 -106.69196466
111  52.16893156 -106.69199573
111  52.16887724 -106.69221172
111  52.16883244 -106.69229252
111  52.16878289 -106.69236244
111  52.16878193 -106.69240129
111  52.16867329 -106.69267787
111  52.16823370 -106.69241884
111  52.16809790 -106.69236704
111  52.16807286 -106.69235244
111  52.16805688 -106.69241980
111  52.16852957 -106.69268610
111  52.16863957 -106.69303986
111  52.16859126 -106.69312942
111  52.16865810 -106.69322761
111  52.16877723 -106.69306036
111  52.16863758 -106.69279707
111  52.16883348 -106.69250034
111  52.16887849 -106.69258450
111  52.16943906 -106.69175810
111  52.16943271 -106.69166616
111  52.16930838 -106.69184748
111  52.16909620 -106.69215730
113  52.16896426 -106.69191261
111  52.16895068 -106.69158307
111  52.16890462 -106.69155458
111  52.16888556 -106.69147689
111  52.16889748 -106.69134481
112  52.16830660 -106.69102369  52.16823830 -106.69099262
111  52.16821368 -106.69108585
111  52.16818588 -106.69122957
113  52.16891971 -106.69162968
112  52.16704670 -106.69333455  52.16708787 -106.69330323
111  52.16711669 -106.69320255
112  52.16723883 -106.69259621  52.16724569 -106.69254698
111  52.16719903 -106.69247315
112  52.16714002 -106.69244406  52.16709199 -106.69242616
111  52.16706592 -106.69249329
111  52.16691221 -106.69320702
113  52.16694103 -106.69331666
111  52.16685078 -106.69212150
112  52.16701184 -106.69222405  52.16704805 -106.69224425
111  52.16707664 -106.69212150
112  52.16721864 -106.69145960  52.16723485 -106.69137725
111  52.16717999 -106.69134468
111  52.16703040 -106.69125966
113  52.16684376 -106.69204499
111  52.16810731 -106.69112734
111  52.16814095 -106.69097268
112  52.16812165 -106.69092142  52.16811007 -106.69090973
111  52.16798101 -106.69083510
111  52.16793468 -106.69104281
113  52.16810069 -106.69113633
111  52.16805688 -106.69241980
111  52.16807286 -106.69235244
111  52.16810468 -106.69221823
111  52.16804080 -106.69217627
113  52.16799024 -106.69237859
111  52.16869174 -106.68443179
111  52.16870920 -106.68441081
111  52.16870277 -106.68431115
111  52.16861315 -106.68431189
111  52.16862188 -106.68446361
113  52.16869415 -106.68446490
111  52.16826553 -106.68423941
111  52.16812305 -106.68425502
111  52.16812190 -106.68429873
113  52.16826591 -106.68428312
111  52.17174045 -106.69046723 102
111  52.17183304 -106.69005095 102
111  52.17170988 -106.68902051 102
111  52.17156695 -106.68878891 102
111  52.17141053 -106.68883875 102
111  52.17132333 -106.68896334 102
111  52.17152380 -106.69059915 102
111  52.17161549 -106.69063579 102
113  52.17172596 -106.69048677 102
111  52.16941183 -106.68317845
111  52.16895443 -106.68332971
111  52.16901268 -106.68387495
111  52.16934818 -106.68376766
111  52.16933739 -106.68366917
113  52.16946361 -106.68363223
111  52.16992835 -106.68301741
111  52.16946621 -106.68316305
111  52.16946621 -106.68316305
111  52.16946621 -106.68316305
111  52.16952058 -106.68361050
113  52.16998013 -106.68345642
111  52.17108203 -106.68473878 102
111  52.17116818 -106.68453622 102
111  52.17108886 -106.68386430 102
111  52.17102771 -106.68334630 102
111  52.17090161 -106.68320685 102
111  52.17084730 -106.68322212 102
111  52.17076115 -106.68343079 102
111  52.17089827 -106.68461867 102
113  52.17101897 -106.68475439 102
111  52.17050831 -106.67602012 102
111  52.17050831 -106.67540451 102
111  52.17036897 -106.67518612 102
111  52.17022154 -106.67518758 102
111  52.17008220 -106.67540891 102
111  52.17008400 -106.67602012 102
111  52.17022064 -106.67624438 102
113  52.17037167 -106.67624438 102
111  52.17037109 -106.67942739 102
111  52.17051467 -106.67927470 102
111  52.17050736 -106.67679838 102
111  52.17037126 -106.67657546 102
111  52.17021894 -106.67657038 102
111  52.17008284 -106.67679533 102
111  52.17008425 -106.67881670 102
113  52.17015188 -106.67906947 102
111  52.17080354 -106.68290042 102
111  52.17085773 -106.68288275 102
111  52.17094453 -106.68263903 102
111  52.17088492 -106.68214691 102
111  52.17067376 -106.68040348 102
111  52.17051626 -106.68015548 102
111  52.17037925 -106.68027684 102
113  52.17067483 -106.68275512 102
111  52.16921438 -106.67997416
111  52.16922032 -106.67933260
111  52.16894047 -106.67933260
113  52.16893707 -106.67996725
111  52.16967506 -106.67908445
111  52.16894598 -106.67908254
111  52.16894245 -106.67926881
111  52.16908261 -106.67927937
111  52.16908556 -106.67925345
111  52.16949603 -106.67927073
111  52.16949603 -106.67964905
113  52.16974750 -106.67965193
111  52.16810826 -106.69265049
111  52.16795296 -106.69255703
111  52.16791230 -106.69272982
113  52.16806427 -106.69282218
111  52.16809895 -106.69119549
111  52.16769008 -106.69096703
111  52.16770352 -106.69090130
111  52.16756243 -106.69082463
111  52.16741558 -106.69154445
111  52.16760562 -106.69165085
111  52.16769680 -106.69121427
113  52.16805193 -106.69140987
111  52.16779553 -106.69251687
111  52.16787520 -106.69216322
111  52.16756806 -106.69198483
113  52.16748936 -106.69234004
111  52.16747168 -106.69218002
111  52.16755115 -106.69182888
111  52.16733807 -106.69171621
111  52.16727818 -106.69200914
111  52.16734038 -106.69204482
113  52.16732656 -106.69210303
111  52.16730983 -106.69206031
111  52.16725064 -106.69203163
111  52.16730263 -106.69177082
111  52.16725464 -106.69174474
111  52.16726504 -106.69168606
111  52.16731303 -106.69170562
111  52.16731303 -106.69166650
111  52.16724584 -106.69165998
111  52.16714107 -106.69216724
112  52.16714826 -106.69228721  52.16716666 -106.69232372
112  52.16720665 -106.69234198  52.16723465 -106.69234980
113  52.16724184 -106.69233415
111  52.16796856 -106.67930857
112  52.16787079 -106.67919592  52.16777041 -106.67919167
111  52.16776780 -106.67930432
111  52.16776650 -106.67976339
113  52.16796204 -106.67977402
111  52.16834194 -106.67805624
111  52.16822124 -106.67805747
111  52.16822426 -106.67830346
113  52.16834194 -106.67830223
111  52.16814580 -106.67830223
111  52.16814580 -106.67806731
111  52.16800699 -106.67806362
113  52.16800775 -106.67830100
111  52.16967170 -106.67726871
111  52.16959783 -106.67726956
111  52.16959731 -106.67735668
113  52.16967223 -106.67735668
111  52.16967118 -106.67705431
111  52.16959941 -106.67705431
111  52.16960045 -106.67724479
113  52.16967170 -106.67724735
111  52.16967118 -106.67684504
111  52.16960150 -106.67684333
111  52.16960150 -106.67702271
113  52.16966961 -106.67702612
111  52.16978009 -106.68430871
111  52.16971059 -106.68431066
111  52.16972145 -106.68444055
113  52.16977939 -106.68443907
111  52.17001838 -106.68417192
111  52.17007270 -106.68415273
111  52.17002291 -106.68376011
111  52.16992333 -106.68379406
111  52.16993872 -106.68393871
111  52.16984276 -106.68397118
111  52.16989255 -106.68425752
113  52.17002472 -106.68421767
110 2 0.00 0.0000 New Taxiway 66
111  52.17406079 -106.68186306
111  52.17400733 -106.68143140
111  52.17427428 -106.68135016
113  52.17432695 -106.68177839
110 2 0.00 0.0000 New Taxiway 65
111  52.16272953 -106.69640755
111  52.16297736 -106.69654168
111  52.16289781 -106.69692117
113  52.16265263 -106.69677346
110 2 0.00 0.0000 New Taxiway 65
111  52.17902909 -106.70553297
111  52.17928573 -106.70567192
111  52.17920724 -106.70604750
113  52.17895219 -106.70589888
110 2 0.00 0.0000 New Taxiway 14
111  52.17871916 -106.71848311
111  52.17845698 -106.71855363
111  52.17841100 -106.71816375
113  52.17866581 -106.71808271
110 2 0.00 0.0000 New Taxiway 79
111  52.17708586 -106.70427877
111  52.17686035 -106.70239353
111  52.17439186 -106.68175775
111  52.17446255 -106.68173275
111  52.17709045 -106.70367921 102
111  52.17745533 -106.70437056
111  52.17830929 -106.70484834 102
111  52.17879151 -106.70464916 102
111  52.17916971 -106.70486261 102
111  52.17906073 -106.70538252
113  52.17826795 -106.70493944
110 2 0.00 0.0000 New Taxiway 54
111  52.17834830 -106.71818371 102
111  52.17772016 -106.71838085 102
111  52.17757539 -106.71822220 102
111  52.17484056 -106.71522511 102
111  52.17353020 -106.70425122 102
111  52.17338593 -106.70304302
111  52.16489070 -106.69829555
111  52.16488092 -106.69833702
111  52.16482501 -106.69830809
111  52.16483324 -106.69826344
111  52.16284830 -106.69715417
111  52.16287076 -106.69704752
111  52.17550772 -106.70411058
111  52.17674774 -106.70480365
111  52.17636098 -106.70471222
111  52.17361002 -106.70316511 102
111  52.17373178 -106.70418541 102
111  52.17496888 -106.71455198 102
111  52.17526683 -106.71528277 102
111  52.17738209 -106.71760364 102
111  52.17764623 -106.71771941 102
111  52.17792261 -106.71763089 102
111  52.17811475 -106.71688705
111  52.17673349 -106.70538603 102
111  52.17636098 -106.70471222
111  52.17674774 -106.70480365
113  52.17697100 -106.70667008
110 1 0.00 0.0000 New Taxiway 27
111  52.16909620 -106.69215730
111  52.16896426 -106.69191261
111  52.16909989 -106.69171172
111  52.16913078 -106.69176537
111  52.16922042 -106.69163947
111  52.16926977 -106.69173252
111  52.16925802 -106.69175442
113  52.16930838 -106.69184748
110 2 0.00 0.0000 New Taxiway 26
111  52.17717738 -106.70504377
111  52.17813544 -106.70557925
111  52.17892645 -106.70602137
111  52.17890387 -106.70613086
111  52.17751369 -106.70535411 102
111  52.17745713 -106.70556540 102
111  52.17731934 -106.70561270
111  52.17880714 -106.71804048
111  52.17873450 -106.71806084
113  52.17735700 -106.70654531
110 1 0.00 0.0000 New Taxiway 25
111  52.16975943 -106.69244305
111  52.16974493 -106.69233049
111  52.16977626 -106.69232670
111  52.16970896 -106.69178943
111  52.16954536 -106.69183389
111  52.16951258 -106.69156217
111  52.16956673 -106.69154877
111  52.16928632 -106.69101985
111  52.16927520 -106.69104587
111  52.16922879 -106.69100724
112  52.16926118 -106.69092054  52.16928681 -106.69087166
111  52.16931823 -106.69085905
111  52.16931910 -106.69081276
112  52.16939509 -106.69079762  52.16945485 -106.69079762
112  52.16955116 -106.69069357  52.16958538 -106.69062169
111  52.16958829 -106.69058290
111  52.17037546 -106.68948107
111  52.17040865 -106.68954481
111  52.17050583 -106.68941633
111  52.17048504 -106.68937376
111  52.17053919 -106.68930676
111  52.17054837 -106.68932568
111  52.17058753 -106.68927444
111  52.17063446 -106.68936925
111  52.17063446 -106.68936925
111  52.17066307 -106.68933641
111  52.17074606 -106.68950523
111  52.17075855 -106.68950326
111  52.17081173 -106.68960968
112  52.17092325 -106.68968593  52.17097039 -106.68978906
111  52.17091447 -106.68990002
111  52.17070987 -106.69018960
111  52.17068741 -106.69022139
111  52.17066433 -106.69025406
111  52.17040675 -106.69061865
112  52.17040608 -106.69092152  52.17035822 -106.69108469
111  52.17025525 -106.69110597
111  52.17013341 -106.69128412
111  52.17014695 -106.69130619
111  52.17008313 -106.69139448
111  52.17007056 -106.69136767
112  52.16993713 -106.69173973  52.16989942 -106.69195571
111  52.16993036 -106.69226629
111  52.16995502 -106.69226629
111  52.16996420 -106.69237743
112  52.17001738 -106.69263204  52.16999224 -106.69277471
111  52.17001738 -106.69263204
112  52.17001738 -106.69263204  52.17000511 -106.69270171
112  52.16995557 -106.69277043  52.16992980 -106.69279617
111  52.16995557 -106.69277043
112  52.16995557 -106.69277043  52.16993382 -106.69279215
112  52.16989172 -106.69280446  52.16987280 -106.69280731
111  52.16989172 -106.69280446
112  52.16989172 -106.69280446  52.16988715 -106.69280515
112  52.16987380 -106.69280545  52.16986995 -106.69280545
111  52.16987380 -106.69280545
112  52.16987380 -106.69280545  52.16983512 -106.69280545
112  52.16975052 -106.69267224  52.16972489 -106.69258632
114  52.16974568 -106.69248069  52.16974858 -106.69246256
130 Airport Boundary 24
111  52.15869821 -106.71182804
112  52.15842517 -106.70817890  52.15842086 -106.70694231
111  52.15843179 -106.69446204
112  52.15852459 -106.69248105  52.15864313 -106.69162621
112  52.15889029 -106.69002188  52.15897261 -106.68926965
111  52.15895464 -106.68824568
111  52.15905890 -106.68779793
111  52.16351890 -106.68779069
111  52.16386939 -106.68781748
111  52.16394995 -106.68327550
111  52.16685547 -106.68325838
111  52.16685127 -106.68233523
111  52.16658559 -106.68230561
111  52.16657083 -106.68110083
111  52.16678961 -106.68110165
111  52.16677743 -106.67629576
111  52.16853576 -106.67623878
111  52.16852154 -106.67371432
111  52.16854186 -106.67295273
111  52.16966574 -106.67268241
111  52.16993569 -106.67263769
111  52.17023019 -106.67250118
111  52.17058675 -106.67211988
111  52.17165121 -106.67131585
111  52.17570019 -106.67101361
111  52.17827437 -106.67170605
111  52.18029917 -106.67243101
111  52.18032188 -106.69418586
111  52.18521197 -106.69424120
111  52.18521568 -106.69613866
111  52.18737233 -106.69614688
111  52.18736703 -106.71769544
111  52.18391921 -106.71767991
111  52.18391249 -106.72973070
111  52.17308408 -106.72969927
113  52.17307627 -106.71162681
120 Linear Feature 14
111  52.17017954 -106.69181516 51
115  52.17017089 -106.69184068
120 Linear Feature 13
111  52.17000741 -106.69300793 51
115  52.16998725 -106.69303791
120 Linear Feature 12
111  52.16959372 -106.69302351 51
115  52.16956881 -106.69303028
120 Linear Feature 12
111  52.16962100 -106.69300901 51
115  52.16959609 -106.69301578
120 Linear Feature 10
111  52.17110246 -106.69015898 51
115  52.17110517 -106.69014070
120 Linear Feature 9
111  52.17096052 -106.69023948 51
115  52.17096203 -106.69022074
120 Linear Feature 8
111  52.17065323 -106.69071853 51
115  52.17066014 -106.69069738
120 Linear Feature 7
111  52.17043899 -106.69129271 51
115  52.17044641 -106.69127011
120 Linear Feature 6
111  52.17030592 -106.69143220 51
115  52.17031345 -106.69141276
120 Linear Feature 5
111  52.17012081 -106.69177807 51
115  52.17012957 -106.69175528
120 Linear Feature 4
111  52.17018490 -106.69267334 51
115  52.17018910 -106.69264798
120 Linear Feature 3
111  52.16997793 -106.69298824 51
115  52.16999110 -106.69296909
120 Linear Feature 2
111  52.16959801 -106.69291920 51
115  52.16961458 -106.69291421
120 Linear Feature 2
111  52.16957323 -106.69294721 51
115  52.16958908 -106.69294322
120 Linear Feature 1
111  52.16955250 -106.69243781 51
115  52.16956147 -106.69245635
120 Linear Feature 44
111  52.17118402 -106.68859492 22
112  52.17117231 -106.68829261  52.17119418 -106.68816715 22
112  52.17124171 -106.68801709  52.17125982 -106.68794697 22
112  52.17124473 -106.68774402  52.17123794 -106.68766529 22
115  52.17092939 -106.68511788
120 Linear Feature 43
111  52.16902177 -106.69136745 22
115  52.16760628 -106.69057221
120 Linear Feature 64
111  52.16652361 -106.69263805 2
115  52.16647280 -106.69260876
120 Linear Feature 63
111  52.16973627 -106.69450685 51
111  52.16976530 -106.69456218 51
111  52.16972921 -106.69457238 51
115  52.16973627 -106.69450685
120 Linear Feature 62
111  52.16957323 -106.69294721 52
115  52.16973627 -106.69450685
120 Linear Feature 61
111  52.17141924 -106.69017797 58
115  52.17101250 -106.68995610
120 Linear Feature 60
111  52.17035413 -106.68432084 20
115  52.16978009 -106.68430871
120 Linear Feature 59
111  52.17046641 -106.68479366 20
115  52.16968565 -106.68478760
120 Linear Feature 58
111  52.16993130 -106.67894108 51
112  52.16987888 -106.67877679  52.16987702 -106.67869799 51
115  52.16987702 -106.67849593
120 Linear Feature 57
111  52.16971298 -106.67819317 51
115  52.16977321 -106.67831804
120 Linear Feature 56
111  52.16963639 -106.67825985 51
115  52.16971819 -106.67840775
120 Linear Feature 53
111  52.16953684 -106.67593210 51
115  52.16913586 -106.67593381
120 Linear Feature 52
111  52.16967142 -106.67577356 51
115  52.16911070 -106.67578813
120 Linear Feature 51
111  52.16913456 -106.67607908 51
115  52.16967291 -106.67608272
120 Linear Feature 50
111  52.17060814 -106.67531126 51
112  52.17037637 -106.67502034  52.17018571 -106.67499094
111  52.17037637 -106.67502034
112  52.17037637 -106.67502034  52.17021526 -106.67502237 51
115  52.16986578 -106.67502135
120 Linear Feature 49
111  52.16978286 -106.68455228 51
115  52.16716918 -106.68455349
120 Linear Feature 48
111  52.16967614 -106.67672939 1
111  52.16967614 -106.67671244 1
111  52.16988304 -106.67671653 1
113  52.16988340 -106.67673407 1
120 Linear Feature 47
111  52.16986767 -106.67683618 1
115  52.16968487 -106.67683449
120 Linear Feature 46
111  52.16968384 -106.67698436 1
111  52.16968384 -106.67696078 1
111  52.16988316 -106.67695910 1
111  52.16988316 -106.67695910 1
113  52.16988316 -106.67698267 1
120 Linear Feature 45
111  52.16968800 -106.67714258 1
115  52.16987360 -106.67714258
120 Linear Feature 44
111  52.16968819 -106.67735293 1
115  52.16968783 -106.67733870
120 Linear Feature 43
111  52.16968851 -106.67763012 1
115  52.16968851 -106.67761160
120 Linear Feature 42
111  52.16968414 -106.67790465 1
115  52.16968387 -106.67788775
120 Linear Feature 41
111  52.16968819 -106.67735293 1
111  52.16988018 -106.67735764 1
111  52.16988018 -106.67733870 1
115  52.16968783 -106.67733870
120 Linear Feature 40
111  52.16987699 -106.67748615 1
115  52.16968490 -106.67748363
120 Linear Feature 39
111  52.16968851 -106.67763012 1
111  52.16988267 -106.67763012 1
111  52.16988422 -106.67761497 1
115  52.16968851 -106.67761160
120 Linear Feature 38
111  52.16987338 -106.67775388 1
115  52.16969316 -106.67774799
120 Linear Feature 37
111  52.16968414 -106.67790465 1
111  52.16987648 -106.67790290 1
111  52.16987648 -106.67788775 1
115  52.16968387 -106.67788775
120 Linear Feature 36
111  52.16987493 -106.67803677 1
115  52.16969523 -106.67803256
120 Linear Feature 35
111  52.16987338 -106.67816390 1
115  52.16968542 -106.67816222
120 Linear Feature 33
111  52.17004677 -106.67832962 22
115  52.16971376 -106.67909079
120 Linear Feature 32
111  52.17005319 -106.67957612 22
115  52.17004891 -106.67886558
120 Linear Feature 31
111  52.16862109 -106.69324424 22
112  52.16849157 -106.69311935  52.16842573 -106.69308848 22
115  52.16751153 -106.69257559
120 Linear Feature 30
111  52.17030592 -106.69143220 51
111  52.17096566 -106.69206554 51
111  52.17100860 -106.69206591 51
111  52.17098910 -106.69211768 51
115  52.17096566 -106.69206554
120 Linear Feature 29
111  52.17110246 -106.69015898 51
111  52.17130472 -106.69023536 51
111  52.17140808 -106.69042328 51
111  52.17147797 -106.69078822 51
111  52.17147699 -106.69084925 51
111  52.17151260 -106.69082164 51
115  52.17147797 -106.69078822
120 Linear Feature 28
111  52.17132434 -106.68961077 52
112  52.17125581 -106.68968759  52.17118621 -106.68967711 52
112  52.17121298 -106.68947809  52.17123761 -106.68945015 52
115  52.17128258 -106.68941349
120 Linear Feature 27
111  52.17126176 -106.68906444 52
111  52.17130078 -106.68940825 52
115  52.17132434 -106.68961077
120 Linear Feature 13
111  52.16966471 -106.67838936 20
111  52.16691627 -106.67839411 20
115  52.16684512 -106.67830845
120 Linear Feature 12
111  52.16963537 -106.67899029 20
115  52.16683363 -106.67899700
120 Linear Feature 55
111  52.17008398 -106.67640501 51
116  52.16988030 -106.67612824  52.16985264 -106.67586637
120 Linear Feature 54
111  52.17008398 -106.67640501 51
116  52.16991421 -106.67672182  52.16990707 -106.67691677
120 Linear Feature 11
111  52.17047611 -106.67640384 51
111  52.17008398 -106.67640501 51
115  52.16918863 -106.67642428
120 Linear Feature 7
111  52.17035121 -106.68215283 51
111  52.17009892 -106.68009489 51
112  52.17015113 -106.67971369  52.17024760 -106.67957675 51
116  52.17038211 -106.67968932  52.17040708 -106.67971337
120 Linear Feature 6
111  52.17122437 -106.68892866 51
112  52.17118989 -106.68906609  52.17119372 -106.68918924 51
112  52.17112421 -106.68937309  52.17106127 -106.68942931 51
116  52.17096872 -106.68934318  52.17095394 -106.68930213
120 Linear Feature 5
111  52.17096872 -106.68934318 51
111  52.17097556 -106.68912900 51
112  52.17100156 -106.68900926  52.17102391 -106.68895646 51
111  52.17108685 -106.68887614 51
111  52.17112439 -106.68886495 51
111  52.17111465 -106.68884130 51
111  52.17110460 -106.68881689 51
115  52.17108685 -106.68887614
120 Linear Feature 4
111  52.16997793 -106.69298824 51
111  52.17038475 -106.69375897 51
111  52.17041885 -106.69377619 51
111  52.17039047 -106.69381671 51
115  52.17038475 -106.69375897
120 Linear Feature 3
111  52.17096052 -106.69023948 51
111  52.17127169 -106.69032584 51
111  52.17152138 -106.69080544 51
111  52.17155596 -106.69082185 51
111  52.17153220 -106.69086188 51
115  52.17152138 -106.69080544
120 Linear Feature 93
111  52.17018490 -106.69267334 51
111  52.17081292 -106.69288760 51
111  52.17085093 -106.69286669 51
111  52.17084277 -106.69293436 51
115  52.17081292 -106.69288760
120 Linear Feature 92
111  52.17012081 -106.69177807 51
111  52.17091066 -106.69249594 51
111  52.17095319 -106.69249412 51
111  52.17093556 -106.69255479 51
115  52.17091066 -106.69249594
120 Linear Feature 91
111  52.17043899 -106.69129271 51
111  52.17102594 -106.69182830 51
111  52.17106396 -106.69182791 51
111  52.17104453 -106.69188493 51
115  52.17102594 -106.69182830
120 Linear Feature 90
111  52.17065323 -106.69071853 51
111  52.17123747 -106.69125138 51
111  52.17127592 -106.69124764 51
111  52.17125946 -106.69129846 51
115  52.17123747 -106.69125138
120 Linear Feature 86
111  52.16975234 -106.69301109 20
111  52.16991067 -106.69319985 20
111  52.16993678 -106.69305323 20
111  52.16984338 -106.69287824 20
115  52.16989172 -106.69280446
120 Linear Feature 85
111  52.16959801 -106.69291920 51
111  52.16977467 -106.69458235 51
111  52.16976021 -106.69463515 51
111  52.16979822 -106.69462797 51
115  52.16977467 -106.69458235
120 Linear Feature 84
111  52.16955250 -106.69243781 51
111  52.16902871 -106.69314196 51
111  52.16915906 -106.69440781 51
111  52.16914664 -106.69446747 51
111  52.16918357 -106.69445871 51
115  52.16915906 -106.69440781
120 Linear Feature 80
111  52.17085395 -106.68305217 51
115  52.17060717 -106.68313037
120 Linear Feature 78
111  52.17104214 -106.68259049 51
116  52.17085395 -106.68305217  52.17065747 -106.68316659
120 Linear Feature 77
111  52.17113162 -106.68336031 51
116  52.17085395 -106.68305217  52.17063341 -106.68306688
120 Linear Feature 76
111  52.17132406 -106.68290475 51
115  52.17085395 -106.68305217
120 Linear Feature 73
111  52.17138206 -106.68866887 51
112  52.17127479 -106.68879637  52.17124471 -106.68886665 51
111  52.17124471 -106.68893367 51
115  52.17126176 -106.68906444
120 Linear Feature 72
111  52.17157558 -106.68861801 51
111  52.17138206 -106.68866887 51
112  52.17126276 -106.68871137  52.17123068 -106.68872935 51
115  52.17111465 -106.68884130
120 Linear Feature 71
111  52.17153763 -106.69285785 51
115  52.17049956 -106.69431799
120 Linear Feature 70
111  52.17124804 -106.69283578 51
116  52.17118242 -106.69220981  52.17120984 -106.69175788
120 Linear Feature 69
111  52.17124804 -106.69283578 51
116  52.17101230 -106.69291016  52.17089392 -106.69310081
120 Linear Feature 68
111  52.17104778 -106.69357746 51
116  52.17082112 -106.69354080  52.17068779 -106.69365686
120 Linear Feature 64
111  52.17124804 -106.69283578 51
115  52.17183250 -106.69392604
120 Linear Feature 63
111  52.17122799 -106.69300087 51
115  52.17173726 -106.69396363
120 Linear Feature 11
111  52.17113861 -106.69488571 51
115  52.17111991 -106.69491204
120 Linear Feature 11
111  52.17183250 -106.69392604 51
115  52.17181330 -106.69395167
120 Linear Feature 11
111  52.17173726 -106.69396363 51
115  52.17171958 -106.69398939
120 Linear Feature 62
111  52.17104778 -106.69357746 51
111  52.17148303 -106.69439066 51
115  52.17146047 -106.69442607
120 Linear Feature 59
111  52.17071950 -106.69409185 51
115  52.17113861 -106.69488571
120 Linear Feature 58
111  52.16905243 -106.69247315 22
112  52.16900431 -106.69268890  52.16900070 -106.69280658 22
111  52.16903799 -106.69292819 22
111  52.16932659 -106.69382298 22
112  52.16953591 -106.69399408  52.16967425 -106.69395322 22
112  52.16995212 -106.69379965  52.17003132 -106.69373753 22
112  52.17022380 -106.69349399  52.17035111 -106.69331746 22
112  52.17047943 -106.69309517  52.17052655 -106.69300036 22
112  52.17059973 -106.69275682  52.17063482 -106.69261461 22
112  52.17098870 -106.69120073  52.17105988 -106.69093593 22
111  52.17118118 -106.69076266 22
111  52.17143180 -106.69042594 22
112  52.17145094 -106.69025424  52.17143423 -106.69011939 22
111  52.17129430 -106.68898995 22
115  52.17118402 -106.68859492
120 Linear Feature 56
111  52.17315885 -106.70111699 54 104
115  52.17335683 -106.70105680
120 Linear Feature 55
111  52.17373178 -106.70418541 54 104
115  52.17353020 -106.70425122
120 Linear Feature 53
111  52.17001999 -106.67831695 20
115  52.16967997 -106.67907700
120 Linear Feature 52
111  52.16975098 -106.67908517 20
115  52.17003084 -106.67845316
120 Linear Feature 51
111  52.17002760 -106.67955308 20
115  52.17002343 -106.67887339
120 Linear Feature 50
111  52.17007606 -106.67960347 20
115  52.17007856 -106.67886930
120 Linear Feature 49
111  52.17037742 -106.68046758 20
115  52.16993231 -106.68060095
120 Linear Feature 48
111  52.17047486 -106.68132668 20
115  52.17003697 -106.68146202
120 Linear Feature 47
111  52.17006758 -106.68235126 20
115  52.16991250 -106.68240303
120 Linear Feature 46
