I
1050 Generated by WorldEditor

1    496 1 0 CYQX GANDER INTL
115  48.94210292 -054.57427653
120 Linear Feature 96
111  48.94304021 -054.55976374 54 103
115  48.94326054 -054.55955765
120 Linear Feature 92
111  48.92764489 -054.56708752 54 103
115  48.92723891 -054.56744081
120 Linear Feature 90
111  48.94871947 -054.56961770 54 103
115  48.94858475 -054.56896180
120 Linear Feature 89
111  48.94992662 -054.57526932 54 103
115  48.94979229 -054.57463333
120 Linear Feature 88
111  48.95246824 -054.58613417 54 103
115  48.95233045 -054.58547164
120 Linear Feature 77
111  48.94718630 -054.57075306 51 101
112  48.94724509 -054.57022889  48.94730913 -054.57002863 51 101
115  48.94744456 -054.56988296
120 Linear Feature 76
111  48.94987442 -054.56998064 51 101
111  48.94970892 -054.56920000
112  48.94970892 -054.56920000  48.94962942 -054.56886331 51 101
115  48.94939632 -054.56892732
120 Linear Feature 75
111  48.94935365 -054.56751892 51 101
111  48.94952754 -054.56833115
112  48.94952754 -054.56833115  48.94962676 -054.56877950 51 101
111  48.94939632 -054.56892732 51 101
111  48.94744456 -054.56988296 51 101
111  48.94713039 -054.57003678
112  48.94713039 -054.57003678  48.94700784 -054.57008318 51 101
115  48.94675223 -054.57005272
120 Linear Feature 73
111  48.94345026 -054.57323229 51 101
111  48.94246146 -054.57245403
112  48.94246146 -054.57245403  48.94238880 -054.57238129 51 101
115  48.94240172 -054.57223531
120 Linear Feature 72
111  48.94284267 -054.55810400 51 101
112  48.94284589 -054.55798264  48.94284914 -054.55794950 51 101
115  48.94286428 -054.55792614
120 Linear Feature 69
111  48.94485416 -054.56083068 51 101
111  48.94433486 -054.56098237
112  48.94433486 -054.56098237  48.94390745 -054.56112073 51 101
115  48.94357721 -054.56060847
120 Linear Feature 68
111  48.94284537 -054.56140922 51 101
111  48.94338945 -054.56125492
112  48.94338945 -054.56125492  48.94377905 -054.56106375 51 101
111  48.94357721 -054.56060847 51 101
111  48.94303313 -054.55940328 51 101
112  48.94296471 -054.55917688  48.94294846 -054.55907878
111  48.94296471 -054.55917688 51 101
111  48.94288774 -054.55861239 51 101
111  48.94284267 -054.55810400
112  48.94284267 -054.55810400  48.94283665 -054.55800565 51 101
111  48.94279969 -054.55792443 51 101
111  48.94271045 -054.55770306 51 101
111  48.94230696 -054.55670217
112  48.94230696 -054.55670217  48.94228297 -054.55664199 51 101
111  48.94224642 -054.55660135 51 101
111  48.94198140 -054.55638873 51 101
112  48.94191712 -054.55641974  48.94188881 -054.55648575
111  48.94191712 -054.55641974 51 101
111  48.94182510 -054.55668821
112  48.94182510 -054.55668821  48.94179390 -054.55679406 51 101
111  48.94185331 -054.55683855 51 101
111  48.94238496 -054.55724846
112  48.94238496 -054.55724846  48.94258505 -054.55745073 51 101
115  48.94271045 -054.55770306
120 Linear Feature 67
111  48.94341747 -054.55842440 53 102
111  48.94296959 -054.55809323 53 102
111  48.94300157 -054.55859283 53 102
111  48.94307114 -054.55912464 53 102
115  48.94312316 -054.55927063
120 Linear Feature 66
111  48.94333512 -054.56076528 53 102
111  48.94332573 -054.56049192 53 102
111  48.94304021 -054.55976374 53 102
111  48.94288390 -054.55936509 53 102
111  48.94286337 -054.55931272 53 102
111  48.94267809 -054.55797175 53 102
111  48.94236102 -054.55731067 53 102
111  48.94175281 -054.55684199 53 102
115  48.94199662 -054.55608334
120 Linear Feature 65
111  48.94659123 -054.57029972 21
112  48.94652828 -054.57037282  48.94647190 -054.57037865
111  48.94652828 -054.57037282 21
111  48.94634692 -054.57038094
112  48.94634692 -054.57038094  48.94623524 -054.57035093 21
115  48.94604928 -054.57018277
120 Linear Feature 64
111  48.94814393 -054.57801056 21
112  48.94814513 -054.57793537  48.94815537 -054.57788311
111  48.94814513 -054.57793537
112  48.94814513 -054.57793537  48.94816019 -054.57787577 21
111  48.94818367 -054.57773548 21
112  48.94819090 -054.57756401  48.94817344 -054.57749891
111  48.94819090 -054.57756401 21
111  48.94788739 -054.57613451 21
112  48.94790365 -054.57587227  48.94794855 -054.57571222
111  48.94790365 -054.57587227 21
111  48.94799465 -054.57554437 21
112  48.94796995 -054.57515797  48.94792292 -054.57496734
111  48.94796995 -054.57515797 21
111  48.94706718 -054.57095981
112  48.94706718 -054.57095981  48.94696940 -054.57050338 21
111  48.94668599 -054.57040416
112  48.94668599 -054.57040416  48.94665769 -054.57035373 21
115  48.94665287 -054.57027579
120 Linear Feature 63
111  48.94781727 -054.57511523 21
112  48.94790544 -054.57518235  48.94792933 -054.57527935
111  48.94790544 -054.57518235 21
112  48.94792628 -054.57550943  48.94791188 -054.57568291
111  48.94792628 -054.57550943 21
112  48.94783516 -054.57586169  48.94779903 -054.57599006
111  48.94783516 -054.57586169
112  48.94783516 -054.57586169  48.94779082 -054.57603674 21
111  48.94782288 -054.57617456 21
111  48.94812426 -054.57758295
112  48.94812426 -054.57758295  48.94813828 -054.57764840 21
111  48.94812826 -054.57772208 21
111  48.94808396 -054.57794701
112  48.94808396 -054.57794701  48.94808566 -054.57799101 21
115  48.94809540 -054.57805526
120 Linear Feature 62
111  48.94743514 -054.57330531 21
112  48.94751583 -054.57336400  48.94753839 -054.57345104
111  48.94751583 -054.57336400 21
111  48.94784162 -054.57489252
112  48.94784162 -054.57489252  48.94785451 -054.57500971 21
115  48.94780007 -054.57502364
120 Linear Feature 61
111  48.94703601 -054.57148400 21
112  48.94712333 -054.57153168  48.94714359 -054.57161254
111  48.94712333 -054.57153168 21
111  48.94746362 -054.57310965
112  48.94746362 -054.57310965  48.94747386 -054.57317567 21
115  48.94741699 -054.57321283
120 Linear Feature 60
111  48.94558674 -054.57127342 21
112  48.94556962 -054.57111162  48.94560178 -054.57102166
111  48.94556962 -054.57111162 21
111  48.94571667 -054.57076466
112  48.94571667 -054.57076466  48.94582664 -054.57051110 21
111  48.94601578 -054.57050543 21
111  48.94654505 -054.57047517
112  48.94654505 -054.57047517  48.94690721 -054.57051194 21
111  48.94699417 -054.57094519 21
111  48.94706372 -054.57126794
112  48.94706372 -054.57126794  48.94707797 -054.57136950 21
115  48.94701735 -054.57139402
120 Linear Feature 59
111  48.94580764 -054.57491287 21
112  48.94574524 -054.57482981  48.94572991 -054.57477229
111  48.94574524 -054.57482981 21
111  48.94520416 -054.57231315
112  48.94520416 -054.57231315  48.94515912 -054.57208723 21
111  48.94523403 -054.57191709 21
111  48.94548223 -054.57131910
112  48.94548223 -054.57131910  48.94551491 -054.57125617 21
115  48.94554251 -054.57134330
120 Linear Feature 58
111  48.94564776 -054.57496536 21
112  48.94567528 -054.57483852  48.94566488 -054.57477684
111  48.94567528 -054.57483852 21
111  48.94514214 -054.57235725 21
112  48.94516459 -054.57190214  48.94523989 -054.57164933
111  48.94516459 -054.57190214 21
111  48.94566578 -054.57069942
112  48.94566578 -054.57069942  48.94585456 -054.57034641 21
111  48.94608016 -054.57039737
112  48.94608016 -054.57039737  48.94611905 -054.57035182 21
115  48.94602021 -054.57027789
120 Linear Feature 57
111  48.94747259 -054.57662614 51
115  48.94740522 -054.57632008
120 Linear Feature 56
111  48.94220679 -054.57161457 53
115  48.94224364 -054.57111401
120 Linear Feature 55
111  48.94209914 -054.57153336 53
115  48.94235324 -054.57118932
120 Linear Feature 54
111  48.94768705 -054.57570525 51
115  48.94750281 -054.57555337
120 Linear Feature 53
111  48.94752830 -054.57475778 51
115  48.94739124 -054.57465038
120 Linear Feature 52
111  48.94751111 -054.57488256 51
115  48.94730550 -054.57470978
120 Linear Feature 51
111  48.94645333 -054.57323994 53
111  48.94641281 -054.57304511 53
111  48.94649655 -054.57300568 53
115  48.94653826 -054.57320033
120 Linear Feature 50
111  48.94621567 -054.57431840 51
115  48.94590102 -054.57402490
120 Linear Feature 49
111  48.94612595 -054.57302661 51
115  48.94588890 -054.57302912
120 Linear Feature 48
111  48.94571414 -054.57290511 51
111  48.94588890 -054.57302912 51
115  48.94607580 -054.57316175
120 Linear Feature 47
111  48.94578868 -054.57165357 51
115  48.94550737 -054.57248853
120 Linear Feature 46
111  48.94622555 -054.57100615 51
115  48.94572212 -054.57124915
120 Linear Feature 45
111  48.94690747 -054.57127741 51
115  48.94634336 -054.57083116
120 Linear Feature 44
111  48.94706345 -054.57227076 51
115  48.94657510 -054.57187753
120 Linear Feature 43
111  48.94729676 -054.57318769 51
115  48.94680778 -054.57279433
120 Linear Feature 42
111  48.94743765 -054.57745808 51
111  48.94775874 -054.57731227 51
111  48.94753695 -054.57625626 51
111  48.94740522 -054.57632008 51
115  48.94733044 -054.57635632
120 Linear Feature 41
111  48.94551693 -054.57057446 51 101
112  48.94550408 -054.57007375  48.94545038 -054.56981014 51 101
115  48.94526978 -054.56963285
120 Linear Feature 39
111  48.94597982 -054.56999015 51 101
112  48.94551693 -054.57057446  48.94534365 -054.57114139
111  48.94551693 -054.57057446 51 101
111  48.94511507 -054.57178752
112  48.94511507 -054.57178752  48.94503295 -054.57201837 51 101
111  48.94507339 -054.57231594 51 101
115  48.94515364 -054.57268490
120 Linear Feature 38
111  48.94184016 -054.57390572 51 101
111  48.94123472 -054.57571028 51 101
111  48.94112851 -054.57602685 51 101
112  48.94117021 -054.57618779  48.94124138 -054.57625447
111  48.94117021 -054.57618779 51 101
111  48.94138243 -054.57636202
112  48.94138243 -054.57636202  48.94144001 -054.57641274 51
111  48.94140879 -054.57649934 51
115  48.94135627 -054.57664684
120 Linear Feature 34
111  48.94697595 -054.55765539 54 103
115  48.94749921 -054.55740307
120 Linear Feature 33
111  48.94854769 -054.56232756 54 103
115  48.94802543 -054.56258475
120 Linear Feature 32
111  48.94697673 -054.56066572 54 103
115  48.94687241 -054.55984518
120 Linear Feature 31
111  48.93324221 -054.56422236 51 101
111  48.93270346 -054.56438151
112  48.93270346 -054.56438151  48.93247466 -054.56449353 51 101
115  48.93249840 -054.56480638
120 Linear Feature 30
111  48.93165755 -054.56467795 51 101
111  48.93219969 -054.56452442 51 101
112  48.93249840 -054.56480638  48.93259786 -054.56512813
111  48.93249840 -054.56480638 51 101
111  48.93277481 -054.56706360
112  48.93277481 -054.56706360  48.93284755 -054.56753159 51 101
115  48.93314956 -054.56756430
120 Linear Feature 29
111  48.95107608 -054.57564177 51 101
111  48.95091921 -054.57487799
112  48.95091921 -054.57487799  48.95084387 -054.57454235 51 101
115  48.95061584 -054.57458047
120 Linear Feature 28
111  48.95058383 -054.57330687 51 101
111  48.95075666 -054.57414511 51 101
112  48.95061584 -054.57458047  48.95043333 -054.57476306
111  48.95061584 -054.57458047 51 101
111  48.94869823 -054.57552062
112  48.94869823 -054.57552062  48.94864853 -054.57554747 51 101
115  48.94858683 -054.57553784
120 Linear Feature 27
111  48.92805320 -054.56571655 51 101
111  48.92754695 -054.56586571
112  48.92754695 -054.56586571  48.92730088 -054.56594594 51 101
115  48.92731688 -054.56629776
120 Linear Feature 74
111  48.94230260 -054.57253013 51 101
112  48.94237385 -054.57245100  48.94240937 -054.57243165 51 101
115  48.94246146 -054.57245403
120 Linear Feature 36
111  48.94359384 -054.56832818 51 101
112  48.94363750 -054.56855935  48.94361560 -054.56870256
111  48.94363750 -054.56855935 51 101
111  48.94240172 -054.57223531 51 101
111  48.94230260 -054.57253013 51 101
111  48.94184016 -054.57390572 51 101
112  48.94191521 -054.57413092  48.94199934 -054.57419546
111  48.94191521 -054.57413092 51 101
111  48.94210292 -054.57427653 51 101
111  48.94225262 -054.57439264 51 101
111  48.94242343 -054.57452513 51 101
115  48.94269665 -054.57473706
120 Linear Feature 37
111  48.94363750 -054.56855935 51 101
112  48.94369833 -054.56848526  48.94372909 -054.56846322 51 101
115  48.94377698 -054.56847075
120 Linear Feature 26
111  48.95287525 -054.58409502 51 101
111  48.95304446 -054.58487077 51 101
112  48.95282683 -054.58562782  48.95249514 -054.58588628
111  48.95282683 -054.58562782 51 101
111  48.95239156 -054.58584064
112  48.95239156 -054.58584064  48.95234578 -054.58586110 51 101
111  48.95231048 -054.58583414 51 101
111  48.95104523 -054.58483506 51 101
112  48.95061743 -054.58404718  48.95048308 -054.58350583
111  48.95061743 -054.58404718 51 101
111  48.94891986 -054.57608861 51 101
112  48.94858683 -054.57553784  48.94832064 -054.57540341
111  48.94858683 -054.57553784
112  48.94858683 -054.57553784  48.94814121 -054.57537609 51 101
111  48.94807987 -054.57495175 51 101
111  48.94718630 -054.57075306
112  48.94718630 -054.57075306  48.94709995 -054.57014387 51 101
111  48.94675223 -054.57005272 51 101
111  48.94597982 -054.56999015 51 101
112  48.94562895 -054.56990382  48.94550946 -054.56983073
111  48.94562895 -054.56990382
112  48.94562895 -054.56990382  48.94555961 -054.56986646 51 101
111  48.94526978 -054.56963285 51 101
111  48.94377698 -054.56847075 51 101
111  48.94359384 -054.56832818 51 101
111  48.94045898 -054.56588778
112  48.94045898 -054.56588778  48.94005365 -054.56559496 51 101
111  48.93961055 -054.56570107 51 101
111  48.93314956 -054.56756430 51 101
111  48.92924276 -054.56869094
112  48.92924276 -054.56869094  48.92893167 -054.56877543 51 101
111  48.92866833 -054.56852197 51 101
111  48.92756355 -054.56737451 51 101
112  48.92738545 -054.56688605  48.92733520 -054.56653849
111  48.92738545 -054.56688605 51 101
111  48.92731688 -054.56629776
112  48.92731688 -054.56629776  48.92722281 -054.56594653 51 101
111  48.92695040 -054.56602845 51 101
115  48.92647369 -054.56617422
120 Linear Feature 23
111  48.93983421 -054.57823669 53
115  48.94010198 -054.57790374
120 Linear Feature 22
111  48.93995583 -054.57832439 53
115  48.93998357 -054.57780142
120 Linear Feature 20
111  48.94353275 -054.56847318 53 102
111  48.94302128 -054.56807846 53 102
115  48.94276645 -054.56788180
120 Linear Feature 43
111  48.94419697 -054.56898870 2
115  48.94430051 -054.56868249
120 Linear Feature 19
111  48.94526841 -054.56997699 53 102
112  48.94511462 -054.56970234  48.94507367 -054.56965100
111  48.94511462 -054.56970234 53 102
111  48.94419697 -054.56898870 53 102
111  48.94397397 -054.56881527 53 102
115  48.94383822 -054.56870970
120 Linear Feature 47
111  48.94302128 -054.56807846 2
115  48.94312255 -054.56776842
120 Linear Feature 18
111  48.94286802 -054.56757091 53 102
111  48.94312255 -054.56776842 53 102
111  48.94407849 -054.56851020 53 102
111  48.94430051 -054.56868249 53 102
111  48.94521532 -054.56939236
112  48.94521532 -054.56939236  48.94525016 -054.56941509 53 102
115  48.94549522 -054.56947648
120 Linear Feature 17
111  48.94416890 -054.56484539 53
115  48.94442029 -054.56448594
120 Linear Feature 16
111  48.94427165 -054.56492749 53
115  48.94431828 -054.56440274
120 Linear Feature 15
111  48.94448572 -054.56470593 53
115  48.94475022 -054.56436057
120 Linear Feature 14
111  48.94460595 -054.56479502 53
115  48.94463159 -054.56426538
120 Linear Feature 13
111  48.94317511 -054.56778829 53
115  48.94342504 -054.56743440
120 Linear Feature 12
111  48.94327930 -054.56786706 53
115  48.94331865 -054.56734676
120 Linear Feature 11
111  48.94338748 -054.56794996 53
115  48.94365110 -054.56760900
120 Linear Feature 10
111  48.94350563 -054.56803990 53
115  48.94353649 -054.56751772
120 Linear Feature 9
111  48.94306070 -054.56868351 53
115  48.94329699 -054.56837342
120 Linear Feature 8
111  48.94316826 -054.56876808 53
115  48.94319207 -054.56826469
120 Linear Feature 7
111  48.94113960 -054.57437779 53
115  48.94139799 -054.57404357
120 Linear Feature 6
111  48.94124963 -054.57447948 53
115  48.94127865 -054.57394439
120 Linear Feature 5
111  48.94731693 -054.56964600 53 102
115  48.94756212 -054.56967646
120 Linear Feature 4
111  48.94817747 -054.57478155 53 102
115  48.94821116 -054.57494588
120 Linear Feature 3
111  48.94758742 -054.56998827 53 102
111  48.94732931 -054.57076578 53 102
115  48.94735183 -054.57087766
120 Linear Feature 2
111  48.94894607 -054.57573159 53 102
111  48.95044781 -054.58274837 53 102
111  48.95073269 -054.58407946 53 102
112  48.95106332 -054.58467153  48.95117617 -054.58485278
111  48.95106332 -054.58467153 53 102
111  48.95205784 -054.58543546 53 102
111  48.95233045 -054.58547164 53 102
111  48.95244226 -054.58548648 53 102
111  48.95264218 -054.58538310 53 102
115  48.95266372 -054.58521463
120 Linear Feature 46
111  48.95024572 -054.58284327 56
115  48.95044781 -054.58274837
120 Linear Feature 1
111  48.95152133 -054.58609114 53 102
111  48.95139597 -054.58553721 53 102
111  48.95124441 -054.58518326 53 102
111  48.95064608 -054.58469456 53 102
111  48.95024572 -054.58284327 53 102
111  48.94880790 -054.57619461
112  48.94880790 -054.57619461  48.94878823 -054.57614396 53 102
112  48.94857819 -054.57587211  48.94850535 -054.57577409
111  48.94857819 -054.57587211
112  48.94857819 -054.57587211  48.94851712 -054.57580719 53 102
115  48.94835196 -054.57587340
120 Linear Feature 24
111  48.94743685 -054.57402947 51
115  48.94695868 -054.57366047
120 Linear Feature 91
111  48.93283890 -054.56592807 54 103
115  48.93244832 -054.56604136
120 Linear Feature 7
111  48.94260298 -054.57505849 51
115  48.94196928 -054.57456493
120 Linear Feature 42
111  48.94407849 -054.56851020 55
115  48.94397397 -054.56881527
21  48.94437953 -054.56017489 2 190.9400 3.00 21  PAPI-4L
21  48.94625627 -054.55554024 2 287.3300 3.00 31  PAPI-4L
14  48.94672756 -054.57484472  82.02 0 New Tower Viewpoint 1
1300  48.94097955 -054.57547156 334.77 tie_down turboprops|props GA 10
1301 A general_aviation 
1300  48.94020844 -054.57884669 151.75 tie_down turboprops|props GA 09
1301 A general_aviation 
1300  48.94033674 -054.57846671 150.68 tie_down turboprops|props GA 08
1301 A general_aviation 
1300  48.94046984 -054.57806953 151.36 tie_down turboprops|props GA 07
1301 A general_aviation 
1300  48.94060260 -054.57768160 153.44 tie_down turboprops|props GA 06
1301 A general_aviation 
1300  48.94072604 -054.57730307 152.90 tie_down turboprops|props GA 05
1301 A general_aviation 
1300  48.94088821 -054.57685384 154.13 tie_down turboprops|props GA 04
1301 A general_aviation 
1300  48.94099087 -054.57660292 151.34 tie_down turboprops|props GA 03
1301 A general_aviation 
1300  48.94147427 -054.57645108 151.07 tie_down turboprops|props GA 02
1301 A general_aviation 
1300  48.94129161 -054.57682164  60.81 hangar turboprops|props GA 01
1301 A none 
1300  48.94621567 -054.57431840 328.48 gate jets|turboprops Gate 18
1301 C airline 
1300  48.94607580 -054.57316175 335.10 gate jets|turboprops Gate 20
1301 C airline 
1300  48.94578868 -054.57165357  62.82 gate heavy|jets|turboprops Gate 22
1301 E airline 
1300  48.94622555 -054.57100615  17.86 gate heavy|jets|turboprops Gate 24
1301 E airline 
1300  48.94634394 -054.57083156 152.35 gate heavy|jets|turboprops Gate 26
1301 E airline 
1300  48.94730550 -054.57470978 150.92 gate jets|turboprops Gate 34
1301 C airline 
1300  48.94750281 -054.57555337 151.56 gate jets|turboprops Gate 36
1301 C airline 
1300  48.94657510 -054.57187753 152.16 gate heavy|jets|turboprops Gate 28
1301 E airline 
1300  48.94680778 -054.57279433 152.03 gate heavy|jets|turboprops Gate 30
1301 E airline 
1300  48.94695868 -054.57366047 153.20 gate heavy|jets|turboprops Gate 32
1301 E airline 
18  48.94671657 -054.57484279 4 BCN
19  48.92238524 -054.56859611 1 WS
19  48.94036785 -054.57337151 1 WS
19  48.95359155 -054.58335322 1 WS
19  48.94537415 -054.55287508 1 WS
19  48.94830630 -054.55855471 1 WS
19  48.94245120 -054.55885311 1 WS
50 12480 ATIS
53 12190 GND
54 11810 TWR
55 12850 APP/DEP
99
