A
1000 Generated by WorldEditor

1    349 0 0 KOFP HANOVER CO MUNI
1300  37.70947067 -077.43917074 237.43 tie_down jets|turboprops|props Apron - 30
1300  37.70958119 -077.43925079 238.61 tie_down jets|turboprops|props Apron - 31
1300  37.70968099 -077.43932227 236.55 tie_down jets|turboprops|props Apron - 32
1300  37.70695960 -077.43689885 -120.39 tie_down jets|turboprops|props Apron - 33
1300  37.70706021 -077.43697889 -119.72 tie_down jets|turboprops|props Apron - 34
1300  37.70717289 -077.43706927 -31.62 tie_down jets|turboprops|props Apron - 35
1300  37.70729201 -077.43716588 -121.81 tie_down jets|turboprops|props Apron - 36
1300  37.70761787 -077.43739017 -121.62 tie_down jets|turboprops|props Apron - 37
1300  37.70772210 -077.43747230 -121.53 tie_down jets|turboprops|props Apron - 38
1300  37.70782084 -077.43754575 -121.51 tie_down jets|turboprops|props Apron - 39
1300  37.70791343 -077.43762282 -121.61 tie_down jets|turboprops|props Apron - 40
1300  37.70800478 -077.43769156 -121.56 tie_down jets|turboprops|props Apron - 41
1300  37.70810288 -077.43776401 -121.46 tie_down jets|turboprops|props Apron - 42
1300  37.70820800 -077.43784213 -121.54 tie_down jets|turboprops|props Apron - 43
1300  37.70832862 -077.43794156 -121.56 tie_down jets|turboprops|props Apron - 44
1300  37.70844510 -077.43803512 238.42 tie_down jets|turboprops|props Apron - 45
1300  37.70898058 -077.43840566 237.83 tie_down jets|turboprops|props Apron - 46
1300  37.70908069 -077.43848607 -121.60 tie_down jets|turboprops|props Apron - 47
1300  37.70917971 -077.43855976 238.11 tie_down jets|turboprops|props Apron - 48
1300  37.70928485 -077.43863162 238.57 tie_down jets|turboprops|props Apron - 49
1300  37.70939156 -077.43871536 238.20 tie_down jets|turboprops|props Apron - 50
1300  37.70950240 -077.43880570 237.60 tie_down jets|turboprops|props Apron - 51
1300  37.70960655 -077.43888370 238.24 tie_down jets|turboprops|props Apron - 52
1300  37.70971602 -077.43896116 237.76 tie_down jets|turboprops|props Apron - 53
1300  37.70981509 -077.43903492 237.82 tie_down jets|turboprops|props Apron - 54
1300  37.70771558 -077.43871191  61.05 hangar jets|turboprops|props Ramp - 01
1300  37.70801313 -077.43893160  59.84 hangar jets|turboprops|props Ramp - 02
1300  37.70830030 -077.43915630  60.38 hangar jets|turboprops|props Ramp - 03
1300  37.70859622 -077.43940638  59.92 hangar jets|turboprops|props Ramp - 04
18  37.70634675 -077.43862038 1 Airport Beacon
19  37.70863838 -077.43470724 1 WS
51 12270 Hanover Co
99
