I
1050 Generated by WorldEditor

1   1381 1 0 SKVV VANGUARDIA
112  04.16727140 -073.61538795  04.16731719 -073.61533711 51 101
111  04.16728653 -073.61527178 51 101
111  04.16687259 -073.61474638 51 101
112  04.16685970 -073.61464646  04.16686821 -073.61460692 51 101
112  04.16690111 -073.61456902  04.16691260 -073.61455676 51 101
115  04.16726693 -073.61426778
120 Linear Feature 1
111  04.16272277 -073.61919838 51
112  04.16278266 -073.61918800  04.16282288 -073.61919055
111  04.16278266 -073.61918800
112  04.16278266 -073.61918800  04.16281243 -073.61918989 51
112  04.16328470 -073.61923262  04.16329506 -073.61923358
111  04.16328470 -073.61923262
112  04.16328470 -073.61923262  04.16329685 -073.61923375 51
112  04.16333926 -073.61922243  04.16335636 -073.61921199
111  04.16333926 -073.61922243
112  04.16333926 -073.61922243  04.16336050 -073.61920946 51
115  04.16337258 -073.61918624
120 Linear Feature 8
111  04.16296956 -073.61899912 51
112  04.16303396 -073.61899758  04.16306140 -073.61900488 51
115  04.16307257 -073.61903476
120 Linear Feature 10
111  04.16311251 -073.61888369 51
111  04.16364325 -073.61895508 51
112  04.16369380 -073.61894524  04.16371038 -073.61893119 51
115  04.16372200 -073.61889102
120 Linear Feature 4
111  04.16261715 -073.61905362 51 101
112  04.16252337 -073.61919896  04.16250586 -073.61923908 51 101
112  04.16252281 -073.61928096  04.16254720 -073.61931901
111  04.16252281 -073.61928096
112  04.16252281 -073.61928096  04.16252376 -073.61928245 51
112  04.16252589 -073.61928508  04.16252699 -073.61928634
111  04.16252589 -073.61928508
112  04.16252589 -073.61928508  04.16255293 -073.61931600 51 101
112  04.16262185 -073.61927987  04.16263013 -073.61927520 51 101
111  04.16272277 -073.61919838 51 101
111  04.16296956 -073.61899912 51 101
111  04.16311251 -073.61888369 51 101
111  04.16331606 -073.61871934 51 101
111  04.16365349 -073.61844689 51 101
111  04.16399263 -073.61817306 51 101
111  04.16424005 -073.61797328 51
112  04.16435739 -073.61794807  04.16440412 -073.61797849 51
111  04.16440588 -073.61800594 51
111  04.16439217 -073.61813607 51
111  04.16436204 -073.61840539 51
115  04.16435652 -073.61845474
120 Linear Feature 3
111  04.16399263 -073.61817306 51
112  04.16404875 -073.61817177  04.16408506 -073.61817814
111  04.16404875 -073.61817177
112  04.16404875 -073.61817177  04.16409915 -073.61817754 51
115  04.16410939 -073.61821560
120 Linear Feature 2
111  04.16416671 -073.61778694 51
111  04.16414163 -073.61788189 51
111  04.16410939 -073.61821560 51
111  04.16408806 -073.61843476 51
111  04.16406647 -073.61865651 51
111  04.16406557 -073.61866574 51
115  04.16405990 -073.61872396
120 Linear Feature 5
111  04.16365349 -073.61844689 51
112  04.16371567 -073.61843316  04.16375079 -073.61843996 51
115  04.16376413 -073.61847664
120 Linear Feature 4
111  04.16371085 -073.61900066 51
111  04.16372200 -073.61889102 51
111  04.16373958 -073.61871813 51
111  04.16376413 -073.61847664 51
115  04.16380419 -073.61808255
120 Linear Feature 3
111  04.16529770 -073.61586888 51 101
111  04.16487883 -073.61620288 51 101
112  04.16482621 -073.61630993  04.16479748 -073.61640356
111  04.16482621 -073.61630993
112  04.16482621 -073.61630993  04.16481005 -073.61636260 51 101
112  04.16461118 -073.61704480  04.16452003 -073.61735776
111  04.16461118 -073.61704480
112  04.16461118 -073.61704480  04.16454031 -073.61728815 51 101
111  04.16447604 -073.61754084 51 101
112  04.16440653 -073.61759452  04.16436254 -073.61762482
111  04.16440653 -073.61759452
112  04.16440653 -073.61759452  04.16439684 -073.61760120 51 101
112  04.16416671 -073.61778694  04.16402879 -073.61789915
111  04.16416671 -073.61778694
112  04.16416671 -073.61778694  04.16406560 -073.61786921 51 101
112  04.16380419 -073.61808255  04.16366846 -073.61819339
111  04.16380419 -073.61808255
112  04.16380419 -073.61808255  04.16369353 -073.61817292 51 101
112  04.16346002 -073.61836380  04.16334385 -073.61845879
111  04.16346002 -073.61836380
112  04.16346002 -073.61836380  04.16334339 -073.61845917 51 101
112  04.16311361 -073.61864717  04.16311094 -073.61864935
111  04.16311361 -073.61864717
112  04.16311361 -073.61864717  04.16283239 -073.61887729 51 101
111  04.16261715 -073.61905362 51 101
112  04.16245958 -073.61910673  04.16236578 -073.61910067
111  04.16245958 -073.61910673
112  04.16245958 -073.61910673  04.16239740 -073.61910271 51 101
112  04.16234678 -073.61906838  04.16233061 -073.61905372
111  04.16234678 -073.61906838
112  04.16234678 -073.61906838  04.16233856 -073.61906092 51 101
111  04.16233507 -073.61905547 51 101
111  04.16204245 -073.61869654 51 101
112  04.16201181 -073.61859602  04.16201863 -073.61853600 51 101
111  04.16206795 -073.61849245 51 101
115  04.16240065 -073.61822130
120 Linear Feature 2
111  04.16716323 -073.61527726 53 102
112  04.16714019 -073.61524596  04.16712577 -073.61522638
111  04.16714019 -073.61524596
112  04.16714019 -073.61524596  04.16707096 -073.61515195 53 102
112  04.16684643 -073.61484953  04.16682463 -073.61482220
111  04.16684643 -073.61484953
112  04.16684643 -073.61484953  04.16682009 -073.61481651 53 102
115  04.16678980 -073.61482444
120 Linear Feature 1
111  04.16733025 -073.61514930 53 102
112  04.16730119 -073.61511523  04.16728315 -073.61509411
111  04.16730119 -073.61511523
112  04.16730119 -073.61511523  04.16724112 -073.61504489 53 102
112  04.16703588 -073.61480760  04.16696847 -073.61473141
111  04.16703588 -073.61480760
112  04.16703588 -073.61480760  04.16694823 -073.61470853 53 102
115  04.16698010 -073.61465900
120 Linear Feature 13
111  04.16733025 -073.61514930 53 102
116  04.17012498 -073.61289070  04.17013982 -073.61287354
120 Linear Feature 12
111  04.16514195 -073.61690532 53 102
115  04.16716323 -073.61527726
120 Linear Feature 11
111  04.16236222 -073.61926614 53 102
111  04.16220373 -073.61907154 53 102
111  04.16208041 -073.61892012 53 102
111  04.16201712 -073.61884350 53 102
112  04.16192398 -073.61879590  04.16190114 -073.61877873 53 102
115  04.16181651 -073.61866271
120 Linear Feature 10
111  04.16443770 -073.61670808 53 102
112  04.16451686 -073.61670709  04.16455030 -073.61671854
111  04.16451686 -073.61670709
112  04.16451686 -073.61670709  04.16454378 -073.61672181 53 102
112  04.16457968 -073.61682424  04.16456418 -073.61689784
111  04.16457968 -073.61682424
112  04.16457968 -073.61682424  04.16457395 -073.61685145 53 102
112  04.16451476 -073.61705950  04.16448277 -073.61717074
111  04.16451476 -073.61705950
112  04.16451476 -073.61705950  04.16446022 -073.61724911 53 102
111  04.16439171 -073.61748060 53 102
111  04.16416972 -073.61770186 53 102
111  04.16268654 -073.61890460 53 102
112  04.16256665 -073.61897329  04.16254544 -073.61897493 53 102
112  04.16238109 -073.61891790  04.16231200 -073.61883784 53 102
112  04.16217187 -073.61866261  04.16212162 -073.61859064 53 102
115  04.16218272 -073.61854782
120 Linear Feature 3
111  04.16514195 -073.61690532 53 102
111  04.16507724 -073.61695398 53 102
112  04.16491855 -073.61696786  04.16482312 -073.61695968 53 102
112  04.16480043 -073.61692415  04.16478733 -073.61691059 53 102
112  04.16476224 -073.61685516  04.16476632 -073.61683226 53 102
111  04.16479637 -073.61671608 53 102
115  04.16492008 -073.61631646
21  04.16392561 -073.61650126 2 39.0400 3.00 05  PAPI-4L
21  04.17369424 -073.60856757 2 219.0400 3.00 23  PAPI-4L
14  04.16448587 -073.61864620  82.02 0 New Tower Viewpoint 1
1300  04.16732190 -073.61602000 307.88 tie_down jets|turboprops|props Cargo 02
1301 B cargo 
1300  04.16727987 -073.61630302 306.43 tie_down jets|turboprops|props Cargo 01
1301 C none 
1300  04.16406557 -073.61866574 264.44 tie_down turboprops|props Gate 03
1301 B airline 
1300  04.16372200 -073.61889102 263.22 tie_down turboprops|props Gate 04
1301 B airline 
1300  04.16337258 -073.61918624 262.51 tie_down turboprops|props Gate 05
1301 B airline 
1300  04.16302588 -073.61947567 263.42 tie_down turboprops|props Gate 06
1301 B airline 
1300  04.16472088 -073.61811148 264.70 tie_down jets|turboprops|props Gate 01
1301 C airline 
1300  04.16436204 -073.61840539 263.49 tie_down jets|turboprops|props Gate 02
1301 C airline 
1300  04.16608271 -073.61666743 219.26 tie_down props GA 01
1301 A general_aviation 
1300  04.16616525 -073.61677236 218.48 tie_down props GA 02
1301 A general_aviation 
1300  04.16624588 -073.61688090 220.60 tie_down props GA 03
1301 A general_aviation 
1300  04.16556975 -073.61725024 216.35 tie_down props GA 06
1301 A general_aviation 
1300  04.16565938 -073.61736017 219.12 tie_down props GA 07
1301 A general_aviation 
1300  04.16536179 -073.61742145 217.38 tie_down props GA 08
1301 A general_aviation 
1300  04.16544840 -073.61752853 219.40 tie_down props GA 09
1301 A general_aviation 
1300  04.16577386 -073.61709222 217.21 tie_down props GA 04
1301 A general_aviation 
1300  04.16585668 -073.61719535 218.77 tie_down props GA 05
1301 A general_aviation 
1300  04.16515629 -073.61758801 219.17 tie_down props GA 10
1301 A general_aviation 
1300  04.16524333 -073.61769714 220.10 tie_down props GA 11
1301 A general_aviation 
18  04.16448587 -073.61864620 1 BCN
19  04.16294031 -073.61817215 1 WS
19  04.17281020 -073.60880603 1 WS
54 11870 TWR
55 11930 VILLAVICENCIO APP
99
