I
1050 Generated by WorldEditor 2.1.0r1

1   4473 1 0 KOGD Ogden-Hinckley
111  41.19409000 -112.00841601
111  41.19403692 -112.00848571
111  41.19375917 -112.00812127
113  41.19392257 -112.00791057
110 2 0.00 0.0000 New Taxiway 6
111  41.19380742 -112.00748142
111  41.19371168 -112.00760696
111  41.19359396 -112.00744821
113  41.19369338 -112.00732600
110 2 0.00 0.0000 New Taxiway 6
111  41.19369049 -112.00690489
111  41.19359962 -112.00702962
111  41.19345426 -112.00684105
113  41.19355142 -112.00671901
110 2 0.00 0.0000 New Taxiway 6
111  41.19378976 -112.00703758
111  41.19369936 -112.00715314
111  41.19362208 -112.00705174
111  41.19371032 -112.00693139
113  41.19375619 -112.00699270
110 2 0.00 0.0000 New Taxiway 6
111  41.19395916 -112.00726397
111  41.19388148 -112.00737000
111  41.19376387 -112.00721174
113  41.19384216 -112.00710761
110 2 0.00 0.0000 New Taxiway 6
111  41.19415532 -112.00752833
111  41.19408329 -112.00762191
111  41.19405233 -112.00758065
111  41.19399783 -112.00750803
113  41.19406953 -112.00741458
110 2 0.00 0.0000 New Taxiway 6
111  41.19435828 -112.00779744
111  41.19428560 -112.00789149
111  41.19411367 -112.00766240
113  41.19418532 -112.00756811
110 2 0.00 0.0000 New Taxiway 6
111  41.19446562 -112.00797202
111  41.19445417 -112.00798697
111  41.19443296 -112.00801465
111  41.19440449 -112.00805181
111  41.19432619 -112.00794558
113  41.19438658 -112.00786745
110 2 0.00 0.0000 New Taxiway 6
111  41.19406724 -112.00680211
111  41.19398818 -112.00690413
111  41.19395671 -112.00686265
111  41.19389060 -112.00677552
111  41.19389493 -112.00676985
111  41.19386551 -112.00672967
111  41.19385990 -112.00673663
111  41.19377218 -112.00661944
111  41.19385887 -112.00650248
111  41.19394881 -112.00662119
111  41.19394384 -112.00662689
111  41.19399084 -112.00668803
113  41.19398675 -112.00669379
110 2 0.00 0.0000 New Taxiway 6
111  41.19417820 -112.00698818
111  41.19411215 -112.00706753
111  41.19403371 -112.00696413
113  41.19409736 -112.00688216
110 2 0.00 0.0000 New Taxiway 6
111  41.19439689 -112.00723589
111  41.19431535 -112.00734222
111  41.19423764 -112.00723750
113  41.19431722 -112.00713067
110 2 0.00 0.0000 New Taxiway 6
111  41.19453315 -112.00741586
111  41.19445036 -112.00752412
111  41.19436174 -112.00740472
113  41.19444177 -112.00729517
110 2 0.00 0.0000 New Taxiway 6
111  41.19471182 -112.00765275
111  41.19463197 -112.00775769
111  41.19448354 -112.00756279
113  41.19456047 -112.00745631
110 2 0.00 0.0000 New Taxiway 5
111  41.19490084 -112.00730746
111  41.19481205 -112.00742462
111  41.19445310 -112.00695125
113  41.19454322 -112.00683026
110 2 0.00 0.0000 New Taxiway 4
111  41.19403006 -112.00639000
111  41.19392680 -112.00625705
111  41.19401019 -112.00615389
113  41.19411286 -112.00628701
110 2 0.00 0.0000 New Taxiway 3
111  41.19408021 -112.00646074
111  41.19416435 -112.00635101
111  41.19417079 -112.00634262
111  41.19426026 -112.00646139
111  41.19418629 -112.00655882
113  41.19417154 -112.00657824
110 2 0.00 0.0000 New Taxiway 2
111  41.19422257 -112.00664384
111  41.19430167 -112.00653946
111  41.19440164 -112.00666908
111  41.19434233 -112.00675151
111  41.19435070 -112.00676263
113  41.19433220 -112.00679013
110 2 0.00 0.0000 New Taxiway 1
111  41.19448938 -112.00654713
111  41.19441412 -112.00665173
111  41.19402828 -112.00613464
113  41.19410760 -112.00602943
110 2 0.00 0.0000 New Taxiway 16
111  41.19525568 -112.00698932
111  41.19511287 -112.00717530
111  41.19476201 -112.00671187
111  41.19474678 -112.00672613
111  41.19465575 -112.00660562
111  41.19476789 -112.00645292
111  41.19486480 -112.00657573
111  41.19489318 -112.00654353
111  41.19488833 -112.00653847
111  41.19490079 -112.00652191
111  41.19491464 -112.00654169
111  41.19494025 -112.00651225
111  41.19511265 -112.00674835
113  41.19517024 -112.00687422
110 2 0.00 0.0000 New Taxiway 14
111  41.19550916 -112.00669747
111  41.19534662 -112.00669754
111  41.19534659 -112.00659585
111  41.19523515 -112.00659748
111  41.19523170 -112.00625385
111  41.19518385 -112.00625054
111  41.19518215 -112.00613414
111  41.19518186 -112.00611366
111  41.19518158 -112.00609439
111  41.19517987 -112.00597700
111  41.19551328 -112.00597833
111  41.19551264 -112.00609021
111  41.19551249 -112.00611683
113  41.19551234 -112.00614194
110 2 0.00 0.0000 New Taxiway 13
111  41.19481909 -112.00596368
111  41.19482020 -112.00591145
111  41.19486870 -112.00591301
111  41.19486754 -112.00596280
111  41.19490340 -112.00596278
111  41.19490335 -112.00601608
111  41.19478962 -112.00601550
113  41.19479086 -112.00596402
110 2 0.00 0.0000 New Taxiway 13
111  41.19475044 -112.00530254
111  41.19475039 -112.00514297
111  41.19493025 -112.00513756
111  41.19492988 -112.00529054
111  41.19480693 -112.00529226
113  41.19480701 -112.00530288
110 2 0.00 0.0000 New Taxiway 13
111  41.19459331 -112.00576081
111  41.19459292 -112.00561087
111  41.19492422 -112.00560767
113  41.19492385 -112.00576065
110 2 0.00 0.0000 New Taxiway 13
111  41.19496535 -112.00573609
111  41.19496496 -112.00561381
111  41.19549220 -112.00561226
113  41.19549183 -112.00573758
110 2 0.00 0.0000 New Taxiway 13
111  41.19496265 -112.00529059
111  41.19496226 -112.00516831
111  41.19517476 -112.00516742
111  41.19518500 -112.00516738
111  41.19519663 -112.00516733
111  41.19534430 -112.00516672
111  41.19549398 -112.00516609
113  41.19549362 -112.00529141
110 2 0.00 0.0000 New Taxiway 11
111  41.19550855 -112.00484723
111  41.19538676 -112.00484969
111  41.19538726 -112.00466091
113  41.19550794 -112.00466004
110 2 0.00 0.0000 New Taxiway 11
111  41.19550792 -112.00465354
111  41.19538631 -112.00465661
111  41.19538423 -112.00449087
113  41.19550738 -112.00448796
110 2 0.00 0.0000 New Taxiway 10
111  41.19550708 -112.00439477
111  41.19539542 -112.00439574
111  41.19539830 -112.00420856
111  41.19547954 -112.00421028
111  41.19548012 -112.00419342
113  41.19550658 -112.00419359
110 2 0.00 0.0000 New Taxiway 9
111  41.19563370 -112.00408593
111  41.19560272 -112.00405607
111  41.19548039 -112.00393817
111  41.19583808 -112.00327335
111  41.19598027 -112.00340710
111  41.19568508 -112.00395128
111  41.19569061 -112.00396000
111  41.19566864 -112.00399951
113  41.19567292 -112.00401224
110 2 0.00 0.0000 New Taxiway 9
111  41.19602524 -112.00342446
111  41.19598931 -112.00339043
111  41.19584371 -112.00325256
111  41.19597342 -112.00301135
113  41.19615483 -112.00318990
110 2 0.00 0.0000 New Taxiway 9
111  41.19616434 -112.00317268
111  41.19598800 -112.00299480
111  41.19615385 -112.00270511
113  41.19632664 -112.00287889
110 2 0.00 0.0000 New Taxiway 9
111  41.19637471 -112.00287256
111  41.19622005 -112.00266158
111  41.19641401 -112.00240051
111  41.19643129 -112.00242381
113  41.19656902 -112.00260953
110 2 0.00 0.0000 New Taxiway 5
111  41.19980244 -112.00034569
111  41.19974958 -112.00011405
111  41.19987112 -112.00006165
113  41.19992637 -112.00029283
110 2 0.00 0.0000 New Taxiway 5
111  41.19994637 -112.00028442
111  41.19987844 -111.99999936
111  41.20001968 -111.99993937
113  41.20009000 -112.00022397
110 2 0.00 0.0000 New Taxiway 5
111  41.20010382 -112.00021816
111  41.20003588 -111.99993310
111  41.20019198 -111.99986686
113  41.20026230 -112.00015147
110 2 0.00 0.0000 New Taxiway 4
111  41.20027534 -112.00014598
111  41.20020788 -111.99986035
111  41.20046745 -111.99974839
111  41.20053612 -112.00003623
111  41.20038995 -112.00009775
113  41.20034457 -112.00011684
110 2 0.00 0.0000 New Taxiway 3
111  41.20057976 -112.00000296
111  41.20047312 -111.99956815
111  41.20082697 -111.99942006
113  41.20093043 -111.99985581
110 2 0.00 0.0000 Concrete6
111  41.19243443 -112.01134431
111  41.19243493 -112.01085469
111  41.19283763 -112.01085396
111  41.19284679 -112.01085391
111  41.19284679 -112.01087438
111  41.19283494 -112.01087402
111  41.19283560 -112.01132495
111  41.19284698 -112.01132466
111  41.19284676 -112.01134501
111  41.19283645 -112.01134550
113  41.19260857 -112.01134482
110 2 0.00 0.0000 Concrete5
111  41.19418248 -112.00958292
111  41.19375683 -112.01014010
111  41.19314978 -112.01013717
111  41.19315280 -112.00959207
111  41.19317959 -112.00959289
111  41.19342809 -112.00960046
112  41.19342809 -112.00960046  41.19351367 -112.00959864
112  41.19364130 -112.00950140  41.19369124 -112.00945732
111  41.19364130 -112.00950140
112  41.19364130 -112.00950140  41.19367708 -112.00946982
111  41.19369862 -112.00944290
111  41.19388806 -112.00919240
113  41.19396341 -112.00929234
110 2 0.00 0.0000 Concrete4
111  41.19537226 -112.00484998
111  41.19537149 -112.00486082
111  41.19505094 -112.00486013
111  41.19504796 -112.00468442
111  41.19509506 -112.00461958
111  41.19516020 -112.00462086
111  41.19515996 -112.00459435
111  41.19521163 -112.00459339
111  41.19521235 -112.00451897
111  41.19523807 -112.00451769
111  41.19523855 -112.00451066
111  41.19537473 -112.00451151
113  41.19537612 -112.00484990
110 2 0.00 0.0000 Concrete3
111  41.19885814 -112.00160851
111  41.19874128 -112.00102449
111  41.19873087 -112.00102873
111  41.19872811 -112.00101744
111  41.19832108 -112.00118869
111  41.19832373 -112.00119810
111  41.19817377 -112.00126328
111  41.19816420 -112.00122854
111  41.19822616 -112.00120048
111  41.19820366 -112.00110343
111  41.19825142 -112.00108135
111  41.19815174 -112.00064668
111  41.19862612 -112.00044887
111  41.19874874 -112.00100794
111  41.19883809 -112.00147058
111  41.19887648 -112.00147724
111  41.19888082 -112.00149942
111  41.19885195 -112.00153957
113  41.19886628 -112.00160514
110 2 0.00 0.0000 Concrete2
111  41.19957934 -112.00042278
111  41.19958448 -112.00044540
111  41.19958934 -112.00044383
111  41.19961780 -112.00060007
111  41.19958878 -112.00060972
111  41.19962127 -112.00078602
111  41.19966052 -112.00101295
111  41.19935311 -112.00111996
111  41.19935502 -112.00113457
111  41.19932786 -112.00114459
111  41.19936277 -112.00134370
112  41.19936277 -112.00134370  41.19936950 -112.00137117
111  41.19938790 -112.00138968
111  41.19923239 -112.00145392
112  41.19923423 -112.00140433  41.19922961 -112.00137133
111  41.19923423 -112.00140433
111  41.19919843 -112.00120030
111  41.19888925 -112.00132837
111  41.19876911 -112.00063587
111  41.19899554 -112.00055863
111  41.19892188 -112.00013345
111  41.19931457 -111.99999568
111  41.19934792 -112.00017346
111  41.19946850 -112.00013212
111  41.19947182 -112.00014776
111  41.19970835 -112.00005884
113  41.19976330 -112.00035922
110 2 0.00 0.0000 Concrete1
111  41.20093730 -111.99986529
111  41.20100285 -111.99978074
111  41.20095633 -111.99971285
111  41.20089920 -111.99948059
111  41.20101170 -111.99943206
111  41.20111934 -111.99929246
111  41.20115672 -111.99934168
111  41.20121001 -111.99926946
111  41.20144639 -111.99959330
113  41.20108391 -112.00006749
110 2 0.00 0.0000 ConcreteCircle
112  41.19524813 -112.00737114  41.19522562 -112.00734208
112  41.19526541 -112.00728015  41.19529561 -112.00726877
114  41.19531607 -112.00734553  41.19530838 -112.00738597
110 1 0.00 0.0000 AsphaltMain
111  41.18625862 -112.01787967
111  41.18624715 -112.01768127
111  41.18624922 -112.01691001
111  41.18623305 -112.01690976
111  41.18623354 -112.01683193
111  41.18623249 -112.01659989
112  41.18616614 -112.01650725  41.18610317 -112.01650054
111  41.18616614 -112.01650725
111  41.18599157 -112.01650761
111  41.18599157 -112.01649497
111  41.18592787 -112.01649395
111  41.18592761 -112.01647905
111  41.18588863 -112.01648041
111  41.18588277 -112.01647736
111  41.18536919 -112.01647467
111  41.18536898 -112.01649837
111  41.18534711 -112.01650091
111  41.18534031 -112.01650797
111  41.18519938 -112.01650266
111  41.18519802 -112.01648351
111  41.18513458 -112.01648323
111  41.18418705 -112.01647471
111  41.18416692 -112.01646387
111  41.18387719 -112.01646495
111  41.18387742 -112.01642845
111  41.18380343 -112.01642886
111  41.18380099 -112.01635386
111  41.18370421 -112.01630169
112  41.18370421 -112.01630169  41.18370959 -112.01619998
111  41.18377953 -112.01605169
111  41.18377860 -112.01591384
112  41.18376117 -112.01554877  41.18392032 -112.01533593
111  41.18376117 -112.01554877
111  41.18588975 -112.01335529
111  41.18592409 -112.01341496
111  41.18387065 -112.01549450
111  41.18386839 -112.01550537
112  41.18386839 -112.01550537  41.18370296 -112.01569760
112  41.18379171 -112.01587378  41.18383333 -112.01595388
111  41.18379171 -112.01587378
111  41.18648123 -112.01584770
111  41.18652683 -112.01584726
112  41.18652683 -112.01584726  41.18665888 -112.01583867 102
111  41.18666535 -112.01567945 102
111  41.18666545 -112.01562981 102
111  41.18666658 -112.01510225
111  41.18662399 -112.01510272
111  41.18662553 -112.01471401
111  41.18667657 -112.01471397 102
111  41.18667605 -112.01464315 53 102
111  41.18667366 -112.01432296
112  41.18667366 -112.01432296  41.18667059 -112.01427834 53 102
112  41.18664099 -112.01422080  41.18662436 -112.01419635
111  41.18664099 -112.01422080
112  41.18664099 -112.01422080  41.18660253 -112.01416425 53 102
111  41.18654456 -112.01415389 53 102
111  41.18647201 -112.01415037 53 102
111  41.18629324 -112.01383213 53 102
111  41.18626767 -112.01378662
112  41.18612017 -112.01371408  41.18608237 -112.01372070
111  41.18612017 -112.01371408
111  41.18605764 -112.01373923
111  41.18593128 -112.01375094
111  41.18593128 -112.01370062
111  41.18613734 -112.01362983
111  41.18615847 -112.01359882 53
111  41.18612447 -112.01353719
111  41.18637213 -112.01326452
111  41.18641114 -112.01322157
111  41.18664347 -112.01296577
111  41.18667999 -112.01292556
111  41.18667631 -112.01291986
111  41.18678564 -112.01280177
111  41.18679413 -112.01279259
111  41.18690282 -112.01267543
111  41.18691298 -112.01266448
111  41.18705166 -112.01251499
111  41.18709559 -112.01246764
111  41.18723523 -112.01231711
111  41.18724542 -112.01230613
111  41.18735351 -112.01218961
111  41.18736204 -112.01218042
111  41.18747046 -112.01206354
111  41.18748228 -112.01205081
111  41.18760708 -112.01191628
111  41.18759598 -112.01189852
111  41.18763209 -112.01185466
112  41.18763223 -112.01183381  41.18762531 -112.01182226
111  41.18763223 -112.01183381
111  41.18749204 -112.01162469
111  41.18757482 -112.01152985
111  41.18761428 -112.01159176
111  41.18770327 -112.01149964
111  41.18776727 -112.01160246
111  41.18781707 -112.01168246
111  41.18790268 -112.01158958
111  41.18790962 -112.01158205
111  41.18801775 -112.01146474
111  41.18802398 -112.01145798
111  41.18813203 -112.01134076
111  41.18813717 -112.01133518
111  41.18824561 -112.01121753
111  41.18827368 -112.01118708
111  41.18838154 -112.01107007
111  41.18838757 -112.01106352
111  41.18849518 -112.01094678
111  41.18850023 -112.01094129
111  41.18860901 -112.01082328
111  41.18861272 -112.01081926
111  41.18872146 -112.01070129
111  41.18874697 -112.01067362
111  41.18885178 -112.01055990
111  41.18886146 -112.01054941
111  41.18896871 -112.01043305
111  41.18897700 -112.01042405
111  41.18908541 -112.01030644
111  41.18913229 -112.01026006
111  41.18926021 -112.01026206
111  41.18926720 -112.01026217
111  41.18940706 -112.01026437
111  41.18940722 -112.01024338
111  41.18941333 -112.01024324
111  41.18953077 -112.01024386
111  41.18953191 -112.01008198
111  41.18953215 -112.01004674
111  41.18953371 -112.00982414
111  41.18953557 -112.00955794
111  41.18953025 -112.00950705
111  41.18966381 -112.00939847
111  41.18971109 -112.00951388
111  41.18970986 -112.00956232
111  41.18970260 -112.00956256
111  41.18970051 -112.00965013
111  41.18969780 -112.00976319
111  41.18970453 -112.00976400
111  41.18970636 -112.00978838
111  41.18981736 -112.00979285
111  41.18981705 -112.00980341
111  41.18969811 -112.00980341
111  41.18969609 -112.01006119
111  41.18969597 -112.01007646
111  41.18970300 -112.01007605
111  41.18970280 -112.01026506
111  41.18981440 -112.01026587
111  41.18981624 -112.01031747
111  41.18991890 -112.01031843
111  41.18992087 -112.01026902
111  41.18997387 -112.01027099
111  41.18997272 -112.01008374
111  41.18997261 -112.01006543
111  41.18997374 -112.00988152
111  41.18998127 -112.00988141
111  41.18998141 -112.00986352
111  41.18997584 -112.00986336
111  41.18997652 -112.00968002
111  41.18995011 -112.00967895
111  41.18995039 -112.00966433
111  41.18997658 -112.00966458
111  41.18997684 -112.00959515
111  41.18997692 -112.00957121
111  41.18997702 -112.00954608
111  41.18997727 -112.00947846
111  41.18991562 -112.00947833
111  41.18991761 -112.00928600
111  41.18995366 -112.00928713
111  41.19012732 -112.00929259
111  41.19012744 -112.00928018
111  41.19014309 -112.00928032
111  41.19014402 -112.00928740
111  41.19015415 -112.00928889
111  41.19015456 -112.00930454
111  41.19029858 -112.00930684
111  41.19031648 -112.00930062
111  41.19031666 -112.00929353
111  41.19039958 -112.00929398
111  41.19056513 -112.00929489
111  41.19056596 -112.00907903
111  41.19056632 -112.00898476
111  41.19056696 -112.00881867
111  41.19056708 -112.00878697
111  41.19056787 -112.00857946
111  41.19059750 -112.00858135
111  41.19060096 -112.00858157
111  41.19060202 -112.00859404
111  41.19073703 -112.00859668
111  41.19074145 -112.00836244
111  41.19082768 -112.00835969
111  41.19087923 -112.00835805
111  41.19090585 -112.00813871
111  41.19097879 -112.00814148
111  41.19097943 -112.00817816
111  41.19096838 -112.00817901
111  41.19096796 -112.00819171
111  41.19097900 -112.00819340
111  41.19097858 -112.00828031
111  41.19096902 -112.00828003
111  41.19096838 -112.00829527
111  41.19097836 -112.00829611
111  41.19097914 -112.00844930
111  41.19109649 -112.00845160
111  41.19110774 -112.00845182
111  41.19110818 -112.00851876
111  41.19133041 -112.00852378
111  41.19133081 -112.00824099
111  41.19133935 -112.00824080
111  41.19136781 -112.00824017
111  41.19136789 -112.00802210
111  41.19136790 -112.00800900
111  41.19136797 -112.00782533
111  41.19136801 -112.00772569
111  41.19144453 -112.00768030
111  41.19154118 -112.00762296
111  41.19174083 -112.00759087
111  41.19185427 -112.00757264
111  41.19185397 -112.00765106
111  41.19183287 -112.00765025
111  41.19183249 -112.00770199
111  41.19183225 -112.00773528
111  41.19183200 -112.00776837
111  41.19182959 -112.00809786
111  41.19183418 -112.00810762
111  41.19187576 -112.00810883
111  41.19187573 -112.00811736
111  41.19187515 -112.00827584
111  41.19196689 -112.00827710
111  41.19196879 -112.00811753
111  41.19196989 -112.00802604
111  41.19197432 -112.00765451
111  41.19197530 -112.00757283
111  41.19203994 -112.00755622
111  41.19210813 -112.00753869
111  41.19210779 -112.00760752
111  41.19210695 -112.00777992
111  41.19210639 -112.00789516
111  41.19210568 -112.00804185
111  41.19210530 -112.00812063
111  41.19210452 -112.00828043
111  41.19219285 -112.00828040
111  41.19219667 -112.00828039
111  41.19219591 -112.00832238
111  41.19220635 -112.00832250
111  41.19231882 -112.00832377
111  41.19231893 -112.00810703
111  41.19231894 -112.00807959
111  41.19231897 -112.00802054
111  41.19231899 -112.00799381
111  41.19231901 -112.00795684
111  41.19220571 -112.00795629
111  41.19219880 -112.00795625
111  41.19219748 -112.00789599
111  41.19223139 -112.00789423
111  41.19223227 -112.00782753
111  41.19232598 -112.00783075
111  41.19246550 -112.00783555
111  41.19246237 -112.00853191
111  41.19246073 -112.00889954
111  41.19246066 -112.00891528
111  41.19245899 -112.00928785
111  41.19242808 -112.00928894
111  41.19242823 -112.00929979
111  41.19276435 -112.00930097
111  41.19276439 -112.00929101
111  41.19281985 -112.00929040
111  41.19283524 -112.00928452
111  41.19286867 -112.00928338
111  41.19286991 -112.00930054
111  41.19288478 -112.00930125
111  41.19288478 -112.00929349
111  41.19291416 -112.00929261
111  41.19291440 -112.00930878
111  41.19293137 -112.00930763
111  41.19293137 -112.00928894
111  41.19321701 -112.00928809
111  41.19317959 -112.00959289
111  41.19315280 -112.00959207
111  41.19314978 -112.01013717
111  41.19375683 -112.01014010
111  41.19418248 -112.00958292
111  41.19396341 -112.00929234
111  41.19399529 -112.00925002 106
111  41.19409243 -112.00912104 106
111  41.19455714 -112.00909527 106
111  41.19468297 -112.00908829 106
111  41.19625277 -112.00700584 106
111  41.19620150 -112.00693549 106
111  41.19602726 -112.00669643 106
111  41.19597318 -112.00669643 106
111  41.19589375 -112.00669643 106
111  41.19588574 -112.00669643 106
111  41.19580300 -112.00680583 106
111  41.19516643 -112.00764752 106
111  41.19496293 -112.00737302 106
111  41.19479713 -112.00758975 106
111  41.19457413 -112.00788126 106
111  41.19447411 -112.00801199
111  41.19445417 -112.00798697
111  41.19446562 -112.00797202
111  41.19438658 -112.00786745
111  41.19439875 -112.00785108
111  41.19435828 -112.00779744
111  41.19418532 -112.00756811
111  41.19415532 -112.00752833
111  41.19406953 -112.00741458
111  41.19399783 -112.00750803
111  41.19405233 -112.00758065
111  41.19408329 -112.00762191
111  41.19411367 -112.00766240
111  41.19428560 -112.00789149
111  41.19432619 -112.00794558
111  41.19440449 -112.00805181
111  41.19443296 -112.00801465
111  41.19445338 -112.00803910 106
111  41.19432985 -112.00820057 106
111  41.19412800 -112.00846441
111  41.19409000 -112.00841601
111  41.19419550 -112.00827750
111  41.19392257 -112.00791057
111  41.19388461 -112.00785954
111  41.19382802 -112.00778346
111  41.19376783 -112.00770253
111  41.19360082 -112.00791350
111  41.19372047 -112.00807049
111  41.19375917 -112.00812127
111  41.19403692 -112.00848571
111  41.19407424 -112.00853469 106
111  41.19401923 -112.00860660 106
111  41.19396192 -112.00868152
111  41.19347861 -112.00799124
111  41.19370453 -112.00770123
111  41.19367871 -112.00766679
111  41.19371611 -112.00761792
111  41.19371168 -112.00760696
111  41.19380742 -112.00748142
111  41.19383975 -112.00750417
111  41.19391424 -112.00741213
111  41.19388148 -112.00737000
111  41.19395916 -112.00726397
111  41.19384216 -112.00710761
111  41.19378976 -112.00703758
111  41.19375619 -112.00699270
111  41.19371032 -112.00693139
111  41.19369049 -112.00690489
111  41.19355142 -112.00671901
111  41.19362312 -112.00662318
111  41.19369073 -112.00653284
111  41.19377218 -112.00661944
111  41.19385990 -112.00673663
111  41.19386551 -112.00672967
111  41.19389493 -112.00676985
111  41.19389060 -112.00677552
111  41.19395671 -112.00686265
111  41.19398818 -112.00690413
111  41.19403371 -112.00696413
111  41.19411215 -112.00706753
111  41.19417820 -112.00698818
111  41.19409736 -112.00688216
111  41.19406724 -112.00680211
111  41.19398675 -112.00669379
111  41.19399084 -112.00668803
111  41.19394384 -112.00662689
111  41.19394881 -112.00662119
111  41.19385887 -112.00650248
111  41.19379894 -112.00640964
111  41.19386093 -112.00633565
111  41.19392680 -112.00625705
111  41.19403006 -112.00639000
111  41.19411286 -112.00628701
111  41.19416435 -112.00635101
111  41.19408021 -112.00646074
111  41.19417154 -112.00657824
111  41.19418629 -112.00655882
111  41.19419683 -112.00657112
111  41.19422257 -112.00664384
111  41.19433220 -112.00679013
111  41.19435070 -112.00676263
111  41.19434233 -112.00675151
111  41.19440164 -112.00666908
111  41.19441412 -112.00665173
111  41.19448938 -112.00654713
111  41.19410760 -112.00602943
111  41.19408097 -112.00599332
111  41.19420546 -112.00582532
112  41.19432855 -112.00579914  41.19439205 -112.00573626
111  41.19432855 -112.00579914
111  41.19456382 -112.00553892
111  41.19451214 -112.00547715
111  41.19454700 -112.00542311
111  41.19456504 -112.00543733
111  41.19463310 -112.00534457
111  41.19472614 -112.00534608
111  41.19475044 -112.00530254
111  41.19480701 -112.00530288
111  41.19480693 -112.00529226
111  41.19492988 -112.00529054
111  41.19496265 -112.00529059
111  41.19549362 -112.00529141
111  41.19549398 -112.00516609
111  41.19534430 -112.00516672
111  41.19519663 -112.00516733
111  41.19518500 -112.00516738
111  41.19517476 -112.00516742
111  41.19496226 -112.00516831
111  41.19496746 -112.00485064
111  41.19504033 -112.00486825
111  41.19504732 -112.00486012
111  41.19505094 -112.00486013
111  41.19537149 -112.00486082
111  41.19537226 -112.00484998
111  41.19537612 -112.00484990
111  41.19538676 -112.00484969
111  41.19550855 -112.00484723
111  41.19550794 -112.00466004
111  41.19550792 -112.00465354
111  41.19550738 -112.00448796
111  41.19550708 -112.00439477
111  41.19550643 -112.00419360
111  41.19560272 -112.00405607
111  41.19563370 -112.00408593
111  41.19567292 -112.00401224
111  41.19566864 -112.00399951
111  41.19569061 -112.00396000
111  41.19568508 -112.00395128
111  41.19598027 -112.00340710
111  41.19598931 -112.00339043
111  41.19602524 -112.00342446
111  41.19615483 -112.00318990
111  41.19616434 -112.00317268
111  41.19632664 -112.00287889
111  41.19634897 -112.00290740
111  41.19637471 -112.00287256
111  41.19656827 -112.00261074
111  41.19643129 -112.00242381
111  41.19648063 -112.00236167
111  41.19662139 -112.00256896
112  41.19666722 -112.00279895  41.19672703 -112.00289036
111  41.19666722 -112.00279895
111  41.19675970 -112.00291929
111  41.19683895 -112.00281857
111  41.19672497 -112.00266139
111  41.19715685 -112.00210019
111  41.19720088 -112.00209376
111  41.19723655 -112.00206859
111  41.19761974 -112.00190462
111  41.19764506 -112.00183879
111  41.19753516 -112.00137080
111  41.19747278 -112.00120134
111  41.19752079 -112.00114607
111  41.19759662 -112.00132935
111  41.19771422 -112.00181840
111  41.19776824 -112.00184786
111  41.19780963 -112.00203557
111  41.19813518 -112.00189424
111  41.19817786 -112.00188831
111  41.19817850 -112.00187109
111  41.19807747 -112.00146181
111  41.19814117 -112.00143404
111  41.19810957 -112.00129119
111  41.19817377 -112.00126328
111  41.19832373 -112.00119810
111  41.19832108 -112.00118869
111  41.19872811 -112.00101744
111  41.19873087 -112.00102873
111  41.19874128 -112.00102449
111  41.19885814 -112.00160851
111  41.19886628 -112.00160514
111  41.19923239 -112.00145392
111  41.19938790 -112.00138968
111  41.20054306 -112.00091252
112  41.20062501 -112.00070120  41.20060356 -112.00055344
111  41.20062501 -112.00070120
111  41.20060754 -112.00062856
111  41.20058074 -112.00051715
112  41.20058074 -112.00051715  41.20055165 -112.00040983
111  41.20045109 -112.00044360
111  41.19962127 -112.00078602
111  41.19958878 -112.00060972
111  41.19961780 -112.00060007
111  41.19958934 -112.00044383
111  41.19958448 -112.00044540
111  41.19957934 -112.00042278
111  41.19976330 -112.00035922
111  41.19980244 -112.00034569
111  41.19992637 -112.00029283
111  41.19994637 -112.00028442
111  41.20009000 -112.00022397
111  41.20010382 -112.00021816
111  41.20026230 -112.00015147
111  41.20027534 -112.00014598
111  41.20034457 -112.00011684
111  41.20038995 -112.00009775
111  41.20053612 -112.00003623
111  41.20057976 -112.00000296
111  41.20093043 -111.99985581
111  41.20093730 -111.99986529
111  41.20108391 -112.00006749
111  41.20105641 -112.00010526
111  41.20179018 -111.99998381 53
111  41.20178425 -111.99994593 53 102
111  41.20217433 -111.99943724 53 102
111  41.20253072 -111.99957215 53 102
111  41.20274075 -111.99929820 53 102
112  41.20319542 -111.99929093  41.20342983 -111.99954250
111  41.20319542 -111.99929093 53
111  41.20320889 -111.99930880 53 102
111  41.20360279 -111.99983159
111  41.20402425 -111.99927583
111  41.20406176 -111.99932429
111  41.20435202 -111.99892965
112  41.20435202 -111.99892965  41.20451262 -111.99919833
111  41.20454067 -111.99948090
111  41.20434110 -111.99974931
111  41.20438789 -111.99981799
111  41.20401887 -112.00030806
111  41.20398524 -112.00026539
111  41.19820624 -112.00787690 53 102
111  41.19842152 -112.00840285 53 102
111  41.19853725 -112.00855843 53 102
111  41.19997811 -112.01049541 53
111  41.20002465 -112.01056147 59
111  41.20004281 -112.01058723
111  41.20012250 -112.01048782 53
111  41.20039661 -112.01014588 53
111  41.20059026 -112.01041324 53
111  41.20026471 -112.01083777
111  41.20017846 -112.01095024 53 102
111  41.20084707 -112.01317774 53 102
111  41.20109222 -112.01331986 53 102
111  41.20109184 -112.01414801 53 102
111  41.20088909 -112.01425988 53 102
111  41.20088903 -112.01426751 53 102
111  41.20088635 -112.01461642
111  41.20091540 -112.01470616
111  41.20091649 -112.01476515
