I
1000 Generated by WorldEditor

1    291 1 0 KTIW TACOMA NARROWS
111  47.26654870 -122.57588821 1
112  47.26643373 -122.57571515  47.26641333 -122.57554282 1
115  47.26632124 -122.57444541
120 Linear Feature 72
112  47.26913433 -122.57545389  47.26914393 -122.57565177 1
111  47.26898005 -122.57574800 1
111  47.26888871 -122.57576270 1
112  47.26868376 -122.57551158  47.26866027 -122.57528385 1
115  47.26865229 -122.57517448
120 Linear Feature 71
112  47.26946900 -122.57539054  47.26947612 -122.57562455 1
111  47.26935080 -122.57567787 1
111  47.26930244 -122.57568579 1
112  47.26913433 -122.57545389  47.26912248 -122.57526029 1
115  47.26910670 -122.57509416
120 Linear Feature 70
112  47.26984411 -122.57530204  47.26985026 -122.57557580 1
111  47.26969544 -122.57561565 1
111  47.26965860 -122.57562131 1
112  47.26946900 -122.57539054  47.26945165 -122.57519347 1
115  47.26943216 -122.57503647
120 Linear Feature 69
111  47.27029215 -122.57550669 1
111  47.27006292 -122.57554981 1
112  47.26984411 -122.57530204  47.26982186 -122.57504152 1
115  47.26981939 -122.57496683
120 Linear Feature 68
111  47.27287689 -122.57369897 1
112  47.27278873 -122.57363326  47.27272717 -122.57363849 1
112  47.27177264 -122.57381532  47.27169184 -122.57383174 1
112  47.27167233 -122.57389882  47.27164726 -122.57396041 1
111  47.27173363 -122.57409729 1
112  47.27176243 -122.57413288  47.27176586 -122.57413688
111  47.27176243 -122.57413288
112  47.27176243 -122.57413288  47.27178657 -122.57417258 1
115  47.27179196 -122.57423822
120 Linear Feature 67
111  47.27062756 -122.57544589 1
115  47.27029215 -122.57550669
120 Linear Feature 66
112  47.27029215 -122.57550669  47.27041032 -122.57548024 1
115  47.27043575 -122.57520943
120 Linear Feature 65
111  47.27099638 -122.57537964 1
111  47.27062756 -122.57544589 1
112  47.27043652 -122.57521100  47.27041498 -122.57500139 1
112  47.27037540 -122.57444933  47.27034360 -122.57404318 1
111  47.27049408 -122.57408496 1
112  47.27091562 -122.57401391  47.27104812 -122.57400219 1
115  47.27105655 -122.57430540
120 Linear Feature 64
111  47.27138660 -122.57531284 1
115  47.27099895 -122.57538133
120 Linear Feature 63
111  47.27112081 -122.57507053 1
116  47.27099895 -122.57538133  47.27085541 -122.57540337
120 Linear Feature 62
111  47.27326181 -122.57496701 1
115  47.27288404 -122.57504001
120 Linear Feature 61
111  47.27305943 -122.57474071 1
112  47.27288404 -122.57504001  47.27272664 -122.57507009 1
111  47.27138660 -122.57531284 1
112  47.27112081 -122.57507053  47.27109613 -122.57484502 1
111  47.27105776 -122.57430352 1
112  47.27117273 -122.57409219  47.27125365 -122.57404415 1
111  47.27128646 -122.57402478 1
112  47.27134827 -122.57388814  47.27134153 -122.57377220 1
111  47.27132973 -122.57366404 1
112  47.27140390 -122.57354380  47.27148931 -122.57352227 1
112  47.27275509 -122.57331059  47.27281731 -122.57329964 1
111  47.27287689 -122.57369897 1
115  47.27290969 -122.57404203
120 Linear Feature 60
111  47.27373666 -122.57488351 1
115  47.27334464 -122.57495607
120 Linear Feature 59
111  47.27350615 -122.57464583 1
112  47.27334464 -122.57495607  47.27317369 -122.57499854
111  47.27334464 -122.57495607
112  47.27334464 -122.57495607  47.27331186 -122.57495946 1
111  47.27326181 -122.57496701 1
112  47.27305784 -122.57473744  47.27303761 -122.57451026 1
111  47.27303064 -122.57442589 1
112  47.27298366 -122.57428742  47.27293477 -122.57420244
111  47.27298366 -122.57428742
112  47.27298366 -122.57428742  47.27297416 -122.57427158 1
112  47.27294287 -122.57422001  47.27291523 -122.57417224 1
111  47.27291662 -122.57411644 1
111  47.27290969 -122.57404203 1
112  47.27277722 -122.57397404  47.27263382 -122.57399408 1
112  47.27187231 -122.57412890  47.27179320 -122.57414348 1
111  47.27179196 -122.57423822 1
115  47.27179320 -122.57437122
120 Linear Feature 58
111  47.27325327 -122.57394273 1
111  47.27326459 -122.57353174 1
112  47.27334172 -122.57341169  47.27341784 -122.57340047 1
115  47.27378237 -122.57332867
120 Linear Feature 57
111  47.27447817 -122.57448711 1
116  47.27431107 -122.57477696  47.27413123 -122.57482005
120 Linear Feature 56
111  47.27452041 -122.57502482 1
112  47.27447749 -122.57448617  47.27446356 -122.57429316 1
115  47.27442548 -122.57426304
120 Linear Feature 55
111  47.27453958 -122.57523805 1
115  47.27458823 -122.57581374
120 Linear Feature 54
111  47.27434879 -122.57555158 1
112  47.27453958 -122.57523805  47.27451877 -122.57497390
111  47.27453958 -122.57523805
112  47.27453958 -122.57523805  47.27453120 -122.57513586 1
112  47.27452041 -122.57502482  47.27451946 -122.57501480
111  47.27452041 -122.57502482
112  47.27452041 -122.57502482  47.27450066 -122.57478232 1
111  47.27431107 -122.57477696 1
111  47.27373666 -122.57488351 1
112  47.27350615 -122.57464583  47.27348361 -122.57436571 1
111  47.27348918 -122.57445194 1
112  47.27343995 -122.57434791  47.27339073 -122.57430000 1
112  47.27329506 -122.57418912  47.27325420 -122.57413300 1
111  47.27326349 -122.57407961 1
111  47.27325327 -122.57394273 1
112  47.27337494 -122.57379352  47.27350868 -122.57376478 1
115  47.27397679 -122.57368264
120 Linear Feature 53
111  47.26801839 -122.57668990 1
115  47.26761464 -122.57675832
120 Linear Feature 52
111  47.26484912 -122.57725884 1
115  47.26447391 -122.57733115
120 Linear Feature 51
111  47.26130013 -122.57790171 1
111  47.26096497 -122.57796678 1
112  47.26082667 -122.57825648  47.26083763 -122.57844539 1
111  47.26084062 -122.57842598 1
112  47.26095345 -122.57862391  47.26104496 -122.57868430 1
112  47.26108701 -122.57872683  47.26114421 -122.57877529 1
115  47.26116923 -122.57890929
120 Linear Feature 50
111  47.26468470 -122.57758674 1
112  47.26447391 -122.57733115  47.26429187 -122.57736126 1
112  47.26130013 -122.57790171  47.26107215 -122.57793338 1
111  47.26111925 -122.57835698 1
115  47.26117912 -122.57902316
120 Linear Feature 49
111  47.26785113 -122.57699650 1
112  47.26761464 -122.57675832  47.26743036 -122.57678742 1
112  47.26484912 -122.57725884  47.26472048 -122.57727868 1
111  47.26468470 -122.57758674 1
115  47.26475146 -122.57837734
120 Linear Feature 48
111  47.27465341 -122.57659057 1
112  47.27458823 -122.57581374  47.27455538 -122.57551356 1
111  47.27434998 -122.57555038 1
112  47.26801839 -122.57668990  47.26785793 -122.57671395 1
111  47.26785113 -122.57699650 1
115  47.26791369 -122.57780609
21  47.27225738 -122.57795901 3 186.9900 3.0 17  PAPI-4R
21  47.26352276 -122.57954052 1 6.9900 3.0 35  VASI
14  47.26928163 -122.57478219 328.08 0 Tower
15  47.26804448 -122.57515723 192.13 GA E01
15  47.27412077 -122.57439250 -86.82 GA N01
15  47.27323455 -122.57455833 276.58 GA N02
15  47.27291922 -122.57460494 -86.04 GA N03
15  47.27260695 -122.57459494  96.34 GA N04
15  47.27223644 -122.57465167  95.61 GA N05
15  47.27181802 -122.57481434 276.72 GA N06
15  47.26983197 -122.57514944  97.13 GATE 01
15  47.26945325 -122.57522376  96.91 GATE 02
15  47.26912200 -122.57527007  98.43 GATE 03
15  47.26866761 -122.57535052 100.89 GATE 04
15  47.26805652 -122.57533019 187.59 GA E02
15  47.26407825 -122.57536454 184.76 GA S01
15  47.26406304 -122.57518685 187.35 GA S02
18  47.26824429 -122.57413548 1 BCN
50 12405 ATIS
51 11850 CTAF
51 12295 UNICOM
53 12180 GND
54 11850 TWR
55 12010 SEATTLE APP/DEP
99
