I
1050 Generated by WorldEditor 2.2.0r2

1    533 0 0 KRBG Roseburg Rgnl
115  43.23519586 -123.35734805
120 Linear Feature 28
111  43.23519586 -123.35740093 1
111  43.23519586 -123.35734805 1
115  43.23519586 -123.35729835
120 Linear Feature 27
111  43.23524266 -123.35751486 1
115  43.23519472 -123.35751489
120 Linear Feature 32
111  43.23528709 -123.35747923 1
111  43.23528689 -123.35743086 1
115  43.23528672 -123.35738823
120 Linear Feature 26
111  43.23519455 -123.35756310 1
111  43.23519472 -123.35751489 1
115  43.23519488 -123.35747082
120 Linear Feature 25
111  43.23488645 -123.35751465 1
115  43.23483639 -123.35751507
120 Linear Feature 24
111  43.23483650 -123.35756037 1
111  43.23483639 -123.35751507 1
115  43.23483628 -123.35746829
120 Linear Feature 23
111  43.23488537 -123.35734639 1
115  43.23483730 -123.35734563
120 Linear Feature 22
111  43.23483741 -123.35739207 1
111  43.23483730 -123.35734563 1
115  43.23483719 -123.35729844
120 Linear Feature 21
111  43.23488631 -123.35717567 1
115  43.23483698 -123.35717590
120 Linear Feature 20
111  43.23483720 -123.35722440 1
111  43.23483699 -123.35717589 1
115  43.23483676 -123.35712640
120 Linear Feature 19
111  43.23493074 -123.35692272 1
115  43.23488994 -123.35692380
120 Linear Feature 18
111  43.23493085 -123.35694993 1
111  43.23493074 -123.35692272 1
115  43.23493063 -123.35689611
120 Linear Feature 17
111  43.23493086 -123.35709145 1
115  43.23487966 -123.35709273
120 Linear Feature 16
111  43.23493063 -123.35714094 1
111  43.23493086 -123.35709145 1
115  43.23493108 -123.35704574
120 Linear Feature 14
111  43.23493093 -123.35726133 1
115  43.23488070 -123.35726141
120 Linear Feature 13
111  43.23493121 -123.35730859 1
111  43.23493093 -123.35726133 1
115  43.23493065 -123.35721241
120 Linear Feature 12
111  43.23493027 -123.35742905 1
115  43.23488221 -123.35742918
120 Linear Feature 11
111  43.23493046 -123.35747658 1
111  43.23493027 -123.35742905 1
115  43.23493008 -123.35738092
120 Linear Feature 10
111  43.23493084 -123.35759889 1
115  43.23488209 -123.35759838
120 Linear Feature 9
111  43.23493084 -123.35764597 1
111  43.23493084 -123.35759889 1
115  43.23493084 -123.35754984
120 Linear Feature 8
111  43.23879901 -123.35778860 51
111  43.23849575 -123.35778798 51
116  43.23838707 -123.35761235  43.23838590 -123.35744462
120 Linear Feature 7
111  43.23880094 -123.35827683 51
111  43.23849063 -123.35827674 51
116  43.23838631 -123.35809134  43.23838653 -123.35792241
120 Linear Feature 6
111  43.23838767 -123.35725445 51
116  43.23826531 -123.35710473  43.23814549 -123.35710497
120 Linear Feature 5
111  43.23838680 -123.35777569 51
111  43.23838707 -123.35761235 51
111  43.23838730 -123.35748079 51
111  43.23838767 -123.35725445 51
116  43.23852390 -123.35710484  43.23866301 -123.35710548
120 Linear Feature 4
111  43.23796554 -123.35763472 51
116  43.23807944 -123.35777381  43.23807916 -123.35789213
120 Linear Feature 3
111  43.23837104 -123.35874153 51
112  43.23818596 -123.35882181  43.23807887 -123.35875659 51
112  43.23807700 -123.35863231  43.23807637 -123.35859381
111  43.23807700 -123.35863231 51
111  43.23807944 -123.35777381 51
116  43.23818091 -123.35763543  43.23826926 -123.35763543
120 Linear Feature 2
111  43.23838457 -123.35867362 51
112  43.23850476 -123.35884059  43.23861001 -123.35884022
111  43.23850476 -123.35884059 51
115  43.23881270 -123.35884140
120 Linear Feature 1
111  43.23828396 -123.35763575 51
112  43.23838683 -123.35777570  43.23838721 -123.35788900
111  43.23838683 -123.35777570 51
111  43.23838457 -123.35867362 51
112  43.23837104 -123.35874153  43.23835766 -123.35879533
111  43.23837104 -123.35874153 51
115  43.23829907 -123.35899041
120 Linear Feature 106
112  43.23765977 -123.35710315  43.23770087 -123.35710276 51
116  43.23777488 -123.35725857  43.23777516 -123.35736238
120 Linear Feature 105
111  43.23786867 -123.35710426 51
116  43.23777488 -123.35725857  43.23777516 -123.35739137
120 Linear Feature 104
112  43.23777585 -123.35696051  43.23777607 -123.35697322 51
116  43.23765977 -123.35710315  43.23753828 -123.35710643
120 Linear Feature 103
111  43.23786867 -123.35710426 51
112  43.23777585 -123.35696051  43.23777131 -123.35683560 51
116  43.23763703 -123.35676535  43.23758442 -123.35676535
120 Linear Feature 18
111  43.23898723 -123.35605588 3 102
112  43.23883889 -123.35635413  43.23884115 -123.35661616
111  43.23883889 -123.35635413
112  43.23883889 -123.35635413  43.23883840 -123.35654313 3 102
111  43.23887759 -123.35660748
112  43.23887759 -123.35660748  43.23890166 -123.35665752 3 102
112  43.23897200 -123.35668557  43.23900898 -123.35669572
111  43.23897200 -123.35668557
112  43.23897200 -123.35668557  43.23904438 -123.35670544 3 102
111  43.23923424 -123.35670866 3 102
111  43.24144303 -123.35670226 3 102
112  43.24156773 -123.35661190  43.24160794 -123.35652628
111  43.24156773 -123.35661190
112  43.24156773 -123.35661190  43.24157587 -123.35659457 3 102
112  43.24158564 -123.35654931  43.24158908 -123.35652471
111  43.24158564 -123.35654931
112  43.24158564 -123.35654931  43.24160609 -123.35640319 3 102
111  43.24159648 -123.35631841 3 102
111  43.24157684 -123.35616078 3 102
116  43.24145784 -123.35605814  43.24137981 -123.35605556
120 Linear Feature 17
112  43.23766626 -123.35697856  43.23773154 -123.35686268 3 102
111  43.23763646 -123.35682519 3 102
111  43.23681584 -123.35682587 3 102
111  43.23681471 -123.35699523 3 102
111  43.23690012 -123.35704109 3 102
111  43.23755282 -123.35704321 3 102
115  43.23766626 -123.35697856
120 Linear Feature 15
111  43.23618226 -123.35605142 3 102
112  43.23604016 -123.35634677  43.23604211 -123.35660338
111  43.23604016 -123.35634677
112  43.23604016 -123.35634677  43.23604107 -123.35646716 3 102
112  43.23608053 -123.35660350  43.23610604 -123.35665748
111  43.23608053 -123.35660350
112  43.23608053 -123.35660350  43.23610940 -123.35666457 3 102
112  43.23620943 -123.35669168  43.23626580 -123.35669405
111  43.23620943 -123.35669168
112  43.23620943 -123.35669168  43.23631561 -123.35669615 3 102
111  43.23861447 -123.35669113 3 102
112  43.23871729 -123.35660519  43.23875355 -123.35653297
111  43.23871729 -123.35660519
112  43.23871729 -123.35660519  43.23872935 -123.35658117 3 102
112  43.23873985 -123.35651207  43.23874164 -123.35647346
111  43.23873985 -123.35651207
112  43.23873985 -123.35651207  43.23874701 -123.35635738 3 102
111  43.23874508 -123.35632641 3 102
116  43.23857943 -123.35605578  43.23842244 -123.35600481
120 Linear Feature 16
111  43.23856713 -123.35704422 3 102
111  43.23870220 -123.35697232 3 102
111  43.23870163 -123.35689403 3 102
112  43.23864184 -123.35682594  43.23859259 -123.35682486 3 102
111  43.23793476 -123.35682855 3 102
112  43.23786116 -123.35691813  43.23786429 -123.35701362 3 102
114  43.23799341 -123.35703731  43.23800279 -123.35704374 3 102
120 Linear Feature 12
111  43.23398627 -123.35767834 3 102
111  43.23398441 -123.35681680 3 102
112  43.23325346 -123.35682038  43.23316751 -123.35682101 3 102
111  43.23311476 -123.35691949 3 102
111  43.23308011 -123.35700282 3 102
111  43.23299270 -123.35721317 3 102
111  43.23265198 -123.35721252 3 102
111  43.23256596 -123.35700431 3 102
111  43.23249009 -123.35682067 3 102
111  43.23248546 -123.35680945 3 102
111  43.23248458 -123.35658952 3 102
115  43.23248294 -123.35604618
120 Linear Feature 11
111  43.24064203 -123.35716380 3
115  43.24064262 -123.35738591
120 Linear Feature 10
111  43.24064028 -123.35716396 3 102
111  43.24144392 -123.35715979 3 102
112  43.24155994 -123.35700498  43.24155904 -123.35685284 3 102
112  43.24143761 -123.35684271  43.24142811 -123.35684209 3 102
111  43.23898146 -123.35683393 3 102
112  43.23884226 -123.35704136  43.23884117 -123.35725223 3 102
115  43.23884365 -123.35728986
120 Linear Feature 102
111  43.23898783 -123.35588340 51
112  43.23879181 -123.35613354  43.23876491 -123.35638741
111  43.23879181 -123.35613354 51
111  43.23879214 -123.35651264 51
111  43.23879256 -123.35694790 51
112  43.23868993 -123.35710468  43.23858869 -123.35710266
111  43.23868993 -123.35710468 51
112  43.23786867 -123.35710426  43.23756398 -123.35710356
111  43.23786867 -123.35710426
112  43.23786867 -123.35710426  43.23776478 -123.35710402 51
112  43.23765977 -123.35710315  43.23763403 -123.35710264
111  43.23765977 -123.35710315 51
111  43.23678292 -123.35710185 51
116  43.23667178 -123.35695229  43.23663002 -123.35683180
120 Linear Feature 101
111  43.23788119 -123.35763454 51
116  43.23777419 -123.35747131  43.23777412 -123.35730440
120 Linear Feature 100
111  43.23764564 -123.35763387 51
116  43.23777419 -123.35747131  43.23778370 -123.35730332
120 Linear Feature 99
111  43.23774039 -123.35776768 51
116  43.23788119 -123.35763454  43.23800005 -123.35761968
120 Linear Feature 98
111  43.23764564 -123.35763387 51
111  43.23796554 -123.35763472 51
115  43.23828396 -123.35763575
120 Linear Feature 97
111  43.23667106 -123.35749158 51
112  43.23681655 -123.35763324  43.23696896 -123.35763267
111  43.23681655 -123.35763324 51
111  43.23764564 -123.35763387 51
116  43.23774039 -123.35776768  43.23773968 -123.35787393
120 Linear Feature 9
111  43.24181522 -123.35708478 3 102
111  43.24293354 -123.35708873 3 102
112  43.24301391 -123.35696906  43.24301260 -123.35684760 3 102
112  43.24291286 -123.35684580  43.24290187 -123.35684544 3 102
111  43.24184094 -123.35684547 3 102
112  43.24173542 -123.35696243  43.24173620 -123.35707081 3 102
116  43.24181610 -123.35708499  43.24183495 -123.35708571
120 Linear Feature 8
112  43.24180957 -123.35605613  43.24170774 -123.35610611 3 102
111  43.24170326 -123.35619001 3 102
112  43.24169571 -123.35647153  43.24169912 -123.35665671
111  43.24169571 -123.35647153
112  43.24169571 -123.35647153  43.24169685 -123.35653362 3 102
112  43.24172695 -123.35661224  43.24174390 -123.35664534
111  43.24172695 -123.35661224
112  43.24172695 -123.35661224  43.24176056 -123.35667786 3 102
111  43.24180921 -123.35669460 3 102
111  43.24185954 -123.35670219 3 102
111  43.24201112 -123.35671191 3 102
112  43.24471327 -123.35671312  43.24481886 -123.35671120
111  43.24471327 -123.35671312
112  43.24471327 -123.35671312  43.24477404 -123.35671201 3 102
112  43.24481715 -123.35661517  43.24483102 -123.35657081
111  43.24481715 -123.35661517
112  43.24481715 -123.35661517  43.24482738 -123.35658246 3 102
111  43.24482925 -123.35655417 3 102
111  43.24482979 -123.35652725 3 102
112  43.24482814 -123.35627101  43.24482801 -123.35612703 3 102
115  43.24468850 -123.35606338
120 Linear Feature 7
112  43.24468125 -123.35684190  43.24463581 -123.35684065 3 102
112  43.24452460 -123.35702447  43.24447557 -123.35713550
111  43.24452460 -123.35702447
112  43.24452460 -123.35702447  43.24452279 -123.35702857 3 102
116  43.24451923 -123.35703692  43.24451745 -123.35704112
120 Linear Feature 6
112  43.24451920 -123.35703682  43.24446188 -123.35717542 3 102
111  43.24444505 -123.35721376 3 102
112  43.24441863 -123.35723716  43.24439583 -123.35723805 3 102
111  43.24410987 -123.35724073 3 102
112  43.24406258 -123.35718763  43.24404108 -123.35713040
111  43.24406258 -123.35718763
112  43.24406258 -123.35718763  43.24404951 -123.35715284 3 102
112  43.24399546 -123.35702467  43.24397283 -123.35697134
111  43.24399546 -123.35702467
112  43.24399546 -123.35702467  43.24398086 -123.35699028 3 102
111  43.24396993 -123.35696483 3 102
112  43.24386341 -123.35683871  43.24380649 -123.35683819 3 102
111  43.24374014 -123.35683871 3 102
111  43.24357805 -123.35683819 3 102
111  43.24332927 -123.35684477 3 102
112  43.24315074 -123.35705262  43.24314639 -123.35727543 3 102
111  43.24314675 -123.35736537 3 102
111  43.24314561 -123.35800035 3 102
111  43.24314539 -123.35840535 3 102
111  43.24169001 -123.35840749 3 102
111  43.24168847 -123.35867819 3 102
112  43.24184317 -123.35885405  43.24198648 -123.35885554 3 102
111  43.24200548 -123.35885852 3 102
115  43.24200390 -123.35913309
120 edge of taxiway line 1
111  43.24510306 -123.35606356 3 102
111  43.24510206 -123.35661723 3 102
111  43.24510205 -123.35684102 3 102
115  43.24468125 -123.35684190
120 Linear Feature 3
112  43.23419912 -123.35765900  43.23419912 -123.35753852 1
112  43.23405260 -123.35765863  43.23405223 -123.35780650 1
116  43.23419912 -123.35765900  43.23419912 -123.35753852
120 Linear Feature 3
112  43.23419950 -123.35699695  43.23419950 -123.35687646 1
112  43.23405727 -123.35699955  43.23405691 -123.35714742 1
116  43.23419950 -123.35699695  43.23419950 -123.35687646
120 Linear Feature 3
112  43.23420005 -123.35733014  43.23420005 -123.35720966 1
112  43.23405351 -123.35732785  43.23405315 -123.35747572 1
116  43.23420005 -123.35733014  43.23420005 -123.35720966
120 Linear Feature 94
112  43.23526909 -123.35676159  43.23529612 -123.35676159 51
112  43.23541929 -123.35695630  43.23541882 -123.35712116
111  43.23541929 -123.35695630 51
111  43.23541935 -123.35748574 51
112  43.23554047 -123.35766134  43.23565106 -123.35766591
111  43.23554047 -123.35766134 51
111  43.23577823 -123.35766027 51
112  43.23590655 -123.35745144  43.23590584 -123.35724088
111  43.23590655 -123.35745144 51
111  43.23590479 -123.35701558 51
116  43.23609687 -123.35676291  43.23624418 -123.35676597
120 Linear Feature 93
111  43.23506155 -123.35694432 51
116  43.23491899 -123.35676102  43.23479296 -123.35675703
120 Linear Feature 92
111  43.23506176 -123.35760070 51
111  43.23506155 -123.35694432 51
116  43.23520688 -123.35676185  43.23532278 -123.35676016
120 Linear Feature 91
111  43.23455765 -123.35676082 51
116  43.23470620 -123.35695872  43.23470937 -123.35713982
120 Linear Feature 90
111  43.23484380 -123.35676090 51
112  43.23470620 -123.35695872  43.23470579 -123.35713429
111  43.23470620 -123.35695872 51
115  43.23470578 -123.35769332
120 Linear Feature 89
111  43.23427583 -123.35699683 51
111  43.23419950 -123.35699695 51
115  43.23412712 -123.35699706
120 Linear Feature 88
111  43.23434944 -123.35693257 51
116  43.23427554 -123.35699683  43.23420333 -123.35699800
120 Linear Feature 87
111  43.23435001 -123.35724247 51
112  43.23425930 -123.35733021  43.23416720 -123.35732991
111  43.23425930 -123.35733021 51
112  43.23420005 -123.35733014  43.23410796 -123.35732985
111  43.23420005 -123.35733014 51
115  43.23412655 -123.35733007
120 Linear Feature 86
111  43.23420605 -123.35676025 51
112  43.23434944 -123.35693257  43.23435810 -123.35708962
111  43.23434944 -123.35693257 51
111  43.23435001 -123.35724247 51
111  43.23435047 -123.35758350 51
112  43.23428145 -123.35765914  43.23422196 -123.35765914
111  43.23428145 -123.35765914 51
111  43.23419912 -123.35765900 51
115  43.23413081 -123.35765849
120 Linear Feature 85
111  43.23434944 -123.35693257 51
116  43.23452074 -123.35676070  43.23468290 -123.35676314
120 Linear Feature 65
111  43.24149701 -123.35777357 51
112  43.24164013 -123.35795550  43.24163996 -123.35811695 51
112  43.24178636 -123.35815496  43.24183174 -123.35815387
111  43.24178636 -123.35815496 51
111  43.24296917 -123.35815259 51
112  43.24310049 -123.35789193  43.24309964 -123.35763923
111  43.24310049 -123.35789193 51
111  43.24309946 -123.35741028 51
111  43.24309885 -123.35697793 51
116  43.24295717 -123.35677427  43.24283786 -123.35677427
120 Linear Feature 3
111  43.24164193 -123.35619931 51
116  43.24143870 -123.35588576  43.24122848 -123.35588459
120 Linear Feature 64
111  43.24183421 -123.35588630 51
112  43.24164193 -123.35619931  43.24164740 -123.35648786
111  43.24164193 -123.35619931 51
111  43.24164204 -123.35649578 51
111  43.24164103 -123.35734553 51
111  43.24164022 -123.35788853
112  43.24164022 -123.35788853  43.24163987 -123.35811393 51
111  43.24163928 -123.35846953 51
111  43.24163885 -123.35872601 51
112  43.24148794 -123.35891980  43.24134806 -123.35894327
111  43.24148794 -123.35891980 51
111  43.24024449 -123.35891728 51
111  43.24021571 -123.35891766 51
112  43.24008097 -123.35868356  43.24008168 -123.35843789
111  43.24008097 -123.35868356 51
111  43.24008143 -123.35842832 51
111  43.24007883 -123.35802510
112  43.24007883 -123.35802510  43.24007888 -123.35801304 51
111  43.24007891 -123.35800619 51
112  43.24025151 -123.35777286  43.24043119 -123.35776701
111  43.24025151 -123.35777286 51
111  43.24090026 -123.35777191 51
111  43.24149689 -123.35777363 51
116  43.24164074 -123.35755658  43.24164074 -123.35737720
120 Linear Feature 63
111  43.23773910 -123.35828751 51
116  43.23762041 -123.35814303  43.23750505 -123.35813231
120 Linear Feature 62
111  43.23773983 -123.35799204 51
112  43.23762041 -123.35814303  43.23750019 -123.35814256 51
115  43.23674869 -123.35814357
120 Linear Feature 61
111  43.23791596 -123.35676582 51
112  43.23777585 -123.35696051  43.23777482 -123.35714480
111  43.23777585 -123.35696051 51
112  43.23777488 -123.35725857  43.23777385 -123.35744285
111  43.23777488 -123.35725857 51
111  43.23777419 -123.35747131 51
112  43.23775882 -123.35763412  43.23774067 -123.35771263 51
111  43.23774039 -123.35776768 51
111  43.23773983 -123.35799204 51
111  43.23773910 -123.35828751 51
111  43.23773872 -123.35843649 51
112  43.23763477 -123.35857260  43.23753442 -123.35857495
111  43.23763477 -123.35857260 51
115  43.23674287 -123.35857707
120 Linear Feature 80
111  43.24296421 -123.35766015 51
116  43.24309946 -123.35741028  43.24309975 -123.35717912
120 Linear Feature 79
111  43.24164103 -123.35734553 51
112  43.24179794 -123.35716913  43.24193907 -123.35716744
111  43.24179794 -123.35716913 51
111  43.24295876 -123.35716944 51
116  43.24309946 -123.35741028  43.24310017 -123.35765108
120 Linear Feature 77
111  43.24179198 -123.35765425 51
116  43.24164090 -123.35744925  43.24164090 -123.35727341
120 Linear Feature 76
111  43.24310049 -123.35789193 51
112  43.24296421 -123.35766015  43.24282714 -123.35765917
111  43.24296421 -123.35766015 51
111  43.24179163 -123.35765371 51
116  43.24164022 -123.35788853  43.24164064 -123.35811339
120 Linear Feature 84
111  43.24149335 -123.35825641 51
116  43.24164003 -123.35801089  43.24164086 -123.35777958
120 Linear Feature 83
112  43.24024426 -123.35825775  43.24022996 -123.35825708 51
116  43.24007883 -123.35802510  43.24007863 -123.35778750
120 Linear Feature 82
111  43.24163928 -123.35846953 51
112  43.24149448 -123.35825635  43.24136486 -123.35825635 51
111  43.24098432 -123.35825298 51
111  43.24024426 -123.35825775 51
116  43.24008143 -123.35842832  43.24008061 -123.35860659
120 Linear Feature 81
111  43.24179794 -123.35716913 51
112  43.24164151 -123.35697801  43.24164151 -123.35680593 51
116  43.24179269 -123.35677235  43.24181981 -123.35677235
120 Linear Feature 2
111  43.24510206 -123.35661723 54
115  43.24481715 -123.35661517
120 Linear Feature 23
111  43.23277314 -123.35659224 54
115  43.23248458 -123.35658952
120 Linear Feature 2
111  43.23879256 -123.35694790 51
116  43.23895859 -123.35676757  43.23910770 -123.35677062
120 Linear Feature 2
111  43.23879214 -123.35651264 51
116  43.23900713 -123.35676765  43.23919919 -123.35676576
120 Linear Feature 2
112  43.23859807 -123.35676702  43.23876552 -123.35676605 51
115  43.23879214 -123.35651264
120 Linear Feature 1
111  43.23879256 -123.35694790 51
116  43.23859780 -123.35676697  43.23841359 -123.35676870
120 Linear Feature 5
111  43.24164151 -123.35697801 51
116  43.24149758 -123.35677185  43.24137276 -123.35677280
120 Linear Feature 5
111  43.24145865 -123.35677178 51
116  43.24164204 -123.35649578  43.24164204 -123.35625511
120 Linear Feature 5
111  43.24145865 -123.35677178 51
116  43.24164204 -123.35649578  43.24164204 -123.35625511
120 Linear Feature 5
111  43.24145865 -123.35677178 51
116  43.24164204 -123.35649578  43.24164204 -123.35625511
120 Linear Feature 5
111  43.24145865 -123.35677178 51
116  43.24164204 -123.35649578  43.24164204 -123.35625511
120 Linear Feature 4
112  43.24182725 -123.35677240  43.24181157 -123.35677241 51
116  43.24164204 -123.35649578  43.24164287 -123.35627064
120 Linear Feature 60
111  43.23653341 -123.35676349 51
111  43.23681889 -123.35676397 51
111  43.23763703 -123.35676535 51
111  43.23791596 -123.35676582 51
111  43.23859780 -123.35676697 51
111  43.23895859 -123.35676757 51
111  43.23900713 -123.35676765 51
111  43.24145865 -123.35677178 51
111  43.24149758 -123.35677185 51
111  43.24179269 -123.35677235 51
111  43.24182725 -123.35677240 51
111  43.24295717 -123.35677427 51
111  43.24325131 -123.35677475 51
111  43.24479655 -123.35677741 51
112  43.24496770 -123.35649160  43.24496710 -123.35625053
111  43.24496770 -123.35649160 51
115  43.24496396 -123.35604675
120 Linear Feature 59
111  43.23667106 -123.35749178 51
111  43.23667106 -123.35722868 51
111  43.23667178 -123.35695229 51
112  43.23653341 -123.35676349  43.23642360 -123.35676409
111  43.23653341 -123.35676349 51
111  43.23617276 -123.35676304 51
111  43.23609687 -123.35676291 51
111  43.23578816 -123.35676239 51
111  43.23570692 -123.35676224 51
111  43.23557527 -123.35676206 51
111  43.23526909 -123.35676159 51
111  43.23491899 -123.35676102 51
111  43.23484380 -123.35676090 51
112  43.23455767 -123.35676082  43.23446671 -123.35676067
111  43.23455767 -123.35676082 51
112  43.23420605 -123.35676025  43.23409078 -123.35676007
111  43.23420605 -123.35676025
112  43.23420605 -123.35676025  43.23345758 -123.35675905 51
111  43.23281822 -123.35675797 51
112  43.23261357 -123.35647245  43.23261209 -123.35619627
111  43.23261357 -123.35647245 51
115  43.23261311 -123.35604275
120 Linear Feature 22
111  43.23308011 -123.35700282 2
115  43.23256596 -123.35700431
120 Linear Feature 21
111  43.23325346 -123.35682038 8
115  43.23249009 -123.35682067
120 Linear Feature 14
111  43.23292447 -123.35604646 3 102
112  43.23275429 -123.35626783  43.23275166 -123.35647376 3 102
111  43.23275398 -123.35650149 3 102
112  43.23277314 -123.35659224  43.23279353 -123.35663839
111  43.23277314 -123.35659224
112  43.23277314 -123.35659224  43.23279442 -123.35664039 3 102
112  43.23293361 -123.35669287  43.23302797 -123.35669550
111  43.23293361 -123.35669287
112  43.23293361 -123.35669287  43.23311840 -123.35669802 3 102
111  43.23576194 -123.35668993 3 102
112  43.23590759 -123.35660333  43.23596218 -123.35650335
111  43.23590759 -123.35660333
112  43.23590759 -123.35660333  43.23591963 -123.35658093 3 102
112  43.23593635 -123.35651826  43.23593790 -123.35648256
111  43.23593635 -123.35651826
112  43.23593635 -123.35651826  43.23594394 -123.35634327 3 102
111  43.23594361 -123.35633965 3 102
116  43.23577826 -123.35605081  43.23561433 -123.35603293
120 Linear Feature 2
111  43.23633339 -123.35715311 1
111  43.23633345 -123.35730170 1
111  43.23645894 -123.35730223 1
113  43.23645936 -123.35715026 1
120 Linear Feature 1
111  43.23651468 -123.35737607 1
111  43.23651391 -123.35707703 1
111  43.23627834 -123.35707650 1
113  43.23627757 -123.35737766 1
21  43.23528936 -123.35536012 3 360.0000 4.00 New Light Fixture 6
14  43.23578173 -123.35792913  26.25 0 ATC Tower
1300  43.24025390 -123.35928710  90.00 hangar turboprops|props North Hangar 18
1301 A none 
1300  43.24055827 -123.35930936  90.00 hangar turboprops|props North Hangar 17
1301 A none 
1300  43.24086368 -123.35934014  90.00 hangar turboprops|props North Hangar 16
1301 A none 
1300  43.24182888 -123.35938164  90.47 hangar turboprops|props North Hangar 15
1301 A none 
1300  43.24136474 -123.35752696  90.65 hangar props North Hangar 14
1301 A none 
1300  43.24116777 -123.35752810  90.37 hangar props North Hangar 13
1301 A none 
1300  43.24095376 -123.35752638  89.72 hangar props North Hangar 12
1301 A none 
1300  43.24073505 -123.35752379  90.18 hangar props North Hangar 11
1301 A none 
1300  43.24122987 -123.35800709  90.00 hangar props North Hangar 10
1301 A none 
1300  43.24102100 -123.35801194  90.33 hangar props North Hangar 9
1301 A none 
1300  43.24082420 -123.35801010  90.00 hangar props North Hangar 8
1301 A none 
1300  43.24059413 -123.35802800  91.10 hangar props North Hangar 7
1301 A none 
1300  43.24036016 -123.35802298  89.37 hangar props North Hangar 6
1301 A none 
1300  43.24136432 -123.35857289 270.39 hangar turboprops|props North Hangar 5
1301 A none 
1300  43.24109478 -123.35855844 270.71 hangar turboprops|props North Hangar 4
1301 A none 
1300  43.24082104 -123.35857578 270.38 hangar turboprops|props North Hangar 3
1301 A none 
1300  43.24056204 -123.35857000 270.00 hangar turboprops|props North Hangar 2
1301 A none 
1300  43.24030303 -123.35856133 269.49 hangar turboprops|props North Hangar 1
1301 A none 
1300  43.23857191 -123.35756174 270.00 hangar props South Hangar 30
1301 A none 
1300  43.23874677 -123.35756017 271.04 hangar props South Hangar 29
1301 A none 
1300  43.23858445 -123.35801919  90.72 hangar props South Hangar 28
1301 A none 
1300  43.23873720 -123.35801115  91.16 hangar props South Hangar 27
1301 A none 
1300  43.23858849 -123.35852582  90.00 hangar props South Hangar 26
1301 A none 
1300  43.23876911 -123.35852096  90.00 hangar props South Hangar 25
1301 A none 
1300  43.23822415 -123.35795546 180.00 hangar props South Hangar 24
1301 A none 
1300  43.23822388 -123.35826223 180.00 hangar props South Hangar 23
1301 A none 
1300  43.23822260 -123.35855016 180.00 hangar props South Hangar 22
1301 A none 
1300  43.23790418 -123.35791012 180.54 hangar props South Hangar 21
1301 A none 
1300  43.23790149 -123.35817877 179.50 hangar props South Hangar 20
1301 A none 
1300  43.23790194 -123.35844795 179.36 hangar props South Hangar 19
1301 A none 
1300  43.23756417 -123.35790635 270.82 hangar props South Hangar 18
1301 A none 
1300  43.23737546 -123.35790877 270.00 hangar props South Hangar 17
1301 A none 
1300  43.23719658 -123.35791585 269.28 hangar props South Hangar 16
1301 A none 
1300  43.23702211 -123.35791931 270.00 hangar props South Hangar 15
1301 A none 
1300  43.23685371 -123.35791818 270.00 hangar props South Hangar 14
1301 A none 
1300  43.23758148 -123.35835337 270.83 hangar props South Hangar 13
1301 A none 
1300  43.23741716 -123.35835667 270.00 hangar props South Hangar 12
1301 A none 
1300  43.23721376 -123.35835850 270.00 hangar props South Hangar 11
1301 A none 
1300  43.23701811 -123.35835601 270.00 hangar props South Hangar 10
1301 A none 
1300  43.23683725 -123.35835551 271.25 hangar props South Hangar 9
1301 A none 
1300  43.23879958 -123.35920431  90.41 hangar props South Hangar 8
1301 A none 
1300  43.23855110 -123.35921595  90.00 hangar props South Hangar 7
1301 A none 
1300  43.23824805 -123.35916904  70.02 hangar props South Hangar 6
1301 A none 
1300  43.23795824 -123.35901634  69.25 hangar props South Hangar 5
1301 A none 
1300  43.23751847 -123.35893320  89.81 hangar props South Hangar 4
1301 A none 
1300  43.23728571 -123.35894635  90.00 hangar props South Hangar 3
1301 A none 
1300  43.23705278 -123.35894873  89.65 hangar props South Hangar 2
1301 A none 
1300  43.23681803 -123.35896773  90.00 hangar props South Hangar 1
1301 A none 
1300  43.24283735 -123.35744612 270.58 tie_down props Tie-Down 69
1301 A general_aviation 
1300  43.24265222 -123.35744585 270.59 tie_down props Tie-Down 68
1301 A general_aviation 
1300  43.24246273 -123.35744711 270.49 tie_down props Tie-Down 67
1301 A general_aviation 
1300  43.24227854 -123.35744411 269.44 tie_down props Tie-Down 66
1301 A general_aviation 
1300  43.24208978 -123.35744458 270.47 tie_down props Tie-Down 65
1301 A general_aviation 
1300  43.24190520 -123.35744279 270.55 tie_down props Tie-Down 64
1301 A general_aviation 
1300  43.24286480 -123.35784475  90.87 tie_down props Tie-Down 63
1301 A general_aviation 
1300  43.24280297 -123.35797570 270.00 tie_down props Tie-Down 62
1301 A general_aviation 
1300  43.24274070 -123.35784639  90.00 tie_down props Tie-Down 61
1301 A general_aviation 
1300  43.24267980 -123.35797621 270.30 tie_down props Tie-Down 60
1301 A general_aviation 
1300  43.24261722 -123.35784647  89.85 tie_down props Tie-Down 59
1301 A general_aviation 
1300  43.24255571 -123.35797627 269.26 tie_down props Tie-Down 58
1301 A general_aviation 
1300  43.24249637 -123.35784576  90.36 tie_down props Tie-Down 57
1301 A general_aviation 
1300  43.24243174 -123.35797488 270.00 tie_down props Tie-Down 56
1301 A general_aviation 
1300  43.24237224 -123.35784652  90.17 tie_down props Tie-Down 55
1301 A general_aviation 
