I
1050 Generated by WorldEditor 1.6.1r1

1    147 1 0 FACT Cape Town International Airport
112 -33.98173947  018.60372206 -33.98192516  018.60380098 102
111 -33.98205769  018.60386082
112 -33.98214525  018.60379938 -33.98217255  018.60371749
111 -33.98214525  018.60379938
112 -33.98214525  018.60379938 -33.98215638  018.60376600
112 -33.98223696  018.60349961 -33.98227886  018.60336052
111 -33.98223696  018.60349961
112 -33.98223696  018.60349961 -33.98229785  018.60329751
111 -33.98236557  018.60307050
111 -33.98233466  018.60286330
111 -33.98226796  018.60283280
111 -33.98241255  018.60232716
111 -33.98236290  018.60230281
111 -33.98240752  018.60212269
111 -33.98252036  018.60217028
111 -33.98250843  018.60220904
111 -33.98293144  018.60237306
111 -33.98272835  018.60303151
111 -33.98262769  018.60299553
112 -33.98249797  018.60312611 -33.98247119  018.60322475
111 -33.98249797  018.60312611
112 -33.98249797  018.60312611 -33.98248285  018.60318181
112 -33.98236835  018.60355885 -33.98231552  018.60373316
111 -33.98236835  018.60355885
112 -33.98236835  018.60355885 -33.98232762  018.60369322
112 -33.98228729  018.60383097 -33.98228243  018.60385122
111 -33.98228729  018.60383097
112 -33.98228729  018.60383097 -33.98227613  018.60387749
112 -33.98236461  018.60400310 -33.98246163  018.60404652
111 -33.98236461  018.60400310
112 -33.98236461  018.60400310 -33.98239845  018.60401824 102
112 -33.98264369  018.60411854 -33.98277745  018.60417300
111 -33.98264369  018.60411854
112 -33.98264369  018.60411854 -33.98289349  018.60422025 102
112 -33.98326524  018.60436994 -33.98330952  018.60438788
111 -33.98326524  018.60436994
112 -33.98326524  018.60436994 -33.98333323  018.60439748
112 -33.98346522  018.60421857 -33.98348871  018.60414264
111 -33.98346522  018.60421857
112 -33.98346522  018.60421857 -33.98346916  018.60420585
112 -33.98350866  018.60407314 -33.98353232  018.60399354
111 -33.98350866  018.60407314
112 -33.98350866  018.60407314 -33.98362615  018.60367779
111 -33.98393626  018.60262894
111 -33.98499913  018.60308103
111 -33.98496677  018.60319215
111 -33.98499862  018.60320564
111 -33.98498491  018.60325052
111 -33.98505186  018.60328041
111 -33.98504422  018.60330899
111 -33.98512727  018.60334306
111 -33.98511684  018.60339034
111 -33.98520337  018.60342710
111 -33.98521704  018.60337922
111 -33.98528431  018.60340757
111 -33.98530551  018.60332888
111 -33.98534075  018.60334299
111 -33.98536659  018.60335372
111 -33.98518763  018.60398469
111 -33.98404053  018.60349561
112 -33.98397011  018.60330436 -33.98387481  018.60327334
111 -33.98384131  018.60338935
112 -33.98362829  018.60412448 -33.98355267  018.60438819
111 -33.98362829  018.60412448
112 -33.98362829  018.60412448 -33.98360334  018.60421149
112 -33.98358077  018.60429329 -33.98357642  018.60431068
111 -33.98358077  018.60429329
112 -33.98358077  018.60429329 -33.98356325  018.60436339
112 -33.98369665  018.60456383 -33.98381410  018.60461656
111 -33.98369665  018.60456383
112 -33.98369665  018.60456383 -33.98370491  018.60456754 102
112 -33.98428013  018.60483454 -33.98461809  018.60497992
111 -33.98428013  018.60483454
112 -33.98428013  018.60483454 -33.98519613  018.60522858 102
111 -33.98684962  018.60591455
111 -33.98692263  018.60583090
112 -33.98791023  018.60624351 -33.98806957  018.60630998
111 -33.98814828  018.60646379
111 -33.98826911  018.60650805
111 -33.98823666  018.60667308
114 -33.98826078  018.60697468 -33.98822740  018.60713817
111 -33.98772986  018.60777432
111 -33.98766931  018.60771885
111 -33.98777283  018.60717401
112 -33.98784861  018.60707960 -33.98786414  018.60700636
112 -33.98769939  018.60666231 -33.98745705  018.60654276
111 -33.98680637  018.60627685
111 -33.98678832  018.60615072 102
112 -33.98420817  018.60506393 -33.98404680  018.60499516
111 -33.98420817  018.60506393
112 -33.98420817  018.60506393 -33.98386357  018.60491706 102
112 -33.98257916  018.60435635 -33.98188978  018.60406277
111 -33.98257916  018.60435635
112 -33.98257916  018.60435635 -33.98229623  018.60423586 102
112 -33.98167161  018.60396640 -33.98136612  018.60383634
111 -33.98167161  018.60396640
112 -33.98167161  018.60396640 -33.97982943  018.60318205 102
112 -33.97774649  018.60229230 -33.97772688  018.60228549
111 -33.97774649  018.60229230
112 -33.97774649  018.60229230 -33.97760303  018.60228186
112 -33.97752585  018.60255779 -33.97756609  018.60271394
111 -33.97782761  018.60383146
111 -33.97773735  018.60386543 102
112 -33.97774995  018.60392031 -33.97775791  018.60395498
111 -33.97774995  018.60392031
112 -33.97774995  018.60392031 -33.97779550  018.60411865 102
112 -33.97796728  018.60485757 -33.97798469  018.60492494
111 -33.97796728  018.60485757
112 -33.97796728  018.60485757 -33.97799129  018.60495048 102
111 -33.97821809  018.60545020
111 -33.98731091  018.60831902 102
112 -33.98752155  018.60824186 -33.98759846  018.60820847 102
112 -33.98768967  018.60798984 -33.98771471  018.60785306
111 -33.98768967  018.60798984
112 -33.98768967  018.60798984 -33.98769938  018.60793683
112 -33.98771402  018.60785817 -33.98772045  018.60782381
111 -33.98771402  018.60785817
114 -33.98771402  018.60785817 -33.98772418  018.60780385
112 -33.97773089  018.60145531 -33.97767293  018.60143911
111 -33.97760903  018.60151716
112 -33.97760690  018.60152389 -33.97760551  018.60152824
111 -33.97760690  018.60152389
112 -33.97760690  018.60152389 -33.97759462  018.60156255
112 -33.97751639  018.60182928 -33.97749970  018.60190125
111 -33.97751639  018.60182928
112 -33.97751639  018.60182928 -33.97749783  018.60190935
111 -33.97755704  018.60193855 102
112 -33.97781732  018.60205055 -33.97790012  018.60208742
112 -33.97795485  018.60200520 -33.97797498  018.60195154
112 -33.97802558  018.60169694 -33.97805074  018.60159055
113 -33.97798789  018.60155710
111 -33.97767181  018.60072475
112 -33.97767573  018.60070558 -33.97767738  018.60069392
111 -33.97767573  018.60070558
112 -33.97767573  018.60070558 -33.97768009  018.60067465
112 -33.97762089  018.60058789 -33.97756180  018.60056128
111 -33.97762089  018.60058789
112 -33.97762089  018.60058789 -33.97753953  018.60055125
112 -33.97589819  018.59984156 -33.97586093  018.59982736
112 -33.97580728  018.59986734 -33.97579434  018.59990681
111 -33.97577493  018.59998107
111 -33.97607202  018.60015305
111 -33.97605870  018.60020628
112 -33.97634574  018.60036129 -33.97641817  018.60039575
112 -33.97702561  018.60065367 -33.97705795  018.60066752
112 -33.97709195  018.60075465 -33.97708936  018.60080970
112 -33.97715833  018.60091749 -33.97720318  018.60096008
112 -33.97721554  018.60105916 -33.97721812  018.60110693
112 -33.97729532  018.60117029 -33.97733154  018.60119003
111 -33.97747828  018.60125237
112 -33.97752009  018.60122070 -33.97753581  018.60117622
111 -33.97752009  018.60122070
112 -33.97752009  018.60122070 -33.97752611  018.60120367
112 -33.97757664  018.60103887 -33.97760353  018.60095072
111 -33.97757664  018.60103887
114 -33.97757664  018.60103887 -33.97762000  018.60089674
112 -33.97745044  018.60143959 -33.97745152  018.60143564
111 -33.97745044  018.60143959
112 -33.97745044  018.60143959 -33.97746726  018.60137831
111 -33.97743833  018.60135891
112 -33.97722328  018.60127029 -33.97714441  018.60123439
112 -33.97701811  018.60129440 -33.97693635  018.60128816
111 -33.97689517  018.60122308
112 -33.97681496  018.60121737 -33.97678089  018.60120698
112 -33.97613151  018.60093059 -33.97604208  018.60088967
111 -33.97581773  018.60075701
112 -33.97574284  018.60096229 -33.97573098  018.60099865
112 -33.97576045  018.60103889 -33.97577986  018.60105058
112 -33.97611442  018.60119062 -33.97619192  018.60122472
112 -33.97733568  018.60172799 -33.97736323  018.60173917
111 -33.97738300  018.60172186
112 -33.97744678  018.60145336 -33.97746627  018.60137823
111 -33.97744678  018.60145336
114 -33.97744678  018.60145336 -33.97744812  018.60144818
111 -33.97688048  018.60093899
112 -33.97696386  018.60080959 -33.97697392  018.60075809
113 -33.97693942  018.60074165
111 -33.97364608  018.59938393
112 -33.97350014  018.59938925 -33.97341941  018.59941480
111 -33.97338836  018.59946652
111 -33.97343960  018.59948522
112 -33.97352602  018.59957246 -33.97354776  018.59957994
114 -33.97361064  018.59954772 -33.97362487  018.59950203
111 -33.97388665  018.59943100
112 -33.97385570  018.59945946 -33.97384815  018.59949018
112 -33.97381257  018.59961265 -33.97380646  018.59964468
112 -33.97383870  018.59968131 -33.97385739  018.59968909
112 -33.97396374  018.59966660 -33.97398487  018.59959909
112 -33.97401708  018.59948646 -33.97402031  018.59947694
114 -33.97399983  018.59945920 -33.97397575  018.59945487
111 -33.97396903  018.59981556
112 -33.97385342  018.59981838 -33.97381202  018.59979968
112 -33.97375561  018.59982025 -33.97374577  018.59985702
111 -33.97368644  018.60007942
112 -33.97373302  018.60016019 -33.97377339  018.60017888
111 -33.97391886  018.60023353
111 -33.97396804  018.60002624
113 -33.97391737  018.60001009
112 -33.97350064  018.59966484 -33.97346337  018.59964839
112 -33.97332102  018.59971344 -33.97326823  018.59976130
111 -33.97319694  018.59989048
111 -33.97315640  018.59997928
112 -33.97333984  018.60003750 -33.97337338  018.60004498
112 -33.97346924  018.59996407 -33.97350339  018.59990275
114 -33.97354714  018.59975654 -33.97355404  018.59969630
112 -33.97598284  018.60163996 -33.97576017  018.60153227
111 -33.97503567  018.60115321
112 -33.97494407  018.60125977 -33.97492182  018.60132271
111 -33.97491140  018.60139080
111 -33.97527023  018.60159079
111 -33.97512374  018.60230325
112 -33.97135282  018.60112626 -33.97126794  018.60110507
112 -33.97118106  018.60095540 -33.97115949  018.60087958
112 -33.97105080  018.60039213 -33.97102286  018.60025379
112 -33.97082100  018.60023231 -33.97075734  018.60022483
111 -33.97070834  018.60024166 102
111 -33.97074159  018.60038514 102
111 -33.97075897  018.60046011 102
111 -33.97076642  018.60056929 102
112 -33.97104847  018.60181165 -33.97117091  018.60234122
111 -33.97104847  018.60181165
112 -33.97104847  018.60181165 -33.97108939  018.60198865 102
112 -33.97115143  018.60224780 -33.97117670  018.60235041
111 -33.97115143  018.60224780
112 -33.97115143  018.60224780 -33.97125230  018.60265741 102
112 -33.97156263  018.60307281 -33.97169855  018.60324940 102
112 -33.97207692  018.60352498 -33.97219139  018.60356159
111 -33.97747425  018.60521091 102
112 -33.97762826  018.60506957 -33.97770713  018.60495515 102
112 -33.97766933  018.60465121 -33.97764149  018.60451505
111 -33.97766933  018.60465121
112 -33.97766933  018.60465121 -33.97764596  018.60453693 102
112 -33.97752193  018.60399676 -33.97749222  018.60386762
111 -33.97752193  018.60399676
112 -33.97752193  018.60399676 -33.97751624  018.60397204 102
111 -33.97751292  018.60395764
111 -33.97745229  018.60397672
112 -33.97701441  018.60217171 -33.97698336  018.60208031
111 -33.97691690  018.60208024
113 -33.97688326  018.60202312
111 -33.97096534  018.60000669 102
112 -33.97082499  018.59993939 -33.97075171  018.59996032 102
111 -33.97070741  018.60011488
112 -33.97084661  018.60010998 -33.97089163  018.60012369
113 -33.97099207  018.60013839
112 -33.97023163  018.59990258 -33.97008631  018.59986295 102
111 -33.96997430  018.59984045
111 -33.96993463  018.60002105
111 -33.97007535  018.60006492
111 -33.97005032  018.60017185
111 -33.97011562  018.60019032
111 -33.97014863  018.60031715
113 -33.97045698  018.60019599 102
112 -33.97092052  018.60317000 -33.97094290  018.60317566
111 -33.97092052  018.60317000
112 -33.97092052  018.60317000 -33.97096328  018.60318082 102
112 -33.97103453  018.60293983 -33.97099789  018.60274691
111 -33.97103453  018.60293983
112 -33.97103453  018.60293983 -33.97100513  018.60278503 102
112 -33.97082801  018.60189164 -33.97077866  018.60164291
111 -33.97082801  018.60189164
112 -33.97082801  018.60189164 -33.97081586  018.60183039 102
111 -33.97080846  018.60179314
111 -33.97083529  018.60178527 102
111 -33.97057358  018.60061361 102
111 -33.97052613  018.60045783 102
111 -33.97048654  018.60032786
111 -33.97017595  018.60043678
111 -33.97019967  018.60053181
111 -33.96988842  018.60065257
111 -33.96985824  018.60055391 20
112 -33.96974513  018.60061785 -33.96970201  018.60065420 20
112 -33.96949314  018.60066912 -33.96935900  018.60062784 20
112 -33.96565286  018.59944577 -33.96556540  018.59940901 20
112 -33.96547968  018.59907931 -33.96551396  018.59889447 20
111 -33.96562235  018.59842588
111 -33.96557880  018.59832214
111 -33.96558959  018.59818683
111 -33.96552387  018.59817686
111 -33.96553008  018.59812825
112 -33.96251363  018.59748362 -33.96243240  018.59746568
112 -33.96230208  018.59756310 -33.96224557  018.59763562
111 -33.96212415  018.59779351
112 -33.96217852  018.59799519 -33.96226547  018.59810435
112 -33.96237579  018.59825100 -33.96238831  018.59826931
111 -33.96247710  018.59843253
111 -33.96321686  018.59956845
111 -33.96452952  018.60090159
111 -33.96456181  018.60084850
112 -33.96488189  018.60119707 -33.96491170  018.60122698
112 -33.96501117  018.60128243 -33.96507228  018.60130307
111 -33.96501117  018.60128243
112 -33.96501117  018.60128243 -33.96504030  018.60129226
112 -33.96775747  018.60212657 -33.96915030  018.60257172
111 -33.96775747  018.60212657
114 -33.96775747  018.60212657 -33.96928744  018.60261555
111 -33.96228723  018.59862603
111 -33.96175370  018.59822147
112 -33.96068374  018.59951590 -33.96060456  018.59961186
112 -33.96062934  018.59978542 -33.96066143  018.59988449
111 -33.96075322  018.59994917
111 -33.96078729  018.59994034
112 -33.96392148  018.60093380 -33.96399103  018.60095997
113 -33.96392086  018.60081417
111 -33.96116412  018.60899520 102
112 -33.96454135  018.61006092 -33.96637481  018.61064161
111 -33.96454135  018.61006092
112 -33.96454135  018.61006092 -33.96456643  018.61006886 102
112 -33.96523321  018.61027329 -33.96561685  018.61039096
111 -33.96523321  018.61027329
112 -33.96523321  018.61027329 -33.96599645  018.61050740 102
112 -33.97042460  018.61193920 -33.97046549  018.61195081
111 -33.97042460  018.61193920
112 -33.97042460  018.61193920 -33.97053459  018.61197043 102
112 -33.97081491  018.61183187 -33.97094410  018.61167799
111 -33.97081491  018.61183187
112 -33.97081491  018.61183187 -33.97088237  018.61175151 102
112 -33.97135869  018.61117009 -33.97158810  018.61088992
111 -33.97135869  018.61117009
112 -33.97135869  018.61117009 -33.97156860  018.61091373 102
112 -33.97179636  018.61062210 -33.97182603  018.61058637
111 -33.97179636  018.61062210
112 -33.97179636  018.61062210 -33.97185207  018.61055502 102
112 -33.97186556  018.61028717 -33.97181847  018.61015503
111 -33.97186556  018.61028717
112 -33.97186556  018.61028717 -33.97185944  018.61026805
112 -33.97184322  018.61022879 -33.97183440  018.61020902
111 -33.97184322  018.61022879
112 -33.97184322  018.61022879 -33.97175752  018.61003661
111 -33.96582365  018.60269426
111 -33.96505957  018.60218142
112 -33.96484850  018.60206348 -33.96475846  018.60203881
111 -33.96004365  018.60053534
111 -33.96004141  018.60054886 102
112 -33.95993029  018.60069070 -33.95990079  018.60078042
111 -33.95993029  018.60069070
112 -33.95993029  018.60069070 -33.95991214  018.60074588 102
112 -33.95990552  018.60091998 -33.95991982  018.60100996
111 -33.95990552  018.60091998
112 -33.95990552  018.60091998 -33.95991447  018.60097630 102
112 -33.95998314  018.60109018 -33.96002904  018.60114544
111 -33.95998314  018.60109018
112 -33.95998314  018.60109018 -33.96006250  018.60118573 102
112 -33.96133887  018.60268395 -33.96186095  018.60329749
111 -33.96133887  018.60268395
112 -33.96133887  018.60268395 -33.96160111  018.60299213 102
112 -33.96181293  018.60327222 -33.96184304  018.60330922
111 -33.96181293  018.60327222
112 -33.96181293  018.60327222 -33.96187878  018.60334982 102
112 -33.96198496  018.60387332 -33.96194469  018.60411192
111 -33.96198496  018.60387332
112 -33.96198496  018.60387332 -33.96194366  018.60412618 102
111 -33.96194366  018.60412618
111 -33.96272596  018.60466264
111 -33.96277126  018.60445870
111 -33.96318444  018.60458962
111 -33.96307792  018.60507335
111 -33.96266636  018.60494631
111 -33.96269957  018.60478379
111 -33.96192271  018.60422169 102
112 -33.96123550  018.60737899 -33.96095516  018.60867902
111 -33.96123550  018.60737899
112 -33.96123550  018.60737899 -33.96110227  018.60799682 102
112 -33.96097796  018.60858296 -33.96095852  018.60868036
111 -33.96097796  018.60858296
114 -33.96097796  018.60858296 -33.96091760  018.60888532 102
111 -33.96089375  018.61215967
111 -33.96193519  018.61249793
111 -33.96211330  018.61170605
111 -33.96171899  018.61157505
111 -33.96170372  018.61163310
111 -33.96145615  018.61154699
111 -33.96146938  018.61149230
113 -33.96108276  018.61135616
111 -33.97188738  018.60962149
112 -33.97190732  018.60963277 -33.97191990  018.60963899
111 -33.97190732  018.60963277
112 -33.97190732  018.60963277 -33.97195026  018.60965399 102
112 -33.97213545  018.60958259 -33.97222321  018.60948163
111 -33.97213545  018.60958259
112 -33.97213545  018.60958259 -33.97224053  018.60944530 102
112 -33.97245484  018.60907564 -33.97249520  018.60901021 102
112 -33.97249580  018.60874666 -33.97245354  018.60860282 102
112 -33.97235374  018.60820987 -33.97232269  018.60807601
111 -33.97235374  018.60820987
112 -33.97235374  018.60820987 -33.97234354  018.60816589 102
112 -33.97210135  018.60711901 -33.97196449  018.60652743
111 -33.97210135  018.60711901
112 -33.97210135  018.60711901 -33.97199546  018.60666127 102
112 -33.97175471  018.60562840 -33.97163954  018.60513487
111 -33.97175471  018.60562840
112 -33.97175471  018.60562840 -33.97156570  018.60481843 102
111 -33.97140470  018.60413185
111 -33.96585079  018.60237615
111 -33.96584520  018.60248233
113 -33.97169807  018.60955682
112 -33.97168840  018.60423335 -33.97165683  018.60422397 102
112 -33.97164907  018.60428694 -33.97166200  018.60434926
111 -33.97164907  018.60428694
112 -33.97164907  018.60428694 -33.97165403  018.60431087 102
112 -33.97195066  018.60556166 -33.97211404  018.60625036
111 -33.97195066  018.60556166
112 -33.97195066  018.60556166 -33.97206974  018.60606363 102
112 -33.97231788  018.60711004 -33.97243093  018.60758720
111 -33.97231788  018.60711004
112 -33.97231788  018.60711004 -33.97245364  018.60768304 102
112 -33.97264674  018.60840449 -33.97268821  018.60853056
111 -33.97264674  018.60840449
112 -33.97264674  018.60840449 -33.97271751  018.60861960 102
112 -33.97280649  018.60889182 -33.97282857  018.60893991
111 -33.97280649  018.60889182
112 -33.97280649  018.60889182 -33.97284151  018.60896809 102
112 -33.97305948  018.60904722 -33.97319660  018.60904183
111 -33.97305948  018.60904722
112 -33.97305948  018.60904722 -33.97309052  018.60904600 102
112 -33.97353670  018.60904231 -33.97385799  018.60902371
111 -33.97353670  018.60904231
112 -33.97353670  018.60904231 -33.97460297  018.60894040 102
112 -33.97700651  018.60872752 -33.97708050  018.60871827
111 -33.97700651  018.60872752
112 -33.97700651  018.60872752 -33.97710214  018.60871556 102
112 -33.97744589  018.60828389 -33.97750598  018.60802414
111 -33.97744589  018.60828389
112 -33.97744589  018.60828389 -33.97747377  018.60816335 102
112 -33.97764590  018.60736601 -33.97773194  018.60696571
111 -33.97764590  018.60736601
112 -33.97764590  018.60736601 -33.97774527  018.60690370 102
112 -33.97785397  018.60638693 -33.97786340  018.60633683
111 -33.97785397  018.60638693
112 -33.97785397  018.60638693 -33.97787157  018.60629345 102
114 -33.97776325  018.60614181 -33.97767817  018.60611488
112 -33.98741508  018.60936254 -33.98742652  018.60930252
111 -33.98741508  018.60936254
112 -33.98741508  018.60936254 -33.98743990  018.60923053 102
111 -33.98736070  018.60917225
111 -33.97810906  018.60624887 102
111 -33.97784853  018.60743270 102
111 -33.97781816  018.60757071 102
112 -33.97775545  018.60824524 -33.97775049  018.60832978 102
112 -33.97795379  018.60852853 -33.97810781  018.60854498 102
111 -33.97851435  018.60856312 102
112 -33.97910209  018.60852143 -33.97924815  018.60850348 102
112 -33.97953738  018.60857017 -33.97971016  018.60862445
111 -33.97953738  018.60857017
112 -33.97953738  018.60857017 -33.97959034  018.60858681 102
112 -33.98496951  018.61029302 -33.98523382  018.61037430
111 -33.98496951  018.61029302
112 -33.98496951  018.61029302 -33.98558695  018.61048289 102
112 -33.98656322  018.61082241 -33.98661100  018.61083689
111 -33.98656322  018.61082241
112 -33.98656322  018.61082241 -33.98678980  018.61089112 102
112 -33.98719390  018.61036679 -33.98727599  018.61000514
111 -33.98719390  018.61036679
112 -33.98719390  018.61036679 -33.98721190  018.61028749 102
112 -33.98725041  018.61011123 -33.98726966  018.61002234
111 -33.98725041  018.61011123
114 -33.98725041  018.61011123 -33.98731896  018.60979474 102
112 -33.96606739  018.59681399 -33.96604048  018.59691618
111 -33.96587378  018.59770610
112 -33.96595399  018.59773352 -33.96600005  018.59774785
112 -33.96601868  018.59769987 -33.96602023  018.59767557
111 -33.96602023  018.59760890
111 -33.96599539  018.59760578
111 -33.96612683  018.59679663
111 -33.96617393  018.59680286
113 -33.96618893  018.59673619
112 -33.96579410  018.59758504 -33.96580488  018.59753009
112 -33.96571898  018.59748855 -33.96567550  018.59747730
111 -33.96393269  018.59711588
112 -33.96393493  018.59721024 -33.96394217  018.59727695
111 -33.96396892  018.59730968
113 -33.96576620  018.59769308
111 -33.96590322  018.59783837
111 -33.96807042  018.59831374
111 -33.96811523  018.59813667
111 -33.96912227  018.59847679
111 -33.96903246  018.59890173
111 -33.97063379  018.59939018
111 -33.97072735  018.59896547
111 -33.97317120  018.59973690
112 -33.97331626  018.59926753 -33.97334731  018.59912096
112 -33.97316253  018.59898955 -33.97306565  018.59895815
111 -33.96969603  018.59790995
111 -33.96969989  018.59789179
111 -33.96634795  018.59682541
112 -33.96619500  018.59750639 -33.96613369  018.59777446
113 -33.96590800  018.59782037
111 -33.96988526  018.59981762
111 -33.97035731  018.59990828
111 -33.97036909  018.59984852
111 -33.97032776  018.59983662
111 -33.97034829  018.59975779
111 -33.97030430  018.59974533
111 -33.97031594  018.59970326
111 -33.97027195  018.59969028
111 -33.97028318  018.59965267
111 -33.97023825  018.59963969
111 -33.97024964  018.59960255
111 -33.97016888  018.59958037
111 -33.97017880  018.59954039
111 -33.96897121  018.59917833
111 -33.96888328  018.59957853
111 -33.96568459  018.59855032
112 -33.96556468  018.59909502 -33.96553881  018.59921902
112 -33.96569850  018.59935187 -33.96579269  018.59938364
112 -33.96953549  018.60057128 -33.96961182  018.60059413
114 -33.96975742  018.60041300 -33.96979095  018.60026868
111 -33.97136124  018.60014071
111 -33.97119778  018.60088531
111 -33.97477199  018.60201943
113 -33.97492532  018.60128066
111 -33.97428871  018.59748772
112 -33.97407619  018.59749371 -33.97405747  018.59749371
112 -33.97402887  018.59754693 -33.97402783  018.59758450
111 -33.97403687  018.59816119
111 -33.97431794  018.59815941
114 -33.97431412  018.59764533 -33.97430888  018.59752992
112 -33.97515191  018.59982783 -33.97499233  018.59974734
112 -33.97419951  018.59949464 -33.97414309  018.59947380
112 -33.97410669  018.59952944 -33.97409405  018.59955770
111 -33.97406402  018.59967423
111 -33.97402658  018.59975625
111 -33.97396570  018.60001336
111 -33.97500857  018.60035494
111 -33.97579324  018.60080590
113 -33.97597582  018.60029014
111 -33.96254370  018.59653632
111 -33.96242094  018.59651274
111 -33.96239612  018.59669252
112 -33.96246273  018.59669723 -33.96249581  018.59669409
114 -33.96253236  018.59663230 -33.96253780  018.59658535
112 -33.96236665  018.59688874 -33.96236456  018.59693152 102
111 -33.96237658  018.59698812
111 -33.96363147  018.59724124
112 -33.96367118  018.59718329 -33.96368636  018.59715278
111 -33.96367118  018.59718329
112 -33.96367118  018.59718329 -33.96369495  018.59713552
111 -33.96371401  018.59707204
112 -33.96253476  018.59683143 -33.96248586  018.59682087
112 -33.96243410  018.59677061 -33.96241538  018.59676694
113 -33.96238186  018.59678057 102
130 Airport Boundary 2
111 -33.96101971  018.59193661
111 -33.97101923  018.59439309
111 -33.97475651  018.59283272
111 -33.97813204  018.59400588
111 -33.98123834  018.59435971
111 -33.98296310  018.59656109
111 -33.98296310  018.59919597
111 -33.98585043  018.60188792
111 -33.98936813  018.60452279
111 -33.99098863  018.60959091
111 -33.99092824  018.61126893
111 -33.98889911  018.61496817
111 -33.98256725  018.61468585
111 -33.97646991  018.61365073
111 -33.97052890  018.61525047
111 -33.96576047  018.61609739
111 -33.96193009  018.61741483
111 -33.95849056  018.61308612
111 -33.95849056  018.60640484
111 -33.95645811  018.59859433
113 -33.95989765  018.59605356
120 Linear Feature 49
111 -33.97504558  018.59985756 1
111 -33.97489508  018.60037232 1
115 -33.97481174  018.60065736
120 Linear Feature 33
111 -33.97565182  018.59936590 1
111 -33.97567857  018.59937744 1
111 -33.97567371  018.59939306 1
111 -33.97567857  018.59937744 1
111 -33.97569770  018.59938569 1
113 -33.97567857  018.59937744 1
120 Linear Feature 33
111 -33.97568731  018.59924788 1
111 -33.97571407  018.59925942 1
111 -33.97570920  018.59927503 1
111 -33.97571407  018.59925942 1
111 -33.97573319  018.59926767 1
113 -33.97571407  018.59925942 1
120 Linear Feature 36
111 -33.95990552  018.60091998 4 103
111 -33.95980145  018.60094048 4 103
115 -33.95964365  018.60097158
120 Linear Feature 35
111 -33.96133887  018.60268395 6 103
111 -33.96126214  018.60277505 6 103
115 -33.96118833  018.60286268
120 Linear Feature 34
111 -33.96102587  018.60731317 2 103
115 -33.96123550  018.60737899
120 Linear Feature 33
111 -33.96523321  018.61027329 2 103
115 -33.96517933  018.61051575
120 Linear Feature 32
111 -33.97150840  018.61134647 4 103
111 -33.97143362  018.61125837 4 103
115 -33.97135869  018.61117009
120 Linear Feature 31
111 -33.97245484  018.60907474 4 103
111 -33.97256500  018.60913680 4 103
111 -33.97286851  018.60930779 4 103
111 -33.97294252  018.60938893 4 103
115 -33.97301531  018.60946873
120 Linear Feature 30
111 -33.97195066  018.60556166 4 103
111 -33.97185237  018.60559513 4 103
115 -33.97175471  018.60562840
120 Linear Feature 29
111 -33.97784853  018.60743270 4 103
111 -33.97774346  018.60739812 4 103
115 -33.97764590  018.60736601
120 Linear Feature 28
111 -33.98492288  018.61053153 6 103
111 -33.98494662  018.61041008 6 103
115 -33.98496951  018.61029302
120 Linear Feature 27
111 -33.98745300  018.61017337 4 103
111 -33.98734758  018.61014103 4 103
115 -33.98725041  018.61011123
120 Linear Feature 26
111 -33.98771402  018.60785817 4 103
111 -33.98786019  018.60790658 4 103
115 -33.98795853  018.60793915
120 Linear Feature 25
111 -33.98428013  018.60483454 2 103
115 -33.98420817  018.60506393
120 Linear Feature 24
111 -33.98350866  018.60407314 2
115 -33.98362829  018.60412448
120 Linear Feature 23
111 -33.98264369  018.60411854 2 103
115 -33.98257916  018.60435635
120 Linear Feature 22
111 -33.98223696  018.60349961 2
115 -33.98236835  018.60355885
120 Linear Feature 21
111 -33.98173947  018.60372206 2 103
115 -33.98167161  018.60396640
120 Linear Feature 20
111 -33.97802558  018.60169694 2
115 -33.97843667  018.60187467
120 Linear Feature 19
111 -33.97752193  018.60399676 4 103
111 -33.97755597  018.60398506 4 103
111 -33.97765081  018.60395340 4 103
115 -33.97774995  018.60392031
120 Linear Feature 18
111 -33.97719930  018.60284008 2 103
115 -33.97755788  018.60273373
120 Linear Feature 17
111 -33.97781732  018.60205055 2 103
115 -33.97774649  018.60229230
120 Linear Feature 16
111 -33.97703412  018.60161976 2 103
115 -33.97691587  018.60204285
120 Linear Feature 15
111 -33.97082801  018.60189164 4 103
111 -33.97094577  018.60184892 4 103
115 -33.97104847  018.60181165
120 Linear Feature 14
111 -33.97052613  018.60045783 2 103
115 -33.97074159  018.60038514
120 Linear Feature 13
111 -33.97612384  018.60120469 2 103
115 -33.97598779  018.60162874
120 Linear Feature 12
111 -33.97744678  018.60145336 2
115 -33.97760690  018.60152389
120 Linear Feature 12
111 -33.97757664  018.60103887 2
115 -33.97773124  018.60110500
120 Linear Feature 12
111 -33.97767573  018.60070558 2
115 -33.97782920  018.60076570
120 Linear Feature 11
111 -33.97354686  018.59979308 2
115 -33.97373041  018.59987098
120 Linear Feature 10
111 -33.96203135  018.59681865 4
115 -33.96238612  018.59672518
120 Linear Feature 9
111 -33.96422064  018.59736682 2 103
115 -33.96415954  018.59782494
120 Linear Feature 8
111 -33.96337558  018.59719437 2 103
115 -33.96331248  018.59764742
120 Linear Feature 7
111 -33.96373072  018.59697311 2
