I
1050 Generated by WorldEditor

1   2882 0 0 KSGU St George Rgnl
111  37.04562505 -113.50651808
111  37.04566878 -113.50649618
111  37.04568243 -113.50653890
111  37.04566786 -113.50654716
111  37.04567148 -113.50655396
111  37.04565670 -113.50656227
111  37.04565429 -113.50655434
113  37.04563922 -113.50656189
110 1 0.00 0.0000 New Taxiway 15
111  37.04357260 -113.50934066
111  37.04390551 -113.50916780
111  37.04396070 -113.50933620
113  37.04363135 -113.50951017
110 1 0.00 0.0000 New Taxiway 15
111  37.04392153 -113.50915554
111  37.04425088 -113.50898379
111  37.04430874 -113.50915554
113  37.04397583 -113.50932839
110 2 0.00 0.0000 New Taxiway 12
111  37.04363367 -113.50959024
111  37.04353747 -113.50930805
111  37.04428544 -113.50891571
113  37.04438128 -113.50919231
111  37.04396070 -113.50933620
111  37.04390551 -113.50916780
111  37.04357260 -113.50934066
113  37.04363135 -113.50951017
111  37.04430874 -113.50915554
111  37.04425088 -113.50898379
111  37.04392153 -113.50915554
113  37.04397583 -113.50932839
110 1 0.00 0.0000 New Taxiway 11
111  37.04467358 -113.50864397
111  37.04470805 -113.50874318
111  37.04468842 -113.50875311
113  37.04465365 -113.50865436
110 2 0.00 0.0000 New Taxiway 10
111  37.04443503 -113.50815098
111  37.04442080 -113.50810139
111  37.04456879 -113.50802383
111  37.04458440 -113.50807133
111  37.04473078 -113.50849863
111  37.04474691 -113.50854363
111  37.04469692 -113.50857128
111  37.04467358 -113.50864397
111  37.04465365 -113.50865436
111  37.04460024 -113.50863163
113  37.04458190 -113.50857740
110 1 0.00 0.0000 New Taxiway 9
111  37.04427422 -113.50961499
111  37.04438155 -113.50955753
111  37.04442366 -113.50968183
113  37.04431603 -113.50973928
110 1 0.00 0.0000 New Taxiway 8
111  37.04445798 -113.50969824
111  37.04440370 -113.50954385
111  37.04453161 -113.50947583
113  37.04458528 -113.50963219
110 2 0.00 0.0000 New Taxiway 5
111  37.04431619 -113.50980928
111  37.04424271 -113.50958579
111  37.04452244 -113.50943734
113  37.04459817 -113.50966046
111  37.04458528 -113.50963219
111  37.04453161 -113.50947583
111  37.04440370 -113.50954385
113  37.04445798 -113.50969824
111  37.04442366 -113.50968183
111  37.04438155 -113.50955753
111  37.04427422 -113.50961499
113  37.04431603 -113.50973928
110 1 0.00 0.0000 New Taxiway 4
111  37.04335885 -113.51028361
111  37.04330336 -113.51012375
111  37.04349324 -113.51001970
111  37.04349549 -113.51001851
111  37.04354986 -113.51018154
113  37.04354520 -113.51018399
110 2 0.00 0.0000 New Taxiway 3
111  37.04332323 -113.51021736
111  37.04328342 -113.51009328
111  37.04348098 -113.50998691
111  37.04349324 -113.51001970
111  37.04330336 -113.51012375
111  37.04335885 -113.51028361
111  37.04354520 -113.51018399
111  37.04355671 -113.51021511
113  37.04336139 -113.51032417
110 1 0.00 0.0000 New Taxiway 2
111  37.04940193 -113.50538354
111  37.04933142 -113.50543632
111  37.04927069 -113.50530731
111  37.04925727 -113.50529989
111  37.04923408 -113.50531357
112  37.04919633 -113.50523187  37.04919664 -113.50523266
111  37.04922202 -113.50521676
111  37.04922233 -113.50519995
111  37.04916107 -113.50506730
113  37.04923283 -113.50501297
110 2 0.00 0.0000 New Taxiway 20
111  37.04952773 -113.50599636
111  37.04954245 -113.50598927
111  37.04953981 -113.50598123
111  37.04955189 -113.50597602
111  37.04955491 -113.50598454
111  37.04957038 -113.50597555
111  37.04958246 -113.50601765
113  37.04954056 -113.50603798
110 1 0.00 0.0000 New Taxiway 1
111  37.04980348 -113.50616518
111  37.04976739 -113.50617548
111  37.04976785 -113.50597860
112  37.04975186 -113.50589848  37.04973588 -113.50587272
111  37.04970755 -113.50588016
111  37.04964863 -113.50591279
111  37.04968197 -113.50600550
111  37.04951342 -113.50609364
111  37.04945313 -113.50591279
111  37.04953443 -113.50587215
111  37.04954722 -113.50590363
111  37.04956138 -113.50590878
111  37.04968974 -113.50584010
112  37.04976876 -113.50585441  37.04980165 -113.50589275
113  37.04980257 -113.50598032
111  37.04958246 -113.50601765
111  37.04957038 -113.50597555
111  37.04955491 -113.50598454
111  37.04955189 -113.50597602
111  37.04953981 -113.50598123
111  37.04954245 -113.50598927
111  37.04952773 -113.50599636
113  37.04954056 -113.50603798
110 1 0.00 0.0000 New Taxiway 12
112  37.03786255 -113.50780942  37.03786083 -113.50769306
112  37.03805262 -113.50767259  37.03814034 -113.50774047
114  37.03804058 -113.50794518  37.03795629 -113.50799151
110 2 0.00 0.0000 New Taxiway 26
111  37.04293384 -113.51033165
111  37.04303988 -113.51027533
111  37.04304949 -113.51030973
113  37.04294619 -113.51036777
110 2 0.00 0.0000 New Taxiway 40
111  37.02173640 -113.51391473
111  37.02176323 -113.51390379
111  37.02176978 -113.51393232
113  37.02174327 -113.51394170
110 2 0.00 0.0000 New Taxiway 52
111  37.03513562 -113.50471952
111  37.03514617 -113.50470630
111  37.03547880 -113.50516201
113  37.03546926 -113.50517649
110 2 0.00 0.0000 New Taxiway 54
111  37.03566839 -113.50292381
111  37.03571407 -113.50289832
111  37.03572362 -113.50292381
113  37.03567794 -113.50295034
110 1 0.00 0.0000 New Taxiway 1
111  37.02468022 -113.51687452
111  37.02372076 -113.51405871
111  37.02435106 -113.51372844
112  37.02452840 -113.51368655  37.02463114 -113.51369221
111  37.02471412 -113.51375782
111  37.02490409 -113.51388004
112  37.02494221 -113.51389299  37.02496030 -113.51389703
111  37.02500562 -113.51387832
111  37.02539655 -113.51374300
111  37.03003495 -113.51128769
111  37.03012095 -113.51124264
111  37.03045380 -113.51099649
112  37.03051895 -113.51092786  37.03053834 -113.51089475
111  37.03052536 -113.51083796
111  37.03050026 -113.51075100
111  37.03048691 -113.51073963
111  37.02664228 -113.51277307
112  37.02627534 -113.51293934  37.02607727 -113.51299469
111  37.02581602 -113.51292770
112  37.02551990 -113.51289640  37.02535850 -113.51289640
111  37.02518708 -113.51299520
111  37.02193542 -113.51471820
112  37.02190726 -113.51467442  37.02189802 -113.51465038
111  37.02189949 -113.51459902
111  37.02167700 -113.51394255
111  37.02217297 -113.51368851
111  37.02217606 -113.51369183
111  37.02219415 -113.51368243
111  37.02217429 -113.51363323
111  37.02223970 -113.51362456
112  37.02240591 -113.51378066  37.02250903 -113.51381977
111  37.02260251 -113.51377519
112  37.02277703 -113.51358161  37.02284703 -113.51342875
111  37.02278156 -113.51323433
111  37.02259777 -113.51270014
112  37.02247928 -113.51256924  37.02240076 -113.51251711
111  37.02232247 -113.51252240
112  37.02207839 -113.51268474  37.02198189 -113.51283759
111  37.02203221 -113.51303612
111  37.02221234 -113.51356642
111  37.02223176 -113.51360618
111  37.02216844 -113.51361832
111  37.02199959 -113.51312797
111  37.02197458 -113.51303753
112  37.02198310 -113.51274285  37.02203324 -113.51258763
111  37.02216222 -113.51250338
111  37.02233565 -113.51240011
112  37.02245317 -113.51231347  37.02249656 -113.51226123
111  37.02248918 -113.51212947
111  37.02253965 -113.51211256
112  37.02259437 -113.51241453  37.02261939 -113.51258199
111  37.02264555 -113.51266273
111  37.02283106 -113.51320223
112  37.02284552 -113.51356397  37.02278651 -113.51375592
111  37.02265337 -113.51382541
111  37.02201649 -113.51416478
112  37.02191543 -113.51425914  37.02188984 -113.51432324
111  37.02190212 -113.51439915
111  37.02193378 -113.51450226
112  37.02198483 -113.51454920  37.02202392 -113.51456255
111  37.02205436 -113.51455940
111  37.02507719 -113.51296290
112  37.02539128 -113.51283374  37.02555154 -113.51278929
111  37.02570253 -113.51282663
111  37.02588133 -113.51285625
112  37.02613960 -113.51287640  37.02632549 -113.51287449
111  37.02645849 -113.51278187
111  37.03046730 -113.51065494
111  37.03011418 -113.50961309
111  37.03024698 -113.50953720
111  37.03023254 -113.50950202
111  37.03027467 -113.50947890
111  37.03024859 -113.50940251
111  37.03026945 -113.50938744
111  37.03026337 -113.50937007
111  37.03031479 -113.50934321
111  37.03029513 -113.50928491
111  37.03028028 -113.50929345
111  37.03025661 -113.50922912
111  37.03039303 -113.50915474
111  37.03050395 -113.50948095
111  37.03018860 -113.50965002
111  37.03052220 -113.51062801
111  37.03053540 -113.51066561
111  37.03054996 -113.51070711
111  37.03056450 -113.51075415
111  37.03157149 -113.51021774
111  37.03155425 -113.51016998
111  37.03154078 -113.51013097
111  37.03152772 -113.51009313
111  37.03121731 -113.50918860
111  37.03134570 -113.50912326
111  37.03124860 -113.50883629
111  37.03115151 -113.50888705
111  37.03113565 -113.50884422
111  37.03127150 -113.50877050
111  37.03138656 -113.50914474
111  37.03126188 -113.50921078
111  37.03155664 -113.51007747
111  37.03291785 -113.50935448
112  37.03297270 -113.50931617  37.03299708 -113.50929186
111  37.03300717 -113.50924745
112  37.03306349 -113.50921825  37.03308616 -113.50920258
111  37.03308533 -113.50917265
111  37.03284790 -113.50847131 22
112  37.03278488 -113.50838836  37.03273706 -113.50836570 22
111  37.03270104 -113.50839037
111  37.03215406 -113.50868479
111  37.03212949 -113.50861723
111  37.03215406 -113.50860452 20
112  37.03219498 -113.50854170  37.03221489 -113.50848818 20
111  37.03218983 -113.50844598
111  37.03220319 -113.50844129
111  37.03226994 -113.50840651 20
112  37.03231960 -113.50847273  37.03235543 -113.50848892 20
111  37.03238262 -113.50848143 20
111  37.03267708 -113.50832473 20
112  37.03271058 -113.50829371  37.03272350 -113.50826869 20
111  37.03270961 -113.50822986 20
111  37.03292137 -113.50811862
112  37.03295341 -113.50808031  37.03296749 -113.50804747
111  37.03295972 -113.50801220
111  37.03285874 -113.50772272
112  37.03283107 -113.50768198  37.03280620 -113.50766589
111  37.03278058 -113.50768015
111  37.03246401 -113.50784818
111  37.03240206 -113.50767225
111  37.03276713 -113.50747750
112  37.03281960 -113.50746782  37.03285367 -113.50747665
111  37.03286263 -113.50750741
111  37.03293326 -113.50772797
112  37.03295580 -113.50775186  37.03296931 -113.50775554
111  37.03298465 -113.50774525
111  37.03304102 -113.50771177
111  37.03307858 -113.50781631
111  37.03300047 -113.50785667
111  37.03298237 -113.50788432
111  37.03306082 -113.50810976
112  37.03306532 -113.50817030  37.03305901 -113.50820010
111  37.03304317 -113.50821038
111  37.03293201 -113.50827365
112  37.03289841 -113.50833598  37.03288614 -113.50838535
111  37.03290003 -113.50841514
111  37.03313617 -113.50910432
112  37.03319168 -113.50917288  37.03322858 -113.50919066
111  37.03328159 -113.50916309
111  37.03629778 -113.50756853
111  37.03631113 -113.50755983
111  37.03603836 -113.50675803
111  37.03586991 -113.50685241
111  37.03543244 -113.50558409
111  37.03514360 -113.50573465
111  37.03513649 -113.50571846
111  37.03539290 -113.50558102
111  37.03527910 -113.50523239
111  37.03518427 -113.50528311
111  37.03518463 -113.50526666
111  37.03507557 -113.50494773
111  37.03506974 -113.50495047
111  37.03505916 -113.50492077
111  37.03505989 -113.50489427
111  37.03505478 -113.50488056
111  37.03506864 -113.50486183
111  37.03500445 -113.50467267
111  37.03498439 -113.50467449
111  37.03497089 -113.50463885
111  37.03496360 -113.50461921
111  37.03499715 -113.50460090
111  37.03486898 -113.50422828
111  37.03457095 -113.50438803
111  37.03453988 -113.50429924
111  37.03455056 -113.50429376
111  37.03467727 -113.50422991
111  37.03461901 -113.50405415
111  37.03448988 -113.50411983
111  37.03452483 -113.50422322
111  37.03451221 -113.50422869
111  37.03438894 -113.50385856
111  37.03439962 -113.50385321
111  37.03465061 -113.50371942
111  37.03456197 -113.50345250
111  37.03493447 -113.50325885
111  37.03540160 -113.50462632
111  37.03595729 -113.50433231
111  37.03548675 -113.50296820
111  37.03571024 -113.50284950
111  37.03617320 -113.50422171
111  37.03667838 -113.50395880
111  37.03620951 -113.50258162
111  37.03643006 -113.50246856
111  37.03651176 -113.50271809
111  37.03660094 -113.50298970
111  37.03689306 -113.50384404
111  37.03713177 -113.50372229
111  37.03717075 -113.50382598
111  37.03722720 -113.50399015
111  37.03594337 -113.50465972
111  37.03631875 -113.50577107
111  37.03802770 -113.50486604
111  37.03802704 -113.50483946
111  37.03803599 -113.50482990
111  37.03804528 -113.50483073
111  37.03805877 -113.50486817
111  37.03812475 -113.50483328
111  37.03811042 -113.50478646
111  37.03811178 -113.50476916
111  37.03825514 -113.50469312
111  37.03826873 -113.50473156
111  37.03866220 -113.50452644
111  37.03853236 -113.50414353
111  37.03850318 -113.50416043
111  37.03849734 -113.50414581
111  37.03848935 -113.50411466
111  37.03850941 -113.50410410
111  37.03844361 -113.50391561
111  37.03842114 -113.50391913
111  37.03838583 -113.50382212
111  37.03837620 -113.50382514
111  37.03838102 -113.50379498
111  37.03837580 -113.50378191
111  37.03840389 -113.50376482
111  37.03832324 -113.50352909
111  37.03829275 -113.50354467
111  37.03826226 -113.50346023
111  37.03801390 -113.50359845
111  37.03801029 -113.50361052
111  37.03798582 -113.50362459
111  37.03795372 -113.50363665
111  37.03794851 -113.50362007
111  37.03773827 -113.50372160
111  37.03774228 -113.50373265
111  37.03772944 -113.50373969
111  37.03772323 -113.50372184
111  37.03753487 -113.50382036
111  37.03753730 -113.50382644
111  37.03746108 -113.50386658
111  37.03741642 -113.50373522
111  37.03740865 -113.50370907
111  37.03737418 -113.50359412
111  37.03741593 -113.50358013
111  37.03745477 -113.50354972
111  37.03756384 -113.50349243
111  37.03747336 -113.50323589
111  37.03729462 -113.50270843
111  37.03716739 -113.50232791
111  37.03710379 -113.50213451
111  37.03731934 -113.50201652
111  37.03777876 -113.50337995
111  37.03798004 -113.50326805
111  37.03818041 -113.50316135
111  37.03809224 -113.50290106
111  37.03772070 -113.50180745
111  37.03793845 -113.50168846
111  37.03817201 -113.50237660
111  37.03824368 -113.50259443
111  37.03839939 -113.50304603
111  37.03860018 -113.50293966
111  37.03880204 -113.50283262
111  37.03855189 -113.50210164
111  37.03844263 -113.50178741
111  37.03833983 -113.50148013
111  37.03841687 -113.50143540
111  37.03842569 -113.50143138
111  37.03843131 -113.50142786
111  37.03843974 -113.50142384
111  37.03855606 -113.50136188
111  37.03884550 -113.50221085
111  37.03893308 -113.50246975
111  37.03901754 -113.50272325
111  37.03942047 -113.50250868
111  37.03895935 -113.50114873
111  37.03917376 -113.50103613
111  37.03917796 -113.50104304
111  37.03963713 -113.50239474
111  37.04003917 -113.50217772
111  37.03957966 -113.50082258
111  37.03991617 -113.50064277
111  37.04051792 -113.50242179
111  37.03988802 -113.50275431 20
111  37.04020053 -113.50366298
111  37.04023813 -113.50364385
111  37.04050776 -113.50444232 20
111  37.04076781 -113.50520281
111  37.04587952 -113.50249772
112  37.04629894 -113.50196792  37.04646949 -113.50154857
111  37.04677359 -113.50139141
112  37.04715245 -113.50119876  37.04723716 -113.50115000
111  37.04749357 -113.50100371
111  37.04832578 -113.50056197
111  37.04947911 -113.49996647
111  37.05028567 -113.49953069
111  37.05074444 -113.49929374
111  37.05123354 -113.49899645
112  37.05325293 -113.49776116  37.05359405 -113.49754601
111  37.05367518 -113.49753935
112  37.05431278 -113.49761824  37.05467707 -113.49781262
111  37.05481118 -113.49826431
112  37.05608096 -113.50199299  37.05619828 -113.50233473
111  37.05618337 -113.50253285
112  37.05597720 -113.50331378  37.05574409 -113.50368606
111  37.05548463 -113.50374182
111  37.05265442 -113.50479875
111  37.05242503 -113.50489024
111  37.04976618 -113.50630310
111  37.04555967 -113.50853258
112  37.04522072 -113.50882896  37.04504366 -113.50904267
111  37.04488860 -113.50913388
111  37.04468314 -113.50924552
111  37.04463623 -113.50926825 53
111  37.04459810 -113.50939460
111  37.04459366 -113.50942357
111  37.04462521 -113.50951520
112  37.04464334 -113.50955695  37.04465702 -113.50957907
111  37.04467159 -113.50959024
112  37.04469626 -113.50972179  37.04466982 -113.50979980
111  37.04459771 -113.50978869
112  37.04455353 -113.50979356  37.04453058 -113.50980019
111  37.04451227 -113.50981120
111  37.04338959 -113.51041396
111  37.04336139 -113.51032417
111  37.04355671 -113.51021511 20
111  37.04431619 -113.50980928
111  37.04459817 -113.50966046
111  37.04452244 -113.50943734
111  37.04424271 -113.50958579
111  37.04348098 -113.50998691
111  37.04328342 -113.51009328
111  37.04332323 -113.51021736
111  37.04295391 -113.51041307
111  37.04301788 -113.51061141
111  37.04127343 -113.51153406
111  37.04116432 -113.51121319
111  37.04044217 -113.51159714 53
111  37.04039363 -113.51146212 53
111  37.04034848 -113.51132954
111  37.04036433 -113.51132058
111  37.04104995 -113.51095909
111  37.04095191 -113.51067679
111  37.04026688 -113.51103939
111  37.04025727 -113.51104474 53
111  37.04022683 -113.51096111 53
111  37.03862540 -113.51181150 53
111  37.03862011 -113.51179752
111  37.03798677 -113.51213500
111  37.03797075 -113.51209182
111  37.03795521 -113.51205593
111  37.03855089 -113.51174090
111  37.03859288 -113.51171780 53
111  37.03842781 -113.51123131 53
111  37.04328198 -113.50866322 53
111  37.04398379 -113.50828575 53 102
112  37.04410459 -113.50816291  37.04413317 -113.50808361 53 102
111  37.04410764 -113.50801912 53 102
111  37.04399862 -113.50769352 53 102
111  37.04540986 -113.50694809 53 102
112  37.04550896 -113.50690184  37.04554901 -113.50688980 53 102
111  37.04563347 -113.50688942
111  37.04565640 -113.50684288
112  37.04565158 -113.50674619  37.04564411 -113.50671140
111  37.04563138 -113.50667406
111  37.04557441 -113.50654376
111  37.04562505 -113.50651808
111  37.04563922 -113.50656189
111  37.04565429 -113.50655434
111  37.04565670 -113.50656227
111  37.04567148 -113.50655396
111  37.04566786 -113.50654716
111  37.04568243 -113.50653890
111  37.04566878 -113.50649618
111  37.04570810 -113.50647456
111  37.04576227 -113.50663391
111  37.04575825 -113.50664045
111  37.04571332 -113.50663944
111  37.04569165 -113.50670278
111  37.04569045 -113.50684453
111  37.04570449 -113.50688424 53 102
111  37.04657494 -113.50682530 53 102
112  37.04661475 -113.50682165  37.04663028 -113.50681740 53 102
111  37.04666038 -113.50680158 53 102
111  37.04799813 -113.50609118 53 102
111  37.04838171 -113.50580239 53 102
112  37.04843535 -113.50571709  37.04845602 -113.50565394 53 102
111  37.04843711 -113.50558461 53 102
111  37.04836251 -113.50536749 53 102
111  37.04818095 -113.50483469 53 102
112  37.04808531 -113.50465982  37.04802236 -113.50458524 53 102
111  37.04795502 -113.50455657
111  37.02687226 -113.51570892
111  37.02704389 -113.51621085
111  37.02707358 -113.51619225
111  37.02709204 -113.51624150
111  37.02698331 -113.51630231
111  37.02695763 -113.51622894
111  37.02700738 -113.51619828
111  37.02684479 -113.51572444
111  37.02475876 -113.51682945
111  37.02497557 -113.51746542
111  37.02494734 -113.51748223
112  37.02492569 -113.51745272  37.02491334 -113.51744608
111  37.02489253 -113.51745615
111  37.02479498 -113.51751004
111  37.02478319 -113.51747812
111  37.02491062 -113.51740295
111  37.02491035 -113.51737652
113  37.02472788 -113.51684665
111  37.04297506 -113.51051811
111  37.04293313 -113.51039536
111  37.04290136 -113.51029970
111  37.04121937 -113.51118505
113  37.04129898 -113.51140321
111  37.04284068 -113.51001487
111  37.04274134 -113.50972923
111  37.04212198 -113.51005672
111  37.04150209 -113.51038450
111  37.04159783 -113.51066415
113  37.04222163 -113.51033827
111  37.04438128 -113.50919231
111  37.04428544 -113.50891571
111  37.04353747 -113.50930805
111  37.04304780 -113.50956515
111  37.04314376 -113.50985100
113  37.04363367 -113.50959024
111  37.04821131 -113.50434440
111  37.04805170 -113.50387078
111  37.02455455 -113.51630650
113  37.02471374 -113.51677666
111  37.04458190 -113.50857740 53
112  37.04450578 -113.50866370  37.04447993 -113.50872198 53
111  37.04448807 -113.50879824 53
111  37.04461207 -113.50918764
111  37.04483006 -113.50907060
112  37.04518012 -113.50875824  37.04539292 -113.50850267
111  37.04559712 -113.50841991
111  37.05109264 -113.50551268
111  37.05242109 -113.50480351
111  37.05545210 -113.50366944
112  37.05601759 -113.50308442  37.05621389 -113.50259862
111  37.05605934 -113.50215051
111  37.05474259 -113.49826701
112  37.05426896 -113.49767827  37.05391561 -113.49745997
111  37.05351131 -113.49769337
111  37.05175646 -113.49876624
111  37.05087617 -113.49930840
111  37.05065639 -113.49943175
111  37.05049613 -113.49950920
111  37.04961012 -113.49998538
111  37.04766684 -113.50099919
111  37.04717461 -113.50127170
111  37.04688659 -113.50142649
112  37.04664203 -113.50158686  37.04650413 -113.50170628
111  37.04639748 -113.50191412
112  37.04619767 -113.50230135  37.04607553 -113.50247332
111  37.04591172 -113.50257176
111  37.04083761 -113.50525970
111  37.04079568 -113.50528071
111  37.04080491 -113.50529858
111  37.04022977 -113.50559831
111  37.04018385 -113.50568929
112  37.04020307 -113.50582176  37.04024830 -113.50587253
111  37.04030812 -113.50584624
111  37.04599200 -113.50283969
111  37.04634864 -113.50257799
112  37.04638560 -113.50254272  37.04640211 -113.50252204
111  37.04641491 -113.50247611
111  37.04646748 -113.50224297
112  37.04654288 -113.50205044  37.04660620 -113.50194439
111  37.04670181 -113.50189635
111  37.04733282 -113.50154787
111  37.04829189 -113.50438590
111  37.04824372 -113.50441829 53 102
111  37.04843490 -113.50498319
112  37.04859244 -113.50478983  37.04862990 -113.50464380
111  37.04858808 -113.50454671
111  37.04850776 -113.50431612
111  37.04847468 -113.50421000
112  37.04848179 -113.50391612  37.04854317 -113.50377055
111  37.04863818 -113.50374306
111  37.04865022 -113.50372529
111  37.05053207 -113.50273191
112  37.05078539 -113.50234103  37.05085522 -113.50207426
111  37.05077603 -113.50186966
111  37.05060666 -113.50137013
112  37.05058315 -113.50132467  37.05056893 -113.50130848
111  37.05054809 -113.50132087
111  37.05038830 -113.50140516
111  37.05030126 -113.50118034
111  37.05053493 -113.50106098
111  37.05066158 -113.50141074
111  37.05087944 -113.50207692
112  37.05105209 -113.50231109  37.05117572 -113.50238281
111  37.05131357 -113.50232160
111  37.05389708 -113.50094613
112  37.05397455 -113.50089006  37.05399716 -113.50086091
111  37.05400771 -113.50078495
111  37.05401471 -113.50072939
112  37.05405578 -113.50060471  37.05409068 -113.50055532
111  37.05418748 -113.50053447
112  37.05426999 -113.50056851  37.05430230 -113.50060333
111  37.05432208 -113.50065801
111  37.05437769 -113.50081728
111  37.05426647 -113.50088862
111  37.05423955 -113.50081175
111  37.05421881 -113.50083332
111  37.05383390 -113.50102864
111  37.05385579 -113.50110024
111  37.05377142 -113.50114909
111  37.05374632 -113.50107348
111  37.05332589 -113.50129294
111  37.05335193 -113.50136815
111  37.05326940 -113.50141737
111  37.05323983 -113.50134050
111  37.05282441 -113.50156370
111  37.05284790 -113.50163877
111  37.05276214 -113.50168588
111  37.05273688 -113.50160639
111  37.05231688 -113.50183235
111  37.05234272 -113.50190522
111  37.05225990 -113.50195085
111  37.05222935 -113.50187799
111  37.05181277 -113.50210193
111  37.05183733 -113.50217419
111  37.05175296 -113.50221702
111  37.05172732 -113.50215078
111  37.05133024 -113.50236220
111  37.05131130 -113.50237923
111  37.05132975 -113.50244432
111  37.05125256 -113.50248508
111  37.05123509 -113.50242607
111  37.05122052 -113.50241938
111  37.05088786 -113.50259270
111  37.05087493 -113.50260403
111  37.05092986 -113.50277324
111  37.05077090 -113.50285906
111  37.05071792 -113.50269471
111  37.05070112 -113.50269471
111  37.05027594 -113.50291735
111  37.05030243 -113.50299832
111  37.05023911 -113.50302908
111  37.05021520 -113.50294650
111  37.04974609 -113.50319895
111  37.04976548 -113.50327623
111  37.04971907 -113.50330199
111  37.04969616 -113.50322619
111  37.04920594 -113.50348482
111  37.04923355 -113.50357167
111  37.04919243 -113.50359743
111  37.04916600 -113.50350764
111  37.04867757 -113.50376118
111  37.04870459 -113.50384729
111  37.04866112 -113.50387085
111  37.04863410 -113.50378694
112  37.04850722 -113.50393856  37.04846521 -113.50405595
111  37.04850193 -113.50419321
111  37.04861178 -113.50451852
112  37.04861236 -113.50483206  37.04855096 -113.50498852
111  37.04844651 -113.50501714 53 102
111  37.04853400 -113.50527744 53 102
111  37.04890303 -113.50636236 53 102
111  37.04833602 -113.50667007 53 102
112  37.04819685 -113.50670632  37.04812400 -113.50670632 53 102
111  37.04806536 -113.50667504 53 102
111  37.04782746 -113.50651533 53 102
112  37.04777870 -113.50649472  37.04775311 -113.50648937 53 102
111  37.04772290 -113.50649913 53 102
111  37.04728111 -113.50665373 53 102
111  37.04678801 -113.50691834 53 102
112  37.04668267 -113.50697390  37.04662246 -113.50699653 53 102
111  37.04655679 -113.50699604 53 102
111  37.04562469 -113.50705593 53 102
112  37.04556025 -113.50706031  37.04552895 -113.50706534 53 102
111  37.04549983 -113.50707901 53 102
111  37.04478910 -113.50745958 53 102
112  37.04472640 -113.50754282  37.04470871 -113.50760671 53 102
111  37.04473611 -113.50768862 53 102
111  37.04487594 -113.50812335 53 102
112  37.04485992 -113.50834657  37.04481205 -113.50846782 53 102
111  37.04473078 -113.50849863
111  37.04458440 -113.50807133 53 102
112  37.04466369 -113.50798322  37.04469775 -113.50790854 53 102
111  37.04466660 -113.50781729 53 102
111  37.04463553 -113.50772302 53 102
112  37.04457194 -113.50763483  37.04453126 -113.50760756 53 102
111  37.04448795 -113.50761171 53 102
111  37.04424865 -113.50773884 53 102
112  37.04419300 -113.50783486  37.04418331 -113.50790044 53 102
111  37.04420113 -113.50795695 53 102
111  37.04423637 -113.50806199 53 102
112  37.04431487 -113.50815432  37.04437044 -113.50818752 53 102
113  37.04443503 -113.50815098
111  37.02489740 -113.51604963
111  37.03129921 -113.51266088
112  37.03134485 -113.51249618  37.03135658 -113.51238453
111  37.03133468 -113.51229864
112  37.03123656 -113.51185883  37.03121076 -113.51174523
112  37.03117627 -113.51167060  37.03115047 -113.51161477
111  37.03101020 -113.51131689
112  37.03095269 -113.51124539  37.03092173 -113.51123246
111  37.03087451 -113.51125051
111  37.03045232 -113.51139938
112  37.02475082 -113.51442341  37.02470266 -113.51444926
111  37.02435447 -113.51470951
112  37.02431636 -113.51477338  37.02430796 -113.51480657
111  37.02431970 -113.51484902
111  37.02441598 -113.51529946
112  37.02446474 -113.51541865  37.02450286 -113.51549068
111  37.02466655 -113.51585212
114  37.02478227 -113.51599118  37.02485746 -113.51604857
111  37.03163962 -113.51024008
112  37.03169890 -113.51029627  37.03173414 -113.51030497
111  37.03176211 -113.51029196
111  37.03216415 -113.51015469
111  37.03322713 -113.50958879
111  37.03313620 -113.50933106
113  37.03160685 -113.51014268
111  37.03639320 -113.50791583
112  37.03645267 -113.50779352  37.03644786 -113.50770522
111  37.03636990 -113.50768716
111  37.03627805 -113.50767153
111  37.03319928 -113.50929580
113  37.03329009 -113.50955769
111  37.03965875 -113.50619214
112  37.03971842 -113.50606909  37.03971154 -113.50599152
111  37.03964906 -113.50596386
111  37.03956312 -113.50595091
111  37.03695823 -113.50732982
111  37.03692160 -113.50740722
112  37.03694291 -113.50754892  37.03699337 -113.50760145
113  37.03706062 -113.50756258
111  37.03191156 -113.51233887
111  37.04014188 -113.50798419
112  37.04019297 -113.50783348  37.04020460 -113.50772420
111  37.04019030 -113.50765352
111  37.04006434 -113.50707666
111  37.03985516 -113.50663415
112  37.03979548 -113.50656321  37.03975994 -113.50654783
111  37.03970602 -113.50657109
111  37.03932792 -113.50669985
111  37.03175164 -113.51070965
111  37.03136489 -113.51099336
112  37.03132906 -113.51106400  37.03132377 -113.51110373
111  37.03133552 -113.51115451
111  37.03143890 -113.51161661
111  37.03170265 -113.51217879
114  37.03180939 -113.51228902  37.03187049 -113.51233317
111  37.04766341 -113.50400010
112  37.04771698 -113.50381290  37.04773151 -113.50368628
111  37.04768148 -113.50353807
111  37.04758771 -113.50311601
111  37.04757420 -113.50307282
111  37.04736678 -113.50262879
112  37.04731528 -113.50257541  37.04728260 -113.50256463
111  37.04725007 -113.50257835
111  37.04684074 -113.50272829
111  37.04061916 -113.50601698
111  37.04023233 -113.50629517
112  37.04017833 -113.50637240  37.04017128 -113.50641435
111  37.04018714 -113.50647028
111  37.04028980 -113.50693809
111  37.04030257 -113.50696619
