A
1000 Generated by WorldEditor

1     17 1 0 KFMY Page Fld
120 Linear Feature 25
111  26.59295844 -081.86095334 20
115  26.59292042 -081.86099905
120 Linear Feature 25
111  26.59301968 -081.86101412 20
115  26.59298166 -081.86105983
120 Linear Feature 25
111  26.59307939 -081.86107747 20
115  26.59304137 -081.86112318
120 Linear Feature 25
111  26.59313910 -081.86114082 20
115  26.59310108 -081.86118653
120 Linear Feature 24
111  26.59279520 -081.86170119 20
115  26.59275731 -081.86166164
120 Linear Feature 24
111  26.59279520 -081.86170119 20
115  26.59275731 -081.86166164
120 Linear Feature 24
111  26.59217174 -081.86246805 20
115  26.59213385 -081.86242850
120 Linear Feature 23
111  26.59277584 -081.86172190 20
115  26.59273878 -081.86168518
120 Linear Feature 23
111  26.59277584 -081.86172190 20
115  26.59273878 -081.86168518
120 Linear Feature 23
111  26.59215237 -081.86248877 20
115  26.59211532 -081.86245204
120 Linear Feature 22
111  26.59275784 -081.86174434 20
115  26.59272219 -081.86170766
120 Linear Feature 22
111  26.59275784 -081.86174434 20
115  26.59272219 -081.86170766
120 Linear Feature 22
111  26.59213438 -081.86251120 20
115  26.59209873 -081.86247452
120 Linear Feature 22
111  26.59264760 -081.86188131 20
115  26.59261195 -081.86184463
120 Linear Feature 22
111  26.59264760 -081.86188131 20
115  26.59261195 -081.86184463
120 Linear Feature 22
111  26.59202414 -081.86264817 20
115  26.59198849 -081.86261149
120 Linear Feature 22
111  26.59253660 -081.86201657 20
115  26.59250095 -081.86197989
120 Linear Feature 22
111  26.59253660 -081.86201657 20
115  26.59250095 -081.86197989
120 Linear Feature 22
111  26.59191314 -081.86278343 20
115  26.59187749 -081.86274675
120 Linear Feature 22
111  26.59303263 -081.86140413 20
115  26.59299698 -081.86136746
120 Linear Feature 22
111  26.59290295 -081.86156328 20
115  26.59286730 -081.86152660
120 Linear Feature 22
111  26.59242728 -081.86215371 20
115  26.59239163 -081.86211703
120 Linear Feature 22
111  26.59180382 -081.86292057 20
115  26.59176817 -081.86288389
120 Linear Feature 21
111  26.59273835 -081.86176666 20
115  26.59270270 -081.86173052
120 Linear Feature 21
111  26.59273835 -081.86176666 20
115  26.59270270 -081.86173052
120 Linear Feature 21
111  26.59211489 -081.86253353 20
115  26.59207924 -081.86249738
120 Linear Feature 21
111  26.59262812 -081.86190363 20
115  26.59259247 -081.86186749
120 Linear Feature 21
111  26.59262812 -081.86190363 20
115  26.59259247 -081.86186749
120 Linear Feature 21
111  26.59200465 -081.86267050 20
115  26.59196900 -081.86263435
120 Linear Feature 21
111  26.59251712 -081.86203889 20
115  26.59248147 -081.86200275
120 Linear Feature 21
111  26.59189365 -081.86280575 20
115  26.59185800 -081.86276961
120 Linear Feature 21
111  26.59314486 -081.86126844 20
115  26.59310921 -081.86123229
120 Linear Feature 21
111  26.59301314 -081.86142646 20
115  26.59297749 -081.86139031
120 Linear Feature 21
111  26.59288346 -081.86158560 20
115  26.59284781 -081.86154946
120 Linear Feature 21
111  26.59240779 -081.86217603 20
115  26.59237214 -081.86213989
120 Linear Feature 21
111  26.59240779 -081.86217603 20
115  26.59237214 -081.86213989
120 Linear Feature 21
111  26.59178433 -081.86294290 20
115  26.59174868 -081.86290675
120 Linear Feature 20
111  26.59272076 -081.86178952 20
115  26.59268464 -081.86175338
120 Linear Feature 20
111  26.59272076 -081.86178952 20
115  26.59268464 -081.86175338
120 Linear Feature 20
111  26.59272076 -081.86178952 20
115  26.59268464 -081.86175338
120 Linear Feature 20
111  26.59272076 -081.86178952 20
115  26.59268464 -081.86175338
120 Linear Feature 20
111  26.59209730 -081.86255638 20
115  26.59206118 -081.86252024
120 Linear Feature 20
111  26.59261053 -081.86192649 20
115  26.59257440 -081.86189035
120 Linear Feature 20
111  26.59261053 -081.86192649 20
115  26.59257440 -081.86189035
120 Linear Feature 20
111  26.59198707 -081.86269335 20
115  26.59195094 -081.86265721
120 Linear Feature 20
111  26.59249953 -081.86206175 20
115  26.59246340 -081.86202560
120 Linear Feature 20
111  26.59187607 -081.86282861 20
115  26.59183994 -081.86279247
120 Linear Feature 20
111  26.59312597 -081.86129093 20
115  26.59308985 -081.86125479
120 Linear Feature 20
111  26.59299555 -081.86144931 20
115  26.59295943 -081.86141317
120 Linear Feature 20
111  26.59286588 -081.86160846 20
115  26.59282975 -081.86157231
120 Linear Feature 20
111  26.59239020 -081.86219889 20
115  26.59235408 -081.86216274
120 Linear Feature 20
111  26.59239020 -081.86219889 20
115  26.59235408 -081.86216274
120 Linear Feature 20
111  26.59176674 -081.86296575 20
115  26.59173062 -081.86292961
120 Linear Feature 19
111  26.59270270 -081.86181238 20
115  26.59266705 -081.86177570
120 Linear Feature 19
111  26.59270270 -081.86181238 20
115  26.59266705 -081.86177570
120 Linear Feature 19
111  26.59270270 -081.86181238 20
115  26.59266705 -081.86177570
120 Linear Feature 19
111  26.59270270 -081.86181238 20
115  26.59266705 -081.86177570
120 Linear Feature 19
111  26.59207924 -081.86257924 20
115  26.59204359 -081.86254256
120 Linear Feature 19
111  26.59259247 -081.86194935 20
115  26.59255682 -081.86191267
120 Linear Feature 19
111  26.59259247 -081.86194935 20
115  26.59255682 -081.86191267
120 Linear Feature 19
111  26.59196900 -081.86271621 20
115  26.59193335 -081.86267953
120 Linear Feature 19
111  26.59248147 -081.86208461 20
115  26.59244582 -081.86204793
120 Linear Feature 19
111  26.59185800 -081.86285147 20
115  26.59182236 -081.86281479
120 Linear Feature 19
111  26.59310791 -081.86131379 20
115  26.59307226 -081.86127711
120 Linear Feature 19
111  26.59297749 -081.86147217 20
115  26.59294184 -081.86143549
120 Linear Feature 19
111  26.59284781 -081.86163131 20
115  26.59281216 -081.86159464
120 Linear Feature 19
111  26.59237214 -081.86222175 20
115  26.59233649 -081.86218507
120 Linear Feature 19
111  26.59237214 -081.86222175 20
115  26.59233649 -081.86218507
120 Linear Feature 19
111  26.59174868 -081.86298861 20
115  26.59171303 -081.86295193
120 Linear Feature 18
111  26.59268464 -081.86183417 20
115  26.59264851 -081.86179909
120 Linear Feature 18
111  26.59268464 -081.86183417 20
115  26.59264851 -081.86179909
120 Linear Feature 18
111  26.59206118 -081.86260103 20
115  26.59202505 -081.86256595
120 Linear Feature 18
111  26.59257440 -081.86197114 20
115  26.59253828 -081.86193606
120 Linear Feature 18
111  26.59257440 -081.86197114 20
115  26.59253828 -081.86193606
120 Linear Feature 18
111  26.59195094 -081.86273800 20
115  26.59191482 -081.86270292
120 Linear Feature 18
111  26.59246340 -081.86210640 20
115  26.59242728 -081.86207132
120 Linear Feature 18
111  26.59183994 -081.86287326 20
115  26.59180382 -081.86283818
120 Linear Feature 18
111  26.59309032 -081.86133824 20
115  26.59305420 -081.86130263
120 Linear Feature 18
111  26.59309032 -081.86133824 20
115  26.59305420 -081.86130263
120 Linear Feature 18
111  26.59295943 -081.86149396 20
115  26.59292330 -081.86145888
120 Linear Feature 18
111  26.59282975 -081.86165311 20
115  26.59279362 -081.86161803
120 Linear Feature 18
111  26.59235408 -081.86224354 20
115  26.59231795 -081.86220846
120 Linear Feature 18
111  26.59235408 -081.86224354 20
115  26.59231795 -081.86220846
120 Linear Feature 18
111  26.59173062 -081.86301040 20
115  26.59169449 -081.86297532
120 Linear Feature 17
111  26.59266610 -081.86185756 20
115  26.59262950 -081.86182141
120 Linear Feature 17
111  26.59266610 -081.86185756 20
115  26.59262950 -081.86182141
120 Linear Feature 17
111  26.59204264 -081.86262442 20
115  26.59200604 -081.86258828
120 Linear Feature 17
111  26.59255587 -081.86199453 20
115  26.59251927 -081.86195838
120 Linear Feature 17
111  26.59255587 -081.86199453 20
115  26.59251927 -081.86195838
120 Linear Feature 17
111  26.59193241 -081.86276139 20
115  26.59189581 -081.86272525
120 Linear Feature 17
111  26.59305022 -081.86138021 20
115  26.59301362 -081.86134407
120 Linear Feature 17
111  26.59292054 -081.86153936 20
115  26.59288394 -081.86150321
120 Linear Feature 17
111  26.59244487 -081.86212979 20
115  26.59240827 -081.86209364
120 Linear Feature 17
111  26.59182141 -081.86289665 20
115  26.59178481 -081.86286051
120 Linear Feature 17
111  26.59307131 -081.86135897 20
115  26.59303471 -081.86132283
120 Linear Feature 17
111  26.59294089 -081.86151735 20
115  26.59290429 -081.86148121
120 Linear Feature 17
111  26.59281121 -081.86167650 20
115  26.59277461 -081.86164035
120 Linear Feature 17
111  26.59233554 -081.86226693 20
115  26.59229894 -081.86223078
120 Linear Feature 17
111  26.59233554 -081.86226693 20
115  26.59229894 -081.86223078
120 Linear Feature 17
111  26.59171208 -081.86303379 20
115  26.59167548 -081.86299764
120 Linear Feature 16
111  26.59268940 -081.86103685 20
115  26.59276368 -081.86094539
120 Linear Feature 16
111  26.59245114 -081.86133216 20
115  26.59252542 -081.86124071
120 Linear Feature 16
111  26.59220890 -081.86162970 20
115  26.59228318 -081.86153825
120 Linear Feature 16
111  26.59197262 -081.86192279 20
115  26.59204690 -081.86183134
120 Linear Feature 16
111  26.59173255 -081.86221750 20
115  26.59180683 -081.86212605
120 Linear Feature 16
111  26.59149428 -081.86251221 20
115  26.59156857 -081.86242076
120 Linear Feature 16
111  26.59256724 -081.86118224 20
115  26.59264152 -081.86109078
120 Linear Feature 16
111  26.59232897 -081.86147755 20
115  26.59240325 -081.86138610
120 Linear Feature 16
111  26.59208673 -081.86177509 20
115  26.59216101 -081.86168364
120 Linear Feature 16
111  26.59185045 -081.86206818 20
115  26.59192473 -081.86197673
120 Linear Feature 16
111  26.59161038 -081.86236289 20
115  26.59168466 -081.86227144
120 Linear Feature 16
111  26.59137212 -081.86265760 20
115  26.59144640 -081.86256615
120 Linear Feature 15
111  26.59271111 -081.86105679 20
115  26.59278326 -081.86096499
120 Linear Feature 15
111  26.59247284 -081.86135210 20
115  26.59254500 -081.86126031
120 Linear Feature 15
111  26.59223061 -081.86164964 20
115  26.59230276 -081.86155784
120 Linear Feature 15
111  26.59199433 -081.86194273 20
115  26.59206648 -081.86185094
120 Linear Feature 15
111  26.59175426 -081.86223744 20
115  26.59182641 -081.86214564
120 Linear Feature 15
111  26.59151599 -081.86253215 20
115  26.59158815 -081.86244035
120 Linear Feature 15
111  26.59258894 -081.86120218 20
115  26.59266110 -081.86111038
120 Linear Feature 15
111  26.59235068 -081.86149749 20
115  26.59242283 -081.86140570
120 Linear Feature 15
111  26.59210844 -081.86179503 20
115  26.59218060 -081.86170323
120 Linear Feature 15
111  26.59187216 -081.86208812 20
115  26.59194432 -081.86199633
120 Linear Feature 15
111  26.59163209 -081.86238283 20
115  26.59170425 -081.86229103
120 Linear Feature 15
111  26.59139383 -081.86267754 20
115  26.59146598 -081.86258574
120 Linear Feature 14
111  26.59273046 -081.86107667 20
115  26.59280366 -081.86098604
120 Linear Feature 14
111  26.59249219 -081.86137198 20
115  26.59256539 -081.86128136
120 Linear Feature 14
111  26.59224995 -081.86166952 20
115  26.59232315 -081.86157889
120 Linear Feature 14
111  26.59201367 -081.86196261 20
115  26.59208687 -081.86187198
120 Linear Feature 14
111  26.59177360 -081.86225732 20
115  26.59184680 -081.86216669
120 Linear Feature 14
111  26.59153534 -081.86255203 20
115  26.59160854 -081.86246140
120 Linear Feature 14
111  26.59260829 -081.86122206 20
115  26.59268149 -081.86113143
120 Linear Feature 14
111  26.59237002 -081.86151737 20
115  26.59244322 -081.86142675
120 Linear Feature 14
111  26.59212779 -081.86181491 20
115  26.59220099 -081.86172428
120 Linear Feature 14
111  26.59189151 -081.86210800 20
115  26.59196471 -081.86201737
120 Linear Feature 14
111  26.59165144 -081.86240271 20
115  26.59172464 -081.86231208
120 Linear Feature 14
111  26.59141317 -081.86269742 20
115  26.59148637 -081.86260679
120 Linear Feature 13
111  26.59275085 -081.86109655 20
115  26.59282300 -081.86100767
120 Linear Feature 13
111  26.59251258 -081.86139186 20
115  26.59258474 -081.86130299
120 Linear Feature 13
111  26.59227034 -081.86168940 20
115  26.59234250 -081.86160053
120 Linear Feature 13
111  26.59203407 -081.86198249 20
115  26.59210622 -081.86189362
120 Linear Feature 13
111  26.59179400 -081.86227720 20
115  26.59186615 -081.86218833
120 Linear Feature 13
111  26.59155573 -081.86257191 20
115  26.59162788 -081.86248304
120 Linear Feature 13
111  26.59262868 -081.86124194 20
115  26.59270083 -081.86115306
120 Linear Feature 13
111  26.59239042 -081.86153725 20
115  26.59246257 -081.86144838
120 Linear Feature 13
111  26.59214818 -081.86183479 20
115  26.59222033 -081.86174592
120 Linear Feature 13
111  26.59191190 -081.86212789 20
115  26.59198405 -081.86203901
120 Linear Feature 13
111  26.59167183 -081.86242259 20
115  26.59174398 -081.86233372
120 Linear Feature 13
111  26.59143356 -081.86271730 20
115  26.59150572 -081.86262843
120 Linear Feature 12
111  26.59277124 -081.86111935 20
115  26.59284287 -081.86102814
120 Linear Feature 12
111  26.59253297 -081.86141467 20
115  26.59260460 -081.86132345
120 Linear Feature 12
111  26.59229074 -081.86171220 20
115  26.59236237 -081.86162099
120 Linear Feature 12
111  26.59205446 -081.86200530 20
115  26.59212609 -081.86191408
120 Linear Feature 12
111  26.59181439 -081.86230001 20
115  26.59188602 -081.86220879
120 Linear Feature 12
111  26.59157612 -081.86259472 20
115  26.59164775 -081.86250350
120 Linear Feature 12
111  26.59264907 -081.86126474 20
115  26.59272070 -081.86117353
120 Linear Feature 12
111  26.59241081 -081.86156006 20
115  26.59248244 -081.86146884
120 Linear Feature 12
111  26.59216857 -081.86185759 20
115  26.59224020 -081.86176638
120 Linear Feature 12
111  26.59193229 -081.86215069 20
115  26.59200392 -081.86205947
120 Linear Feature 12
111  26.59169222 -081.86244540 20
115  26.59176385 -081.86235418
120 Linear Feature 12
111  26.59145396 -081.86274011 20
115  26.59152559 -081.86264889
120 Linear Feature 11
111  26.59279058 -081.86113865 20
115  26.59286431 -081.86104977
120 Linear Feature 11
111  26.59255232 -081.86143396 20
115  26.59262604 -081.86134509
120 Linear Feature 11
111  26.59231008 -081.86173150 20
115  26.59238381 -081.86164262
120 Linear Feature 11
111  26.59207380 -081.86202459 20
115  26.59214753 -081.86193572
120 Linear Feature 11
111  26.59183373 -081.86231930 20
115  26.59190746 -081.86223043
120 Linear Feature 11
111  26.59159547 -081.86261401 20
115  26.59166919 -081.86252513
120 Linear Feature 11
111  26.59266842 -081.86128404 20
115  26.59274214 -081.86119516
120 Linear Feature 11
111  26.59243015 -081.86157935 20
115  26.59250387 -081.86149048
120 Linear Feature 11
111  26.59218792 -081.86187689 20
115  26.59226164 -081.86178801
120 Linear Feature 11
111  26.59195164 -081.86216998 20
115  26.59202536 -081.86208111
120 Linear Feature 11
111  26.59171157 -081.86246469 20
115  26.59178529 -081.86237582
120 Linear Feature 11
111  26.59147330 -081.86275940 20
115  26.59154702 -081.86267052
120 Linear Feature 10
111  26.59280993 -081.86115853 20
115  26.59288417 -081.86106907
120 Linear Feature 10
111  26.59257166 -081.86145384 20
115  26.59264591 -081.86136438
120 Linear Feature 10
111  26.59232943 -081.86175138 20
115  26.59240367 -081.86166192
120 Linear Feature 10
111  26.59209315 -081.86204447 20
115  26.59216739 -081.86195501
120 Linear Feature 10
111  26.59185308 -081.86233918 20
115  26.59192732 -081.86224972
120 Linear Feature 10
111  26.59161481 -081.86263389 20
115  26.59168906 -081.86254443
120 Linear Feature 10
111  26.59268776 -081.86130392 20
115  26.59276201 -081.86121446
120 Linear Feature 10
111  26.59244950 -081.86159923 20
115  26.59252374 -081.86150977
120 Linear Feature 10
111  26.59220726 -081.86189677 20
115  26.59228151 -081.86180731
120 Linear Feature 10
111  26.59197098 -081.86218986 20
115  26.59204523 -081.86210040
120 Linear Feature 10
111  26.59173091 -081.86248457 20
115  26.59180516 -081.86239511
120 Linear Feature 10
111  26.59149265 -081.86277928 20
115  26.59156689 -081.86268982
120 Linear Feature 9
111  26.59283032 -081.86118016 20
115  26.59290352 -081.86108953
120 Linear Feature 9
111  26.59259206 -081.86147548 20
115  26.59266526 -081.86138485
120 Linear Feature 9
111  26.59234982 -081.86177301 20
115  26.59242302 -081.86168238
120 Linear Feature 9
111  26.59211354 -081.86206611 20
115  26.59218674 -081.86197548
120 Linear Feature 9
111  26.59187347 -081.86236082 20
115  26.59194667 -081.86227019
120 Linear Feature 9
111  26.59163520 -081.86265552 20
115  26.59170840 -081.86256490
120 Linear Feature 9
111  26.59270816 -081.86132555 20
115  26.59278135 -081.86123492
120 Linear Feature 9
111  26.59246989 -081.86162087 20
115  26.59254309 -081.86153024
120 Linear Feature 9
111  26.59222765 -081.86191840 20
115  26.59230085 -081.86182777
120 Linear Feature 9
111  26.59199137 -081.86221150 20
115  26.59206457 -081.86212087
120 Linear Feature 9
111  26.59151304 -081.86280091 20
115  26.59158624 -081.86271029
120 Linear Feature 5
112  26.58541776 -081.86659962  26.58531206 -081.86652726 51
116  26.58549494 -081.86618945  26.58557799 -081.86609297
120 Linear Feature 4
111  26.58576532 -081.86682706 51
112  26.58541776 -081.86659962  26.58528187 -081.86651399 51
115  26.58514872 -081.86662369
120 Linear Feature 10
111  26.58410627 -081.85993909 1
112  26.58394812 -081.85981629  26.58381304 -081.85982027
111  26.58394812 -081.85981629 1
111  26.58385909 -081.85981927 1
115  26.58323028 -081.85981643
120 Linear Feature 9
111  26.58410714 -081.86027465 1
112  26.58395063 -081.86014771  26.58381992 -081.86015392
111  26.58395063 -081.86014771 1
111  26.58386526 -081.86014619 1
115  26.58323535 -081.86015382
120 Linear Feature 8
111  26.58410693 -081.86068667 1
112  26.58395574 -081.86054574  26.58383836 -081.86055432
111  26.58395574 -081.86054574 1
111  26.58386669 -081.86054509 1
115  26.58323535 -081.86054225
120 Linear Feature 7
111  26.58410660 -081.86107315 1
112  26.58395398 -081.86093247  26.58383647 -081.86093396
111  26.58395398 -081.86093247 1
111  26.58386510 -081.86093187 1
115  26.58325031 -081.86091832
120 Linear Feature 6
111  26.58410512 -081.86146738 1
112  26.58394571 -081.86131992  26.58380397 -081.86132211
111  26.58394571 -081.86131992 1
111  26.58386163 -081.86131858 1
115  26.58325377 -081.86131530
120 Linear Feature 5
111  26.58409839 -081.86185114 1
112  26.58394796 -081.86171720  26.58382967 -081.86171960
111  26.58394796 -081.86171720 1
111  26.58386310 -081.86171840 1
115  26.58325870 -081.86171259
120 Linear Feature 4
111  26.58409870 -081.86198680 1
116  26.58394796 -081.86211345  26.58381548 -081.86211345
120 Linear Feature 3
111  26.58409879 -081.86224580 1
112  26.58394796 -081.86211345  26.58381548 -081.86211345
111  26.58394796 -081.86211345 1
111  26.58386656 -081.86210958 1
115  26.58326563 -081.86209796
120 Linear Feature 16
111  26.58622729 -081.86172659 54
115  26.58612502 -081.86159390
120 Linear Feature 13
111  26.59050858 -081.85706260 54
115  26.59061549 -081.85693853
120 Linear Feature 12
111  26.59080598 -081.85670234 54
115  26.59075995 -081.85655324
120 Linear Feature 11
111  26.59235626 -081.85707901 54
115  26.59222604 -081.85721667
120 Linear Feature 10
111  26.58873107 -081.86285942 51
111  26.58885934 -081.86269890 51
111  26.58901478 -081.86251562 51
111  26.58953276 -081.86187753 51
111  26.58988555 -081.86143937 51
111  26.59031085 -081.86090778 51
111  26.59086434 -081.86023136 51
111  26.59126290 -081.85974298 51
111  26.59160496 -081.85917432 51
111  26.59195465 -081.85856127 51
111  26.59230739 -081.85796188 51
111  26.59239749 -081.85778257 51
112  26.59241123 -081.85732492  26.59231198 -081.85713707 51
112  26.59227075 -081.85709609  26.59225395 -081.85707901 51
111  26.59212720 -081.85695777 51
112  26.59146359 -081.85702744  26.59115174 -081.85738330
111  26.59146359 -081.85702744 51
115  26.59134843 -081.85716417
120 Linear Feature 9
111  26.58845620 -081.86319752 1
112  26.58844704 -081.86366883  26.58859363 -081.86387374 1
115  26.58859363 -081.86387374
120 Linear Feature 8
111  26.58845773 -081.86319411 1
112  26.58804390 -081.86314630  26.58789119 -081.86294480 1
115  26.58786982 -081.86292089
120 Linear Feature 7
111  26.58898874 -081.86286938 51
112  26.58873107 -081.86285942  26.58862570 -081.86299090 51
115  26.58845773 -081.86319411
120 Linear Feature 6
111  26.59053908 -081.86584435 1
116  26.59006875 -081.86579483  26.58986871 -081.86551819
120 Linear Feature 5
111  26.59083227 -081.86556600 1
116  26.59085652 -081.86530383  26.59079086 -081.86520137
120 Linear Feature 4
111  26.59106133 -081.86558479 1
112  26.59083227 -081.86556600  26.59073760 -081.86565309 1
111  26.59053908 -081.86584435 1
116  26.59043982 -081.86623199  26.59050243 -081.86644374
120 Linear Feature 3
111  26.59224474 -081.86714557 51
111  26.59216186 -081.86701504 51
111  26.59178537 -081.86652460 51
111  26.59106350 -081.86558609 51
111  26.59085652 -081.86530383 51
111  26.58963615 -081.86371050 51
111  26.58898874 -081.86286938 51
111  26.58886001 -081.86270144 51
111  26.58871421 -081.86250661 51
111  26.58787714 -081.86140155 51
115  26.58766320 -081.86113226
120 Linear Feature 45
112  26.58193372 -081.86588679  26.58197295 -081.86573619 1
111  26.58209915 -081.86575023 1
115  26.58196259 -081.86572167
120 Linear Feature 44
111  26.58164838 -081.86647278 1
112  26.58188265 -081.86618476  26.58190374 -081.86610282 1
111  26.58193372 -081.86588679 1
111  26.58196259 -081.86572167 1
111  26.58198479 -081.86558014 1
112  26.58209841 -081.86575109  26.58221610 -081.86576723 1
111  26.58218501 -081.86576723
112  26.58218501 -081.86576723  26.58239485 -081.86580199 1
115  26.58237208 -081.86595840
120 Linear Feature 43
111  26.57974795 -081.86889919 1
111  26.58164911 -081.86647336
112  26.58164911 -081.86647336  26.58172127 -081.86641253 1
112  26.58200340 -081.86646987  26.58211881 -081.86652622 1
116  26.58201323 -081.86682361  26.58191731 -081.86697641
120 Linear Feature 42
112  26.58034956 -081.87067274  26.58017582 -081.87085104 51
112  26.57975684 -081.87062930  26.57963658 -081.87050477
111  26.57975684 -081.87062930
112  26.57975684 -081.87062930  26.57968628 -081.87053638 51
111  26.57964746 -081.87047847 51
112  26.57955271 -081.87001823  26.57959555 -081.86981597 51
112  26.57972221 -081.86963823  26.57979123 -081.86954775 51
111  26.58201323 -081.86682361 51
116  26.58227215 -081.86642314  26.58232079 -081.86623538
120 Linear Feature 41
112  26.58170853 -081.86897489  26.58179897 -081.86886578 51
111  26.58187036 -081.86840538 51
111  26.58197032 -081.86788111 51
111  26.58208694 -081.86729830 51
115  26.58227215 -081.86642314
120 Linear Feature 40
111  26.58241776 -081.86812861 51
116  26.58197270 -081.86787845  26.58191320 -081.86734620
120 Linear Feature 11
112  26.58407938 -081.86346923  26.58407948 -081.86335623 51
115  26.58394091 -081.86331990
120 Linear Feature 10
112  26.58408702 -081.86309296  26.58408086 -081.86321122 51
116  26.58394091 -081.86331990  26.58385774 -081.86331072
120 Linear Feature 39
111  26.58426640 -081.86340293 51
111  26.58407277 -081.86335610 51
111  26.58394091 -081.86331990 51
111  26.58298631 -081.86306336 51
111  26.58268134 -081.86298178
112  26.58268134 -081.86298178  26.58255607 -081.86296902 51
112  26.58248628 -081.86314723  26.58246039 -081.86322364
111  26.58248628 -081.86314723 51
111  26.58248314 -081.86407800 51
111  26.58248809 -081.86443056 51
112  26.58248555 -081.86534494  26.58248639 -081.86539624 51
115  26.58246017 -081.86555738
120 Linear Feature 37
111  26.58455780 -081.86330956 51
112  26.58426640 -081.86340293  26.58409812 -081.86337767 51
115  26.58408702 -081.86309296
120 Linear Feature 36
112  26.58487681 -081.86357893  26.58476971 -081.86349909 51
116  26.58477209 -081.86308126  26.58493393 -081.86282577
120 Linear Feature 35
111  26.58564554 -081.86415378 51
112  26.58551940 -081.86375192  26.58527903 -081.86368272 51
111  26.58487681 -081.86357893 51
111  26.58454123 -081.86348578 51
116  26.58435797 -081.86352038  26.58429848 -081.86357627
120 Linear Feature 34
112  26.58407234 -081.86446867  26.58403123 -081.86424124 51
116  26.58365826 -081.86423360  26.58351546 -081.86429408
120 Linear Feature 31
112  26.58497036 -081.85759943  26.58506471 -081.85775315 51
115  26.58497099 -081.85787585
120 Linear Feature 30
112  26.58518313 -081.85788338  26.58510179 -081.85780201 51
115  26.58497099 -081.85787585
120 Linear Feature 29
112  26.58521770 -081.85763685  26.58508335 -081.85773150 1
115  26.58497036 -081.85759943
120 Linear Feature 28
111  26.58518396 -081.85788336 1
116  26.58521770 -081.85763685  26.58530244 -081.85756234
120 Linear Feature 27
111  26.58610774 -081.85879759 5
115  26.58619927 -081.85892564
120 Linear Feature 25
111  26.58611357 -081.85910727 1
112  26.58612662 -081.85890260  26.58618869 -081.85883980 1
111  26.58671597 -081.85833869 1
116  26.58669085 -081.85812717  26.58660366 -081.85798670
120 Linear Feature 24
112  26.58691399 -081.85866258  26.58701153 -081.85857665 1
115  26.58694207 -081.85846097
120 Linear Feature 23
111  26.58639677 -081.85915337 1
112  26.58691547 -081.85866258  26.58701153 -081.85857665 1
115  26.58708098 -081.85864605
120 Linear Feature 22
111  26.58714553 -081.85897488 1
116  26.58718300 -081.85877908  26.58714081 -081.85865120
120 Linear Feature 21
111  26.58662591 -081.85947523 1
112  26.58714553 -081.85897488  26.58716440 -081.85895502 1
116  26.58735537 -081.85901213  26.58742864 -081.85910773
120 Linear Feature 19
112  26.58731367 -081.85796875  26.58723040 -081.85785080 1
115  26.58732416 -081.85774608
120 Linear Feature 19
112  26.58759457 -081.85771050  26.58751352 -081.85758014 1
115  26.58760715 -081.85747385
120 Linear Feature 18
112  26.58731367 -081.85797247  26.58721707 -081.85787315 1
115  26.58711826 -081.85794144
120 Linear Feature 18
112  26.58759568 -081.85771050  26.58751574 -081.85758014 1
115  26.58737584 -081.85769685
120 Linear Feature 17
111  26.58775889 -081.85733803 1
115  26.58800520 -081.85709843
120 Linear Feature 16
111  26.58688892 -081.85838744 1
116  26.58692890 -081.85812128  26.58703085 -081.85802195
120 Linear Feature 15
111  26.58801389 -081.85740727 1
112  26.58776070 -081.85733649  26.58766355 -081.85741848 1
111  26.58760715 -081.85747385 1
111  26.58737714 -081.85769671 1
111  26.58732416 -081.85774608 1
111  26.58711562 -081.85794318 1
112  26.58692890 -081.85812128  26.58684008 -081.85820593 1
115  26.58668987 -081.85812677
120 Linear Feature 14
111  26.58874275 -081.85755889 1
115  26.58822687 -081.85688856
120 Linear Feature 13
111  26.58898822 -081.85727892 1
111  26.58892631 -081.85738014 1
111  26.58874275 -081.85755889 1
111  26.58855436 -081.85773996 1
115  26.58857124 -081.85775335
120 Linear Feature 10
111  26.58870272 -081.85858076 1
112  26.58867168 -081.85826843  26.58854164 -081.85811639
111  26.58867168 -081.85826843
112  26.58867168 -081.85826843  26.58854903 -081.85810813 1
111  26.58836430 -081.85786356 1
111  26.58801407 -081.85740746 1
112  26.58800520 -081.85709843  26.58812195 -081.85698606 1
111  26.58822687 -081.85688856 1
111  26.58842046 -081.85670678 1
112  26.58855641 -081.85672661  26.58862291 -081.85680759 1
115  26.58898822 -081.85727892
120 Linear Feature 9
111  26.58838657 -081.85796868 22
111  26.58797495 -081.85742723
111  26.58793803 -081.85739582 1
115  26.58789512 -081.85737070
120 Linear Feature 8
111  26.58843793 -081.85803484 1
115  26.58838657 -081.85796868
120 Linear Feature 7
111  26.58849420 -081.85796423 1
111  26.58844761 -081.85790818 22
111  26.58803111 -081.85737158 1
111  26.58801537 -081.85733419
112  26.58799570 -081.85726601  26.58799767 -081.85722862 1
115  26.58799570 -081.85721542
120 Linear Feature 6
111  26.58838657 -081.85796868 1
115  26.58742333 -081.85900362
120 Linear Feature 5
111  26.58742388 -081.85900383 1
115  26.58750515 -081.85910463
120 Linear Feature 4
111  26.58773864 -081.85949298 1
116  26.58796031 -081.85950454  26.58802090 -081.85943183
120 Linear Feature 3
111  26.58664952 -081.85807677 1
111  26.58668987 -081.85812677 1
111  26.58688892 -081.85838744 1
111  26.58708098 -081.85864605 1
