I
1050 Generated by WorldEditor 2.0.0r4

1   4517 1 0 FALA Lanseria
111 -25.94090103  027.92977833
111 -25.94084315  027.92979071
111 -25.94068059  027.92998415
111 -25.94064829  027.93003652
111 -25.94060980  027.92999701
111 -25.94057587  027.93003862
111 -25.93970057  027.92917165
111 -25.93965370  027.92922880
111 -25.93967018  027.92924676
111 -25.93961913  027.92930712
111 -25.93962850  027.92931611
111 -25.93961721  027.92933224
111 -25.93959719  027.92931320
111 -25.93949769  027.92943293
111 -25.93938628  027.92956698
111 -25.93926687  027.92946696
111 -25.93925677  027.92947777
111 -25.93935718  027.92958684
111 -25.93934898  027.92959692
111 -25.93911604  027.92988302
111 -25.93912728  027.92989855
111 -25.93908350  027.92996340
111 -25.93908197  027.92996185
112 -25.93908925  027.92989980 -25.93906561  027.92988169
111 -25.93908925  027.92989980
112 -25.93908925  027.92989980 -25.93894545  027.92983681
112 -25.93883425  027.92994029 -25.93877189  027.92999854
111 -25.93883425  027.92994029
112 -25.93883425  027.92994029 -25.93879524  027.92997632
112 -25.93878523  027.93010470 -25.93882343  027.93016516
111 -25.93878523  027.93010470
111 -25.93883101  027.93019422
111 -25.93916204  027.93073082
111 -25.93921926  027.93082425
112 -25.93937234  027.93084547 -25.93945315  027.93078117
111 -25.93937234  027.93084547
111 -25.93954030  027.93065404
111 -25.93958248  027.93044363
111 -25.93949332  027.93032552
111 -25.93952104  027.93029076
111 -25.93976040  027.93001129
111 -25.93976679  027.93000474
111 -25.93987230  027.93010345
111 -25.93987959  027.93009784
111 -25.93982320  027.93002955
111 -25.93983602  027.93001591
111 -25.93987420  027.93005540
111 -25.94011605  027.92976560
111 -25.94043528  027.93010459
111 -25.94044691  027.93012891
111 -25.94054087  027.93023237
111 -25.94051158  027.93026758
111 -25.94047485  027.93031174
111 -25.94043668  027.93027476
111 -25.94037650  027.93034897
111 -25.94031449  027.93042540
111 -25.94028045  027.93039433
111 -25.94023267  027.93039785
111 -25.94021102  027.93042729
111 -25.94018547  027.93040229
111 -25.94017236  027.93041673
111 -25.94021570  027.93045848
111 -25.94008817  027.93061130
111 -25.94007871  027.93060091
111 -25.93995003  027.93073470
111 -25.93985810  027.93071299
111 -25.93995560  027.93082067
111 -25.93993856  027.93084057
111 -25.93971815  027.93109806
111 -25.93968083  027.93106241
111 -25.93965007  027.93109895
111 -25.93961424  027.93106548
111 -25.93948243  027.93100603
112 -25.93948243  027.93100603 -25.93940673  027.93101050
112 -25.93943254  027.93117351 -25.93946201  027.93122417
111 -25.93943254  027.93117351
111 -25.93949970  027.93128109
111 -25.93971860  027.93162958
112 -25.93971860  027.93162958 -25.93975058  027.93167884
112 -25.93989150  027.93177961 -25.94000006  027.93183182
111 -25.93989150  027.93177961
112 -25.94019389  027.93170885 -25.94035315  027.93155956
111 -25.94019389  027.93170885
112 -25.94019389  027.93170885 -25.94021416  027.93165774
111 -25.94019783  027.93161797
111 -25.94017790  027.93159573
111 -25.94020926  027.93155572
111 -25.94018237  027.93152635
111 -25.94027498  027.93141473
111 -25.94036371  027.93130777
111 -25.94039245  027.93133853
111 -25.94043411  027.93128978
111 -25.94048766  027.93133846
111 -25.94049921  027.93132706
111 -25.94041893  027.93123611
111 -25.94043208  027.93122091
111 -25.94049130  027.93115240
111 -25.94060603  027.93101969
111 -25.94068173  027.93093212
111 -25.94072166  027.93097511
111 -25.94069574  027.93100477
111 -25.94081130  027.93113000
111 -25.94084664  027.93108869
111 -25.94085869  027.93110425
111 -25.94078464  027.93131295
111 -25.94076934  027.93130932
112 -25.94076934  027.93130932 -25.94074281  027.93129331
111 -25.94072814  027.93132251
111 -25.94065412  027.93141216
111 -25.94030791  027.93182734
111 -25.94025663  027.93182339
112 -25.94025663  027.93182339 -25.94022581  027.93185245
111 -25.94011846  027.93189747
111 -25.94012635  027.93193162
112 -25.94012635  027.93193162 -25.93983682  027.93203020
112 -25.93962227  027.93174038 -25.93956268  027.93165755
111 -25.93962227  027.93174038
111 -25.93865444  027.93017702
111 -25.93862520  027.93013114
112 -25.93862520  027.93013114 -25.93854755  027.93004633
112 -25.93840662  027.93004278 -25.93834302  027.93005356
111 -25.93840662  027.93004278
112 -25.93840662  027.93004278 -25.93831866  027.93005769
111 -25.93825695  027.93012154
111 -25.93821135  027.93016973
111 -25.93813888  027.93025705
111 -25.93631907  027.93244974
111 -25.93580477  027.93192250
111 -25.93562911  027.93174242
112 -25.93562911  027.93174242 -25.93542700  027.93157337
112 -25.93523607  027.93153679 -25.93515846  027.93155136
111 -25.93523607  027.93153679
112 -25.93523607  027.93153679 -25.93518375  027.93156341
111 -25.93514674  027.93159761
111 -25.93502022  027.93156293
111 -25.93552502  027.93104845
111 -25.93553569  027.93113055
111 -25.93551213  027.93116110
112 -25.93551213  027.93116110 -25.93545656  027.93130270
112 -25.93576916  027.93168498 -25.93597175  027.93190768
111 -25.93576916  027.93168498
111 -25.93589757  027.93181328
111 -25.93602554  027.93193860
111 -25.93620549  027.93206169
112 -25.93620549  027.93206169 -25.93633537  027.93210961
112 -25.93657325  027.93190712 -25.93671745  027.93175960
111 -25.93657325  027.93190712
111 -25.93803458  027.93015498
111 -25.94078339  027.92683979
111 -25.94131286  027.92620123
112 -25.94130115  027.92567009 -25.94108764  027.92539723
111 -25.94130115  027.92567009
111 -25.94126916  027.92563110
113 -25.94115880  027.92559822
111 -25.94046681  027.92744727
112 -25.94046681  027.92744727 -25.94043591  027.92749560
112 -25.94046083  027.92756636 -25.94047560  027.92759444
111 -25.94046083  027.92756636
112 -25.94046083  027.92756636 -25.94047231  027.92758818
111 -25.94048658  027.92760118
112 -25.94053310  027.92758997 -25.94056334  027.92755789
111 -25.94053310  027.92758997
111 -25.94107568  027.92693676
112 -25.94107565  027.92691594 -25.94106845  027.92690571
111 -25.94107565  027.92691594
111 -25.94103487  027.92687672
111 -25.94102198  027.92686433
112 -25.94102198  027.92686433 -25.94097618  027.92683485
111 -25.94094339  027.92687004
113 -25.94088797  027.92693716
111 -25.93965132  027.92842924
112 -25.93965132  027.92842924 -25.93963431  027.92845020
112 -25.93966491  027.92852849 -25.93969059  027.92855514
111 -25.93966491  027.92852849
112 -25.93966491  027.92852849 -25.93968413  027.92854844
112 -25.93975697  027.92852301 -25.93979895  027.92849163
111 -25.93975697  027.92852301
111 -25.94030880  027.92786090
112 -25.94030880  027.92786090 -25.94033328  027.92783006
112 -25.94030755  027.92775601 -25.94028628  027.92772792
111 -25.94030755  027.92775601
112 -25.94030755  027.92775601 -25.94028690  027.92772874
112 -25.94020924  027.92775484 -25.94016806  027.92779140
113 -25.94020924  027.92775484
111 -25.93858414  027.92971733
112 -25.93858414  027.92971733 -25.93856242  027.92974493
112 -25.93858866  027.92981915 -25.93861073  027.92984626
111 -25.93858866  027.92981915
112 -25.93858866  027.92981915 -25.93860947  027.92984472
112 -25.93869215  027.92980934 -25.93873809  027.92976618
111 -25.93869215  027.92980934
111 -25.93953130  027.92879534
112 -25.93954745  027.92873606 -25.93954035  027.92871234
111 -25.93954745  027.92873606
112 -25.93954745  027.92873606 -25.93953207  027.92873044
112 -25.93951080  027.92870968 -25.93950165  027.92869910
111 -25.93951080  027.92870968
112 -25.93951080  027.92870968 -25.93949534  027.92869182
111 -25.93948833  027.92867282
112 -25.93943147  027.92869654 -25.93940433  027.92872420
113 -25.93943147  027.92869654
110 1 0.00 0.0000 GA 2
111 -25.93324877  027.93026363
111 -25.93193284  027.93184834
111 -25.93194169  027.93185818
111 -25.93160262  027.93226247
111 -25.93157228  027.93230021
111 -25.93140850  027.93248445
111 -25.93141181  027.93250543
111 -25.93055861  027.93352038
112 -25.93052120  027.93352038 -25.93050780  027.93348934
111 -25.93052120  027.93352038
112 -25.93052120  027.93352038 -25.93050278  027.93345644
111 -25.93045142  027.93347072
111 -25.93038777  027.93353528
111 -25.93031296  027.93353776
111 -25.93013161  027.93373570
111 -25.93004684  027.93364045
111 -25.92996217  027.93355355
111 -25.92987106  027.93346307
111 -25.93004273  027.93324374
111 -25.92988223  027.93308337
111 -25.92942697  027.93362803
111 -25.92915321  027.93395555
111 -25.92886849  027.93365758
111 -25.92908813  027.93339463
111 -25.92906905  027.93337549
111 -25.92908441  027.93335428
111 -25.92907184  027.93334083
111 -25.92911882  027.93328096
111 -25.92912997  027.93329157
111 -25.92917280  027.93324564
111 -25.92919373  027.93326789
111 -25.92941146  027.93299992
111 -25.92939611  027.93298389
111 -25.92941193  027.93295957
111 -25.92949893  027.93285249
111 -25.92951986  027.93287318
111 -25.92974102  027.93260911
111 -25.92972173  027.93259123
111 -25.92974102  027.93256977
111 -25.92949422  027.93232127
111 -25.92945885  027.93232753
111 -25.92942589  027.93228998
111 -25.92920722  027.93255368
111 -25.92894273  027.93225959
111 -25.92897778  027.93221668
111 -25.92876864  027.93200093
111 -25.92879267  027.93196688
111 -25.92876011  027.93192894
111 -25.92874731  027.93194187
111 -25.92874150  027.93193627
111 -25.92884269  027.93180910
111 -25.92881904  027.93177806
111 -25.92883571  027.93176427
111 -25.92886583  027.93179899
111 -25.92883568  027.93183400
111 -25.92907217  027.93208056
111 -25.92910834  027.93204257
111 -25.92914318  027.93204108
111 -25.92936972  027.93177264
111 -25.92934808  027.93174734
111 -25.92936467  027.93172892
111 -25.92924725  027.93160891
111 -25.92913176  027.93149107
111 -25.92927647  027.93130782
111 -25.92939717  027.93142682
111 -25.92951764  027.93154559
111 -25.92954739  027.93151252
111 -25.92958839  027.93150805
111 -25.92960929  027.93148123
111 -25.92985529  027.93174315
111 -25.92956829  027.93208551
111 -25.92965109  027.93216865
111 -25.93033004  027.93134671
111 -25.93024965  027.93126090
111 -25.93040139  027.93107905
111 -25.93078598  027.93146393
111 -25.93081061  027.93146543
111 -25.93137384  027.93078873
111 -25.93136172  027.93077671
111 -25.93139009  027.93074180
111 -25.93141478  027.93076665
111 -25.93144774  027.93072821
111 -25.93136574  027.93064508
111 -25.93138158  027.93062585
111 -25.93145499  027.93053677
111 -25.93152650  027.93045000
111 -25.93159292  027.93036939
111 -25.93127169  027.93004087
111 -25.93095882  027.93040299
111 -25.93095417  027.93039868
111 -25.93094080  027.93041135
111 -25.93093356  027.93040688
111 -25.93090623  027.93043906
111 -25.93084513  027.93043280
111 -25.93071570  027.93059192
111 -25.93074142  027.93064376
111 -25.93068113  027.93071349
111 -25.93045523  027.93097987
111 -25.93043272  027.93096647
111 -25.93020923  027.93073315
111 -25.93040907  027.93050028
111 -25.93040442  027.93048799
111 -25.93043699  027.93045178
111 -25.93043419  027.93044660
111 -25.93056176  027.93029645
111 -25.93057382  027.93030628
111 -25.93060758  027.93026516
111 -25.93065421  027.93031343
111 -25.93105846  027.92982907
111 -25.93100654  027.92977507
111 -25.93108693  027.92967140
111 -25.93087137  027.92945571
111 -25.93078307  027.92936736
111 -25.93065963  027.92940703
111 -25.93064423  027.92940853
111 -25.92986498  027.93034573
111 -25.92975116  027.93022940
111 -25.93054627  027.92928592
111 -25.93052362  027.92926358
111 -25.93059342  027.92918099
111 -25.93050831  027.92909243
111 -25.93046644  027.92901587
111 -25.93055855  027.92889120
111 -25.93059763  027.92888034
111 -25.93123699  027.92811167
111 -25.93126630  027.92808994
111 -25.93133794  027.92794355
111 -25.93134771  027.92793578
111 -25.93143750  027.92802942
111 -25.93072087  027.92889398
111 -25.93072701  027.92890081
111 -25.93069073  027.92894489
111 -25.93069073  027.92898710
111 -25.93080745  027.92911377
111 -25.93083071  027.92911429
111 -25.93088514  027.92905428
111 -25.93087273  027.92904355
111 -25.93175292  027.92799174
111 -25.93176074  027.92798271
111 -25.93187645  027.92809638
111 -25.93186668  027.92810810
111 -25.93098636  027.92916434
111 -25.93099667  027.92917636
111 -25.93097031  027.92920266
111 -25.93096759  027.92923413
111 -25.93101838  027.92929750
111 -25.93107421  027.92936475
111 -25.93116028  027.92943760
111 -25.93127154  027.92946347
111 -25.93128046  027.92947037
111 -25.93128860  027.92946261
111 -25.93127852  027.92945269
111 -25.93127895  027.92943901
111 -25.93184944  027.92875184
111 -25.93187089  027.92877110
111 -25.93188066  027.92877162
111 -25.93194160  027.92883267
111 -25.93205113  027.92870249
111 -25.93196855  027.92861498
111 -25.93207633  027.92848392
111 -25.93210741  027.92851665
111 -25.93217217  027.92858742
111 -25.93228666  027.92845100
111 -25.93227523  027.92843425
111 -25.93236366  027.92831804
111 -25.93249371  027.92816017
111 -25.93249759  027.92806144
111 -25.93251697  027.92808257
111 -25.93260847  027.92799161
111 -25.93263173  027.92800626
111 -25.93269337  027.92800152
111 -25.93332745  027.92723126
111 -25.93338654  027.92728558
111 -25.93315244  027.92757093
111 -25.93317376  027.92759464
111 -25.93316174  027.92761361
111 -25.93330364  027.92775328
111 -25.93312065  027.92796883
111 -25.93304272  027.92788391
111 -25.93300938  027.92792098
111 -25.93300274  027.92791366
111 -25.93298552  027.92793503
111 -25.93300258  027.92795284
111 -25.93275118  027.92824733
111 -25.93314881  027.92865158
111 -25.93339408  027.92835608
111 -25.93334137  027.92830131
111 -25.93333981  027.92828514
111 -25.93336474  027.92825035
111 -25.93337292  027.92825959
111 -25.93338071  027.92824948
111 -25.93337889  027.92824688
111 -25.93338019  027.92824459
111 -25.93355348  027.92803464
111 -25.93358334  027.92801179
111 -25.93361664  027.92797036
111 -25.93361254  027.92796570
111 -25.93361831  027.92795836
111 -25.93367271  027.92801012
111 -25.93369627  027.92798476
111 -25.93367215  027.92795919
111 -25.93369907  027.92792696
111 -25.93370991  027.92793492
111 -25.93388889  027.92771398
111 -25.93384914  027.92767299
111 -25.93388415  027.92762734
111 -25.93388931  027.92763358
111 -25.93411540  027.92736281
111 -25.93411036  027.92735462
111 -25.93413930  027.92731850
111 -25.93414525  027.92731107
111 -25.93449376  027.92765882
111 -25.93448815  027.92766731
111 -25.93449513  027.92767617
111 -25.93445743  027.92772233
111 -25.93446192  027.92772806
111 -25.93423275  027.92799846
111 -25.93418564  027.92795106
111 -25.93417835  027.92796041
111 -25.93423976  027.92802001
111 -25.93401080  027.92829562
111 -25.93400538  027.92829088
111 -25.93398561  027.92831502
111 -25.93399685  027.92832666
111 -25.93397746  027.92835210
111 -25.93377361  027.92859530
111 -25.93375099  027.92857625
111 -25.93373220  027.92859942
111 -25.93372816  027.92859433
111 -25.93368535  027.92864613
111 -25.93369531  027.92865780
111 -25.93348181  027.92891676
111 -25.93348666  027.92892125
111 -25.93346027  027.92895596
111 -25.93371013  027.92921103
111 -25.93374270  027.92917482
111 -25.93374595  027.92917844
111 -25.93396368  027.92891461
111 -25.93396880  027.92891771
111 -25.93397392  027.92891823
111 -25.93397810  027.92891047
111 -25.93398089  027.92891409
111 -25.93400927  027.92888150
111 -25.93401253  027.92888564
111 -25.93424099  027.92861680
111 -25.93427263  027.92862042
111 -25.93429170  027.92860180
111 -25.93430287  027.92860749
112 -25.93436242  027.92858162 -25.93438577  027.92855846
111 -25.93436242  027.92858162
111 -25.93452013  027.92838659
111 -25.93454060  027.92832968
112 -25.93455740  027.92832741 -25.93456314  027.92832103
111 -25.93455740  027.92832741
111 -25.93456793  027.92831741
111 -25.93462501  027.92830758
111 -25.93462260  027.92829864
111 -25.93479024  027.92804007
111 -25.93494272  027.92820252
111 -25.93511637  027.92799512
111 -25.93516124  027.92804238
111 -25.93508743  027.92831158
111 -25.93503963  027.92836866
111 -25.93488934  027.92833769
113 -25.93409239  027.92930067
111 -25.93302594  027.93010811
111 -25.93274790  027.93043492
111 -25.93278921  027.93047886
111 -25.93256122  027.93075337
111 -25.93242975  027.93061820
111 -25.93242501  027.93062300
111 -25.93241078  027.93060862
111 -25.93238966  027.93063019
111 -25.93257253  027.93082295
111 -25.93256068  027.93083533
111 -25.93258543  027.93086059
112 -25.93261492  027.93085650 -25.93262824  027.93084290
111 -25.93261492  027.93085650
111 -25.93314283  027.93022318
112 -25.93315936  027.93016926 -25.93315289  027.93015368
111 -25.93315936  027.93016926
111 -25.93311481  027.93012172
113 -25.93308105  027.93016007
111 -25.93205159  027.93145741
111 -25.93207330  027.93145768
111 -25.93207280  027.93146268
111 -25.93204536  027.93147044
111 -25.93203937  027.93146212
111 -25.93184653  027.93168939
111 -25.93182237  027.93170054
111 -25.93182677  027.93173366
111 -25.93183276  027.93174497
111 -25.93185461  027.93176495
111 -25.93232972  027.93119233
111 -25.93232627  027.93117316
113 -25.93230472  027.93115063
111 -25.93128079  027.93185950
111 -25.93149908  027.93185087
111 -25.93148718  027.93144307
111 -25.93134183  027.93145170
111 -25.93134597  027.93159147
113 -25.93127407  027.93159549
110 1 0.00 0.0000 ATC Road
111 -25.94154672  027.92376829
111 -25.94178830  027.92347403
111 -25.94182732  027.92354964
112 -25.94182732  027.92354964 -25.94178206  027.92361155
112 -25.94179844  027.92372604 -25.94182502  027.92377677
111 -25.94179844  027.92372604
111 -25.94188939  027.92382910
111 -25.94289561  027.92485117
112 -25.94302627  027.92488669 -25.94309921  027.92487633
111 -25.94302627  027.92488669
111 -25.94332367  027.92480125
112 -25.94340699  027.92481707 -25.94343871  027.92484685
111 -25.94340699  027.92481707
111 -25.94360045  027.92501696
112 -25.94360547  027.92519467 -25.94355159  027.92529121
111 -25.94360547  027.92519467
111 -25.94342823  027.92540939
112 -25.94322125  027.92538433 -25.94310767  027.92526841
111 -25.94322125  027.92538433
111 -25.94348931  027.92505949
111 -25.94346716  027.92503319
111 -25.94349530  027.92500090
111 -25.94340699  027.92491468
111 -25.94313161  027.92524631
111 -25.94311073  027.92522696
111 -25.94308648  027.92525493
111 -25.94304329  027.92521285
112 -25.94304329  027.92521285 -25.94299192  027.92515892
112 -25.94299509  027.92500346 -25.94292074  027.92491598
111 -25.94299509  027.92500346
111 -25.94281204  027.92483135
112 -25.94240764  027.92486667 -25.94221994  027.92504522
111 -25.94240764  027.92486667
111 -25.94217673  027.92512346
111 -25.94182009  027.92555494
112 -25.94182009  027.92555494 -25.94174302  027.92567056
111 -25.94185315  027.92578340
111 -25.94159563  027.92563824
112 -25.94175443  027.92558526 -25.94184464  027.92549429
111 -25.94175443  027.92558526
111 -25.94235805  027.92485691
112 -25.94235805  027.92485691 -25.94241516  027.92479893
112 -25.94273919  027.92474130 -25.94295980  027.92479317
111 -25.94273919  027.92474130
111 -25.94269243  027.92469433
111 -25.94179004  027.92377995
112 -25.94179004  027.92377995 -25.94171316  027.92373202
112 -25.94160953  027.92381391 -25.94154954  027.92387622
113 -25.94160953  027.92381391
110 1 0.00 0.0000 Shoulder
111 -25.94822311  027.91536184
111 -25.94813045  027.91563202
111 -25.94178865  027.92346931
111 -25.94154672  027.92376829
111 -25.94094441  027.92451263
111 -25.94077187  027.92481667
111 -25.94080806  027.92484859
112 -25.94080806  027.92484859 -25.94072382  027.92498159
112 -25.94110510  027.92530242 -25.94141710  027.92550674
111 -25.94110510  027.92530242
112 -25.94110510  027.92530242 -25.94116681  027.92534879
111 -25.94127483  027.92539686
111 -25.94115880  027.92559822
111 -25.94114540  027.92561924
111 -25.94081985  027.92544622
112 -25.94081985  027.92544622 -25.94045268  027.92530923
112 -25.94030279  027.92544273 -25.94016620  027.92556464
111 -25.94030279  027.92544273
111 -25.94027852  027.92541863
111 -25.94012784  027.92533768
111 -25.93552502  027.93104845
111 -25.93502022  027.93156293
111 -25.93017980  027.93743534
111 -25.93014319  027.93761868
111 -25.92982093  027.93800792
111 -25.92953560  027.93771137
111 -25.92944773  027.93762416
111 -25.92930172  027.93748091
111 -25.92929340  027.93747449
111 -25.92925160  027.93752329
111 -25.92861713  027.93687961
111 -25.92864931  027.93682942
112 -25.92861915  027.93611333 -25.92887289  027.93573315
111 -25.92861915  027.93611333
111 -25.92868113  027.93602850
111 -25.92871800  027.93595666 53
111 -25.92868144  027.93582693 53
111 -25.92863879  027.93567627 53
111 -25.92912743  027.93508789 53
111 -25.92926488  027.93512350 53
111 -25.92937142  027.93515110
112 -25.92945659  027.93509297 -25.92949002  027.93505192
111 -25.92945659  027.93509297
111 -25.93128509  027.93289414
112 -25.93128509  027.93289414 -25.93140562  027.93271296
112 -25.93141181  027.93250543 -25.93140459  027.93236672
111 -25.93141181  027.93250543
111 -25.93140850  027.93248445
111 -25.93157228  027.93230021
111 -25.93160262  027.93226247
112 -25.93177523  027.93222793 -25.93185247  027.93217105
111 -25.93177523  027.93222793
112 -25.93177523  027.93222793 -25.93185047  027.93217662
111 -25.93207424  027.93193641
111 -25.93361623  027.93007847
111 -25.93363797  027.93002317
111 -25.93364549  027.92997204
112 -25.93361038  027.92993951 -25.93357004  027.92995629
111 -25.93361038  027.92993951
111 -25.93345950  027.93005338
111 -25.93326723  027.93028715
111 -25.93324877  027.93026363
111 -25.93409239  027.92930067
111 -25.93405339  027.92936251
111 -25.93395539  027.92957841
112 -25.93398012  027.92960242 -25.93401974  027.92958904
111 -25.93398012  027.92960242
111 -25.93405725  027.92955082
111 -25.93411142  027.92949059
111 -25.93418605  027.92939857
111 -25.93498971  027.92842656
111 -25.93503963  027.92836866
111 -25.93508743  027.92831158
111 -25.93529060  027.92779468
111 -25.93533256  027.92773195
111 -25.93540725  027.92762027
111 -25.93542773  027.92761609
111 -25.93539639  027.92770672
111 -25.93556131  027.92768568
112 -25.93564505  027.92763346 -25.93568237  027.92759331
111 -25.93564505  027.92763346
111 -25.93570073  027.92757044
111 -25.93653284  027.92656891
111 -25.93736335  027.92557738
111 -25.93746145  027.92545357
111 -25.93753428  027.92535183
111 -25.93760977  027.92520867
112 -25.93758885  027.92511879 -25.93754673  027.92507717
111 -25.93758885  027.92511879
111 -25.93759046  027.92511725
111 -25.93797108  027.92475332
111 -25.93797108  027.92473240
111 -25.93811611  027.92463805
111 -25.93826817  027.92448350
111 -25.93863296  027.92402965
111 -25.93865145  027.92399244
111 -25.93870333  027.92380870
111 -25.93870701  027.92380384
111 -25.93880188  027.92367880
111 -25.93880715  027.92367205
112 -25.93880715  027.92367205 -25.93884622  027.92373744
112 -25.93905147  027.92358021 -25.93917729  027.92344760
111 -25.93905147  027.92358021
111 -25.94260893  027.91928843
111 -25.94539861  027.91592631
112 -25.94541851  027.91583624 -25.94541464  027.91578379
111 -25.94541851  027.91583624
111 -25.94537337  027.91552588
112 -25.94539263  027.91543753 -25.94541854  027.91540022
111 -25.94539263  027.91543753
111 -25.94585023  027.91488419
112 -25.94593749  027.91484503 -25.94598523  027.91484918
111 -25.94593749  027.91484503
111 -25.94618361  027.91488472
112 -25.94618361  027.91488472 -25.94624432  027.91489202
111 -25.94630899  027.91482512
111 -25.94670973  027.91434141
112 -25.94670973  027.91434141 -25.94691944  027.91412534
111 -25.94712458  027.91426927
111 -25.94728889  027.91441932
111 -25.94733069  027.91436044
111 -25.94733558  027.91436034
111 -25.94806139  027.91509884
111 -25.94801303  027.91515195
113 -25.94808184  027.91521814
111 -25.93988890  027.92522149
111 -25.93985508  027.92518099
112 -25.93988585  027.92505639 -25.93986736  027.92497325
111 -25.93988585  027.92505639
111 -25.93988033  027.92505865
111 -25.93981639  027.92491922
111 -25.93977634  027.92488359
111 -25.93915027  027.92452551
111 -25.93902634  027.92446125
112 -25.93902634  027.92446125 -25.93887736  027.92439581
112 -25.93850906  027.92456996 -25.93831018  027.92477290
111 -25.93850906  027.92456996
111 -25.93444542  027.92944768
112 -25.93444542  027.92944768 -25.93440029  027.92950613
111 -25.93438153  027.92955162
112 -25.93438153  027.92955162 -25.93436524  027.92958990
111 -25.93437565  027.92961242
111 -25.93434460  027.92961563
112 -25.93434749  027.92978750 -25.93430600  027.92984757
111 -25.93434749  027.92978750
111 -25.93430249  027.92984293
112 -25.93430249  027.92984293 -25.93425425  027.92994806
111 -25.93433509  027.93007606
111 -25.93463441  027.93043493
111 -25.93499587  027.93069979
111 -25.93499442  027.93071217
111 -25.93515506  027.93073573
111 -25.93533460  027.93065895
111 -25.93535346  027.93068316
111 -25.93548233  027.93070645
113 -25.93987043  027.92528471
111 -25.94707749  027.91468106
111 -25.94710716  027.91461133
112 -25.94710716  027.91461133 -25.94694769  027.91446290
112 -25.94662612  027.91481028 -25.94651778  027.91493751
111 -25.94662612  027.91481028
111 -25.93906382  027.92391094
111 -25.93900855  027.92399282
112 -25.93900855  027.92399282 -25.93895236  027.92408806
112 -25.93912290  027.92421425 -25.93920193  027.92425220
111 -25.93912290  027.92421425
111 -25.94005480  027.92465152
111 -25.94008475  027.92464843
111 -25.94014814  027.92468600
111 -25.94015024  027.92469607
112 -25.94032369  027.92463293 -25.94041341  027.92456320
111 -25.94032369  027.92463293
111 -25.94035399  027.92466314
111 -25.94058114  027.92467286
111 -25.94740444  027.91628856
111 -25.94742161  027.91614533
112 -25.94756342  027.91569328 -25.94760324  027.91543721
111 -25.94756342  027.91569328
111 -25.94749813  027.91567605
111 -25.94754809  027.91541022
112 -25.94754809  027.91541022 -25.94758269  027.91523731
111 -25.94749402  027.91506776
112 -25.94722816  027.91478846 -25.94704656  027.91462469
113 -25.94722816  027.91478846
111 -25.93484565  027.93129535
111 -25.93481347  027.93126281
111 -25.93483683  027.93119974
112 -25.93483683  027.93119974 -25.93485807  027.93114190
112 -25.93479383  027.93103368 -25.93473676  027.93093910
111 -25.93479383  027.93103368
111 -25.93463625  027.93084684
111 -25.93431358  027.93050803
112 -25.93431358  027.93050803 -25.93408782  027.93028529
111 -25.93395426  027.93031005
111 -25.93399726  027.93024218
112 -25.93399726  027.93024218 -25.93386945  027.93016494
111 -25.93365367  027.93040426
111 -25.92910171  027.93588828
112 -25.92910171  027.93588828 -25.92889847  027.93614993
111 -25.92883350  027.93627638
112 -25.92883350  027.93627638 -25.92872446  027.93649427
111 -25.92883735  027.93661668
111 -25.92891581  027.93652228
112 -25.92904970  027.93671761 -25.92914231  027.93681801
111 -25.92904970  027.93671761
112 -25.92929425  027.93695511 -25.92938736  027.93702413
112 -25.92962977  027.93704533 -25.92980585  027.93704832
111 -25.92962977  027.93704533
111 -25.92961893  027.93707277
112 -25.92961893  027.93707277 -25.93002493  027.93700992
111 -25.93026443  027.93680931
111 -25.93034660  027.93678849
113 -25.93487458  027.93144865
110 3 0.00 0.0000 Grass
111 -25.92942697  027.93362803
111 -25.92952606  027.93373527
111 -25.92984593  027.93406251
111 -25.92958582  027.93438254
111 -25.92947639  027.93435285
111 -25.92922655  027.93409633
113 -25.92915321  027.93395555
120 Linear Feature 41
111 -25.94748620  027.91494056 4
111 -25.94756485  027.91484804 4
115 -25.94763234  027.91476545
120 Linear Feature 42
111 -25.93955328  027.92467603 4
111 -25.93958488  027.92460673 4
116 -25.93961506  027.92453861 -25.93961488  027.92453942
120 Linear Feature 43
111 -25.93447824  027.93060753 4
111 -25.93453792  027.93053812 4
115 -25.93459841  027.93047011
120 Linear Feature 44
111 -25.92901674  027.93718448 4
111 -25.92909528  027.93709418 4
115 -25.92919939  027.93697250
120 Linear Feature 61
111 -25.93803458  027.93015498 2
115 -25.93813888  027.93025705
120 Linear Feature 60
111 -25.93858866  027.92981915 2
115 -25.93840662  027.93004278
120 Linear Feature 59
111 -25.93966491  027.92852849 2
115 -25.93951080  027.92870968
120 Linear Feature 58
111 -25.94030755  027.92775601 2
115 -25.94046083  027.92756636
120 Linear Feature 57
111 -25.94078339  027.92683979 2
115 -25.94088797  027.92693716
120 Linear Feature 56
111 -25.94116947  027.92671296 2
115 -25.94103487  027.92687672
120 Linear Feature 55
111 -25.94131286  027.92620123 2
115 -25.94142252  027.92629822
120 Linear Feature 54
111 -25.94217766  027.92596309 2
115 -25.94211338  027.92609552
120 Linear Feature 53
111 -25.93418915  027.92982648 2
115 -25.93399711  027.92963021
120 Linear Feature 52
111 -25.93411749  027.93026758 2
115 -25.93427040  027.93008118
120 Linear Feature 51
111 -25.93368537  027.93002715 2
115 -25.93384465  027.93018812
120 Linear Feature 50
111 -25.93754218  027.92542667 2
