A
1000 Generated by WorldEditor

1    165 1 0 BGSF Kangerlussuaq
120 Linear Feature 17
111  67.00908102 -050.71115537 1
111  67.00910522 -050.71124845 1
111  67.00927640 -050.71190685
112  67.00927640 -050.71190685  67.00930911 -050.71203360 1
115  67.00928960 -050.71213923
120 Linear Feature 17
111  67.00926900 -050.71025746 1
111  67.00930158 -050.71038279 1
111  67.00946438 -050.71100894
112  67.00946438 -050.71100894  67.00949709 -050.71113570 1
115  67.00947792 -050.71124724
120 Linear Feature 17
111  67.00774594 -050.71745918 1
111  67.00777805 -050.71758268 1
111  67.00794132 -050.71821066
112  67.00794132 -050.71821066  67.00797403 -050.71833742 1
115  67.00795835 -050.71844508
120 Linear Feature 17
111  67.00793391 -050.71655282 1
111  67.00797010 -050.71669201 1
111  67.00812929 -050.71730430
112  67.00812929 -050.71730430  67.00816200 -050.71743106 1
115  67.00814661 -050.71755332
120 Linear Feature 17
111  67.00812521 -050.71565156 1
111  67.00816457 -050.71580295 1
111  67.00832059 -050.71640304
112  67.00832059 -050.71640304  67.00835330 -050.71652980 1
115  67.00833869 -050.71664349
120 Linear Feature 17
111  67.00831650 -050.71476050 1
111  67.00831808 -050.71476659 1
111  67.00834734 -050.71487910 1
111  67.00851188 -050.71551198
112  67.00851188 -050.71551198  67.00854460 -050.71563874 1
115  67.00852695 -050.71575172
120 Linear Feature 17
111  67.00850846 -050.71386093 1
111  67.00853721 -050.71397151 1
111  67.00870384 -050.71461241
112  67.00870384 -050.71461241  67.00873655 -050.71473916 1
115  67.00871717 -050.71485073
120 Linear Feature 17
111  67.00888906 -050.71205836 1
111  67.00891783 -050.71216900 1
111  67.00908444 -050.71280984
112  67.00908444 -050.71280984  67.00911715 -050.71293659 1
115  67.00909561 -050.71305811
120 Linear Feature 17
111  67.00946029 -050.70935445 1
111  67.00948820 -050.70946178 1
111  67.00965567 -050.71010593
112  67.00965567 -050.71010593  67.00968839 -050.71023269 1
115  67.00966848 -050.71034459
120 Linear Feature 17
111  67.00965026 -050.70845653 1
111  67.00968327 -050.70858351 1
111  67.00984564 -050.70920801
112  67.00984564 -050.70920801  67.00987835 -050.70933477 1
115  67.00984594 -050.70950398
120 Linear Feature 4
111  67.00984594 -050.70950398 1
111  67.00966848 -050.71034459 1
111  67.00947792 -050.71124724 1
111  67.00928960 -050.71213923 1
111  67.00909561 -050.71305811 1
111  67.00871717 -050.71485073 1
111  67.00852695 -050.71575172 1
111  67.00833869 -050.71664349 1
111  67.00814661 -050.71755332 1
111  67.00795835 -050.71844508 1
111  67.00788793 -050.71877861 1
116  67.00793481 -050.71920763  67.00804081 -050.71935452
120 Linear Feature 4
111  67.01247131 -050.69558046 1
111  67.01123063 -050.70145723 1
111  67.01101749 -050.70246686 1
111  67.00999110 -050.70732861
112  67.00999110 -050.70732861  67.00990392 -050.70773617 1
112  67.00908112 -050.70875796  67.00898447 -050.70921403
111  67.00908112 -050.70875796 1
115  67.00722840 -050.71753388
120 Linear Feature 27
112  67.01394206 -050.70360109  67.01389178 -050.70383393 1
112  67.01354231 -050.70389171  67.01326775 -050.70370590
111  67.01354231 -050.70389171
112  67.01354231 -050.70389171  67.01378794 -050.70421681 1
115  67.01367760 -050.70485363
120 Linear Feature 27
111  67.01016879 -050.72147417 1
112  67.00981092 -050.72180505  67.00957059 -050.72159458
111  67.00981092 -050.72180505
112  67.00981092 -050.72180505  67.01000734 -050.72221780 1
115  67.00989731 -050.72276002
120 Linear Feature 27
112  67.01631581 -050.69091646  67.01651223 -050.69132922 1
115  67.01640841 -050.69191832
120 Linear Feature 27
111  67.01642074 -050.69195720 1
112  67.01679931 -050.69158633  67.01703966 -050.69179661
111  67.01679931 -050.69158633
112  67.01679931 -050.69158633  67.01660284 -050.69117373 1
115  67.01670964 -050.69058876
21  67.01577907 -050.69260769 2 241.6300 3.0 New Light Fixture 10
21  67.00739472 -050.73741712 2 61.7600 3.0 New Light Fixture 10
14  67.00963708 -050.70497572  49.21 0 New Tower Viewpoint 1
1300  67.01796661 -050.69546449  60.32 misc turboprops Remote 1
1300  67.01824447 -050.69580030  61.08 misc turboprops Remote 2
1300  67.00691788 -050.71914269  61.74 misc turboprops|props Maintenance Spot B
1300  67.01166961 -050.69635211  60.54 misc turboprops|props Hangar 2
1300  67.01857656 -050.69304244 180.57 gate turboprops Gate 3
1300  67.01920767 -050.69028096 246.03 gate turboprops|props GA Parking 3
1300  67.01929560 -050.69081468 104.09 gate turboprops|props GA Parking 2
1300  67.01914394 -050.69155158 187.46 gate turboprops|props GA Parking 1
1300  67.01857416 -050.69387147 179.49 gate turboprops Gate 2
1300  67.01852432 -050.69512701 -28.42 gate heavy|jets Gate 1 (A330)
1300  67.01203876 -050.69519192 330.44 misc turboprops|props Hangar 3
1300  67.01146632 -050.69737551  61.35 misc turboprops|props Hangar 1
1300  67.00899821 -050.70649840 151.44 misc turboprops|props Maintenance Spot A
1300  67.00968327 -050.70858351 123.18 misc props Parking 10
1300  67.00948820 -050.70946178 123.18 misc props Parking 9
1300  67.00930158 -050.71038279 123.18 misc props Parking 8
1300  67.00910522 -050.71124845 123.18 misc props Parking 7
1300  67.00891783 -050.71216900 123.18 misc props Parking 6
1300  67.00853721 -050.71397151 123.18 misc props Parking 5
1300  67.00834734 -050.71487910 123.18 misc props Parking 4
1300  67.00816457 -050.71580295 123.18 misc props Parking 3
1300  67.00797010 -050.71669201 123.18 misc props Parking 2
1300  67.00777805 -050.71758268 123.18 misc props Parking 1
18  67.01508389 -050.70647251 1 New Airport Beacon 3
19  67.01529033 -050.69486821 0 New Windsock 5
19  67.01290145 -050.70620820 0 New Windsock 4
19  67.01007509 -050.71963657 0 New Windsock 2
54 11830 TWR
55 12620 APP/DEP
99
